androidx/appcompat: {androidx/appcompat, 79a9f0baa77dae09d34a1e01fa257aff}
androidx/compose/runtime: {androidx/compose/runtime, 422dada3c7acf97a35ee27e07ef44727}
androidx/activity: {androidx/activity, 44522f7e262feee622d333ddfc312497}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/compose/foundation: {androidx/compose/foundation, 699a6ed1b71070df1f4f480eb7167254}
li/doerf/hacked: {li/doerf/hacked, 9864dd7e23d4ff62ee17651395553729}
androidx/compose/animation: {androidx/compose/animation, 029c7b86f241343d41a64d06ab042fb6}
androidx/autofill: {androidx/autofill, cccae6c670ea08f4ba8d4d19ca32d93c}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 1d88ccc9465ea54ccc655ac0debf6cb7}
androidx/core: {androidx/core, 3eb598aa5ca98a13d98c2dc8fcf2a955}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, 45f6a6ca4399a5724a8c2b1e31a8deda}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1adf4dc43dbb0b1c3ae2de7f31c72c07}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ac21689998bcbdaba4dbeeba6f6b433e}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/material: {androidx/compose/material, 13a25dd41ac0231c029d8fd416bc7cc6}
io/reactivex/processors: {[io/reactivex/processors, io/reactivex/functions, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/compiler: {androidx/compose/compiler, f6bfbff67b1232450acf74ec646480ba}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 338902e20e574fd401629c24945d2f6e}
androidx/concurrent/futures: {androidx/concurrent/futures, eccf4ac0a0369f6ce7de085ebdb804a2}
androidx/compose/ui: {androidx/compose/ui, 95bad72c505ffde0dca28c728107d279}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
