androidx/appcompat: {androidx/appcompat, c4ba349af496dea7a8ad7a11a2d09a0e}
kotlin/collections: {kotlin/collections, 932d261771d26538d1d710ff04f91f87}
kotlin: {kotlin, fdef5ac3377a0167919a9236a27b3a30}
kotlin/io: {kotlin/io, ae0ebb5554cb3f9dd5cf49691237dc1e}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/room: {androidx/room, 8c2a8ab3445fde413d80af3e86bc0015}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 567f6f8470ad1e3258dcdb1d6f3cda6d}
androidx/profileinstaller: {androidx/profileinstaller, cdd8f1ce77aed6c6ef0254e8d10962a4}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/tracing: {androidx/tracing, ea25186dcde266b3011db17a98bca620}
androidx/sqlite/db: {androidx/sqlite/db, eac943969e2f4bb9ef7e87ac26862072}
androidx/lifecycle: {androidx/lifecycle, 01b4d5650ce6321f13bc76311c0c9d5b}
androidx/fragment: {androidx/fragment, 6c7568c622787e6d67814e74f561db8f}
com/nightonke/boommenu: {com/nightonke/boommenu, 70cda55127ad73c7b81d764f534aeb19}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
com/android/volley: {com/android/volley, 98d453d27544df4d7160aa6a49106c2f}
androidx/vectordrawable: {androidx/vectordrawable, 6c5dff0792f06742382116354b9a0707}
androidx/recyclerview: {androidx/recyclerview, e8b391635fc3b0e49233d7bcd3d2dad7}
org/checkerframework/checker: {org/checkerframework/checker, 254dcd141c460139e85032811d94ecb9}
org/checkerframework/framework: {org/checkerframework/framework, 875ab06660697fb2093d3cf2b07d1595}
kotlin/text: {kotlin/text, 358a3ffa67d8c1cdb983fca11807809b}
androidx/versionedparcelable: {androidx/versionedparcelable, d7eaf16e90ce43d20661c628df1d73f0}
org/checkerframework/common: {org/checkerframework/common, 2fb7634f552ec9e9766d74fe1d7950ba}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2251b547a376504adbf43fe57d3315d4}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 06a2d9b1b01bf8cb9eaf34d33895b504}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 64ea679c94605e95cd7630095c5d766b}
androidx/collection: {androidx/collection, 2450b972b958d990fb96a9d75c385e50}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a7fd8575741cee52e78697e7ec64736a}
androidx/sqlite/util: {androidx/sqlite/util, dc36e5095094c262154e59fb03db07a2}
androidx/transition: {androidx/transition, 70f700747443a34126da13ea6c947913}
com/google/j2objc: {com/google/j2objc, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
javax/annotation: {javax/annotation, 1980de4060fac00cb413ef2f0b6db7df}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/multidex: {androidx/multidex, 4f3506aa777bdcc3b4558c4facb4b13f}
androidx/cardview: {androidx/cardview, b292a17e37cfcd3237469e93cd508b25}
com/airbnb/lottie: {com/airbnb/lottie, 3aec1be1c349988934376afc3122718c}
androidx/drawerlayout: {androidx/drawerlayout, 2ef9ae3b829f28b2c85f268daa45b12a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, 83c320dbd124d3b74079f1e004f7b41f}
androidx/exifinterface: {androidx/exifinterface, 10d4e3f8efd69c173f350f8aff8cb299}
org/jetbrains/annotations: {org/jetbrains/annotations, b7296e3ac2cd29aea17c5745fa1b4187}
androidx/emoji2: {androidx/emoji2, 88f7e9b4a123c4cdcac1afee5386e076}
