androidx/appcompat: {androidx/appcompat, 1ef69abdbf6d6c7ed378a8ece89ab294}
androidx/a/a: {androidx/a/a, 0392ebd9a4aefb202c3ac0aa8a3093cd}
androidx/d/a: {androidx/d/a, 4d35d25329f2bbb4ffbcb4320e097379}
io/realm: {io/realm, 65f09d069cc9d6eb42ea71e0bace5bf7}
androidx/g/a: {androidx/g/a, 5687df58fe7c7df8ef801c8f9ff72a9e}
butterknife: {butterknife, 4b278cac66bc62fc0838ff0afa94dd4b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e5768a9051960864564a50c85aa3923d}
androidx/lifecycle: {androidx/lifecycle, 70b3553b4fe3013f23e5a4fbc9e64003}
androidx/percentlayout: {androidx/percentlayout, aeb4266d7019c7d7cceac25c55d1ba7a}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, c1c80bc9b0d500f989ee224ef3061781}
b/a/a: {b/a/a, 36de61b41362a20cad55e7c95cb6c718}
me/calebjones/spacelaunchnow: {me/calebjones/spacelaunchnow, 2cca85237ef9e6777f3cbf4116f6315c}
androidx/customview/a: {androidx/customview/a, 6a9554bdef999a37eeee686c62e404ca}
com/google/android: {com/google/android, f7736ce9faf70f0a08237c073ad332cd}
androidx/versionedparcelable: {androidx/versionedparcelable, 5afb2427e7c084362fff72aefa10e870}
okhttp3: {okhttp3, 4b5ec35a49d92b544405d5c4185753a4}
androidx/viewpager/widget: {androidx/viewpager/widget, cf0d4a457fe4645c78463d41a2a410b1}
androidx/core: {androidx/core, 7aaffb2a08ad8a9ea9379324e65699cc}
android/support/wearable: {android/support/wearable, b33cf2c094426be52cfd5909669f5acc}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 2e67c82802e8aedf84b2a27afea121ef}
com/evernote/android: {com/evernote/android, 22c0c92198ee90ca389fac2c5cb87b90}
com/google/a: {com/google/a, b07b90faaef85ca98eec401026f20ade}
com/c/a: {com/c/a, 28f9a36384fd67e470eb946fcdf1cb7e}
com/crashlytics/android: {com/crashlytics/android, 05f9c0e349da13cf46a285f22b72146c}
b: {b, 739ac40a2e0700a7f992271e7371a45e}
androidx/legacy/widget: {androidx/legacy/widget, 607de1c90aa5b59d28ff895952cff1e5}
butterknife/a: {butterknife/a, c78da13d833f36749e11d63bd9eec18d}
androidx/media: {androidx/media, 2f9da3b7379717bfb05b13c74cdc95c7}
c/a: {c/a, a7fea7915fdcf47e85d4b477e11171db}
org/xmlpull/v1: {org/xmlpull/v1, 7cd126fc074a6b13d90eaf6c6c892f38}
androidx/e/b: {androidx/e/b, c95d8d0d4b532ac9343042115e9aef0c}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/b/a: {com/b/a, 5e0bb908f2ebd10576ad6296555a1693}
com/anjlab/android: {com/anjlab/android, e1eb8fd515298b175065a984116088a0}
androidx/e/a: {androidx/e/a, abc6c738f6ddde7bbda6d8e343df45de}
b/b: {b/b, ad8a07cea6bae8f16d639cd0a3813549}
androidx/c/a: {androidx/c/a, fc93b2f98c31f001fddba3f97cf5967c}
com/a/a: {com/a/a, 2857ae07335b9acf4f963d4c618a6ba0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 82c9ec1b4f2c275689240e04299ffaec}
androidx/f/a: {androidx/f/a, 52dc9b4b54476615fdfdf64ba0131870}
androidx/fragment/app: {androidx/fragment/app, 6dad7018603fad246a63ae8933cb796b}
a: {a, 872224edb0db5ebc14e58d9a3823c4bd}
androidx/wear: {androidx/wear, dc2e53950aaed6b9f587d4c3cc71093f}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
android/support/a: {android/support/a, 5c942941063b96a228f2fe2a37ee0a58}
okhttp3/internal: {okhttp3/internal, 1ab664abdbf60d509936f0d2b0f1de35}
androidx/constraintlayout/a: {androidx/constraintlayout/a, c3c431643ff7e99207fc3e3c917a727f}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 0b664356b82d484b64362fd81fb45a32}
androidx/recyclerview: {androidx/recyclerview, 3fc7269780eb5e75dc054f169f857993}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, bfbc7942b50ba0ee0765d6466da12259}
androidx/b: {androidx/b, 2c1e3112085cc7e0bf4a982ef41f9da7}
io/b: {io/b, 2b8cf14c2c22938c44b9bd5170ea784a}
io/a/a: {io/a/a, c4c35cc610b4f81dcf9fcbec8867d3b1}
