kotlin/collections: {kotlin/collections, c18db5bc4fe937dbb5ee1804a60a33d6}
android/support/v13: {android/support/v13, 2805635758d28ea684bc19da183b4035}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
retrofit/mime: {retrofit/mime, 24627045fbd6b812978fe242f67cde89}
io/realm: {io/realm, 630f09827efcb6a11fe2848fffa51a12}
kotlin/io: {kotlin/io, a203aed91db6cb226e51143c979db203}
kotlin/internal: {kotlin/internal, ff16751b7850732cd1de9aabda55ed0e}
androidx/browser/browseractions: {androidx/browser/browseractions, d21871fdda79976c203a5c71510736b7}
kotlin/sequences: {kotlin/sequences, 970bf6220fa97f7eb29beac66c55caa7}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
retrofit/converter: {retrofit/converter, ad544becbe065d11edef7798dacc6327}
com/takisoft/fix: {com/takisoft/fix, 439e477b909f5c2db067253d3ad3eac3}
kotlin: {kotlin, ffaaa02e9f825e7de2b27b997929a63f}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
android/support/annotation: {android/support/annotation, 0c1b74d013947cdb47d96438329ec1af}
retrofit: {retrofit, 7be1ea62df4d9b56a8a6954c4960f619}
kotlin/reflect: {kotlin/reflect, 645c5c1613bc38f192e6b730226dcbef}
kotlin/math: {kotlin/math, 81d1a0072d2a0ba152ad827bb34f2863}
kotlin/concurrent: {kotlin/concurrent, f6a2ebd7b44474a17455d7a8aa2bc966}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
retrofit/appengine: {retrofit/appengine, a545d6ac3c4b22a6ad4569a1527557bf}
kotlinx/android/parcel: {kotlinx/android/parcel, 8dd422c7dd8b046709138bebf7749d79}
com/google/gson: {com/google/gson, 36ec8364c1743ec96bb6f92bf5e8d9d6}
android/support/transition: {android/support/transition, 39d6f6d89e10fde9a7a8caea7405ad84}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
retrofit/android: {retrofit/android, 94c2e8dccf29eb7c7e7e844f461bf8ac}
javax/annotation: {javax/annotation, 0dfcebafedf924d0e7b50c5d39376a6e}
retrofit/http: {retrofit/http, f92301e57a7a12e3509f4786ff2e8f09}
com/crashlytics/android: {com/crashlytics/android, 5ad62e01d18812d6a2e8ff5c67be846f}
android/support/v7: {android/support/v7, 0423682cdaa050803444042b014a433c}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
android/support/v14: {android/support/v14, c7cf389c524cd4b391b1a43c26ba641d}
kotlin/text: {kotlin/text, fb75d14c0e28b8984d2e8d71fbda93ca}
android/support/graphics: {android/support/graphics, 40f485e789ef7811568d075e1ff3404a}
kotlinx/android/extensions: {kotlinx/android/extensions, 5dc1eda4ef81e7539ba23f229c385358}
kotlin/coroutines/experimental: {kotlin/coroutines/experimental, 14c297bf93e80533acc52541aaca0046}
com/squareup/okhttp: {com/squareup/okhttp, 93fe6d2cc8a64827915348dcc1e77a99}
io/fabric/sdk: {io/fabric/sdk, 1aa23da22ade0ed759fb26b36c0c7a9a}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
com/bumptech/glide: {com/bumptech/glide, 54bcc09e4b0f78df1b0405b55878f183}
kotlin/system: {kotlin/system, 30db65e8d5613ca445a7026da66eef23}
android/support/customtabs: {android/support/customtabs, adc6f6a04842fa6767c89a8f11e50f03}
android/support/design: {android/support/design, d48c02cf4da2e6f0a24ce170af9667d6}
com/google/firebase: {[com/google/firebase, com/google/android, ], 1fc9af83969ffa79c62ac9fbd14da733}
kotlin/ranges: {kotlin/ranges, 04da8ee6001fc7e9dcaba468514b231a}
com/futuremind/recyclerviewfastscroll: {com/futuremind/recyclerviewfastscroll, a05255b27e878492860a07e5cd8e39d4}
android/arch/core: {android/arch/core, 319afbf72b4f1e1f2998893e882ef4a9}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
com/mgaetan89/showsrage: {com/mgaetan89/showsrage, f0ed4ae3ab80087e6bf290ade9ba2efa}
kotlin/comparisons: {kotlin/comparisons, a90ac46441615b31772b3a881b8a3d54}
android/arch/lifecycle: {android/arch/lifecycle, d1aeb83511c72afe8188c535dcf654f3}
retrofit/client: {retrofit/client, e31fbea781145e1d707451f426875019}
okio: {okio, 5bdc325e8afc08ba2e79279b82aa99b3}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, e009f7b03d5c8d7d7d7b98231b9b1a1b}
com/firebase/jobdispatcher: {com/firebase/jobdispatcher, c59d1df578f41d3598fa848479f74bf1}
kotlin/jvm: {kotlin/jvm, 9504a4469d2b46642732279712f7509a}
