retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
butterknife: {butterknife, 9acbcd890391d41e2314210a1f737fae}
io/fabric/sdk: {io/fabric/sdk, 81dae4e1a465f6dca2febe6cab66d38a}
ca/appvelopers/mcgillmobile: {ca/appvelopers/mcgillmobile, 18bc74e1596f4a75dcad4f3f058ed6c5}
android/support/fragment: {android/support/fragment, 542dd9699021b2a489ba6c7d8f6e4a23}
timber/log: {timber/log, c936207fb35a68b3ee0390d302078612}
android/support/annotation: {android/support/annotation, 9fe16518d18f3e909e89cce18ab3333f}
com/android/volley: {com/android/volley, 7aca4f7d836665b3c383623b42ec7923}
android/support/coreui: {android/support/coreui, 542dd9699021b2a489ba6c7d8f6e4a23}
retrofit2/converter/moshi: {retrofit2/converter/moshi, cc3dbcdf3d3a12907d7fc2c646bdb29a}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3: {okhttp3, 80547b082015862494475b4af7c35b16}
com/guerinet/utils: {com/guerinet/utils, 7281c49b78673435f496598d70715789}
com/guerinet/formgenerator: {com/guerinet/formgenerator, 05ca2ce9d1e5a5ebf751c7f07d48f001}
com/facebook: {com/facebook, 760fbf325ba7c3675b2b784a9a07debd}
dagger/internal: {dagger/internal, c77c739903b80fb4e185caa4feaf60de}
bolts: {bolts, 0c93f7d3e7ae9db6312948088a921ccb}
com/crashlytics/android: {com/crashlytics/android, f36ae564544908b363054d2de483c644}
android/support/v7: {android/support/v7, e74737c2ea4a34fc5ed6f67ad03e0251}
android/support/compat: {android/support/compat, 542dd9699021b2a489ba6c7d8f6e4a23}
com/squareup/mimecraft: {com/squareup/mimecraft, d1afdd0812955625e52c5ad016846870}
com/viewpagerindicator: {com/viewpagerindicator, 56c7a00bc15a8524de9182a177c56604}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, 22e588ef32ae15bb59b95da92126b1da}
butterknife/internal: {butterknife/internal, 663b7436c72a643d1b6d2984de10312f}
okio: {okio, 73d9b0418703b21d7d6cd2ed036f746f}
com/instabug/library: {com/instabug/library, 79a998bb7d8b0967dcb480fcde79d11d}
android/support/coreutils: {android/support/coreutils, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/firebase: {[com/google/firebase, com/google/android, ], 8d63db0bddac74402853082d7f7308d9}
com/squareup/moshi: {com/squareup/moshi, c709992ad57ab025be8b10a209718114}
android/support/graphics: {android/support/graphics, 6740e9905feabd54ac74f2a878e3c086}
com/instabug/wrapper: {com/instabug/wrapper, 16d6eb4b9aa46ba36ad8d0535993bd9e}
org/threeten/bp: {org/threeten/bp, 3980bc9ec6097f897be37a46b290ac98}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
org/jsoup: {org/jsoup, b90932a21b25b030642c885f2455453c}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
android/support/customtabs: {android/support/customtabs, 6ada5995a509a6eeaee0497254592c61}
android/support/design: {android/support/design, 0eaa7aa31a3c3fe734dda133679f76dc}
com/twitter: {com/twitter, b40d3985b89d73aae3f217ea325ba987}
okhttp3/internal: {okhttp3/internal, 1a222ade1bbf8608d315a258a8df5b9d}
dagger: {dagger, 1508d9c47c860d1b8fd97cd0d05c923e}
android/support/mediacompat: {android/support/mediacompat, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/gson: {com/google/gson, c4d10817b7a605e057eeeb25a9f6fa42}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], e72ba4808f9ba109280da0c902f6966b}
okhttp3/logging: {okhttp3/logging, 9e42169126e04ac7b21be3f77fdd47a8}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], b03916fc639ad9eb8df8e48ecb5176f0}
retrofit2: {retrofit2, 995648f5936fc966403eb4cd92545351}
