androidx/appcompat: {androidx/appcompat, 554b9f9cd2be8ae8eee39b34f8ccd607}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 06ef3855e3fbc023694225915de069d9}
androidx/activity: {androidx/activity, 191f58676d061e4bef24879b76439e21}
androidx/profileinstaller: {androidx/profileinstaller, 9b8baddb95687b207636f90d1374ab66}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f6ed7668b34523eb067628e5755b236b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cc7f387f9a2f5303691fc6c534f3ce10}
androidx/sqlite/db: {androidx/sqlite/db, 7ee03e7ea69d10ae44c1d8fc47fb766b}
androidx/lifecycle: {androidx/lifecycle, f9602fb403096391b03c7490971c72ac}
androidx/fragment: {androidx/fragment, 12aa47a9a6beabca5e0754d5a5e4183e}
androidx/loader: {androidx/loader, 302ee6ba6f034b12223cd5187065d4b2}
androidx/compose/animation: {androidx/compose/animation, c1e4d2d34699ac060fc5922c730bc98f}
androidx/recyclerview: {androidx/recyclerview, 16494308922efd49ebe6197e6d7d9946}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/autofill: {androidx/autofill, 725a706aea14f5e6d3752de8e475db35}
androidx/inspection/compose: {androidx/inspection/compose, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 50452b38c6c207abefb11aad48386cb6}
androidx/core: {androidx/core, 5057e2ce86f10a1f879451298cb9b0d6}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/collection: {androidx/collection, ac64e328b50e2538bf70a182eecc54be}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 72e8a77f710b61be3b7c18f0cdf562ce}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1df74f0dc4435c01170432b812d140eb}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 226e227b8792b797c41a527f092e30bf}
androidx/cursoradapter: {androidx/cursoradapter, 60f4e4884b35651ace1d33526584aea0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8237d7955a6ed9b1c373cd4f0a5310e2}
androidx/compose/runtime: {androidx/compose/runtime, 7b1ac7d0698e950a744c60d900343891}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/drawerlayout: {androidx/drawerlayout, 3410d38d6cf46d20a1ea61543dab2de1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 2366907a074946b178bb57803223b73c}
androidx/compose/foundation: {androidx/compose/foundation, 3e38960f2b2be67efe4e29922dc33da6}
androidx/exifinterface: {androidx/exifinterface, 339faff90df20b6314a01adddfd0f4f3}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, 4005de51a9c0e9064e4613f0561c92dc}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/browser: {androidx/browser, f8ba4c9b975c08cbf32ccefa3801531a}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 5b29dd6655cb262aeb89d25a70475684}
androidx/documentfile: {androidx/documentfile, 58464052c6a81e23a001dadd0b72a63f}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
android/support/customtabs: {android/support/customtabs, 4e18665da1060a66a3d9eeae3fce9458}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a1adb210595de42c986c2f8383ddc63a}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 73459e05781063da65dda8c716b44d0f}
androidx/concurrent/futures: {androidx/concurrent/futures, 5298d5b2c7904ca1120e157481b2ef7f}
androidx/customview: {androidx/customview, 16071f8f03f11fbd60d564e5b7dab90a}
androidx/compose/ui: {androidx/compose/ui, 1214963cf8bfb204825b2d92a0f20b12}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, 5c61a0963e02bea60d6bd70d2d777402}
