androidx/appcompat: {androidx/appcompat, e8c6a169869d096a60f2a944ac5d93d9}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/activity: {androidx/activity, c4b7dd66ea2e2cf188dfb82c933c2333}
androidx/core: {androidx/core, 23b22956eb2c2e623b544f076f8b1e40}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/preference: {androidx/preference, 2b2d56323baf0c75726c3a35e032ed63}
androidx/lifecycle: {androidx/lifecycle, 0de8f31cc61c5d6c52018e38169d9433}
androidx/fragment: {androidx/fragment, 65ec885c44e0dd4072538465bcf40e65}
androidx/navigation: {androidx/navigation, edef3f778e329d4f26818a5048724754}
androidx/loader: {androidx/loader, 44a8f919d508659d6f36a7776c184093}
io/gsonfire: {io/gsonfire, 2d2d8040debf9a41e63d1156096956a1}
androidx/vectordrawable: {androidx/vectordrawable, f203bce619b9f967a0fd4a527a48c50d}
androidx/recyclerview: {androidx/recyclerview, 984656c57baa40cc030eaeb5e4db5b11}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 2442f206751a072bb6afa277d3afd93a}
com/android/volley: {com/android/volley, a2761b2b34a20abf6e2feb1bca9ca744}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 9b50e91e033ab979d098e3edc4921c11}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, c6efb538eeea7afe892a1d57bfd76389}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ea9db7d3e8f0ded58051142ff217eefa}
androidx/transition: {androidx/transition, dce798a2b4368f648148e714d83a4f94}
com/google/zxing: {com/google/zxing, 55e4b8e97342c93179194bfd79678dcf}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
com/squareup/okhttp: {com/squareup/okhttp, 1f4977553bf0e17eca6ccfd921a48ac8}
androidx/slidingpanelayout: {androidx/slidingpanelayout, cbc67baf6fe62b8110112d6270a24b35}
androidx/multidex: {androidx/multidex, 45a41655404507a84fa2abd8f023fbaf}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
androidx/emoji2: {androidx/emoji2, e92daacf8d8752448dbd70dca295df30}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/firebase: {[com/google/firebase, com/google/android, ], a86479e2fa915ba431af321a89f3f14d}
com/mikepenz/iconics: {com/mikepenz/iconics, 12788eff79f2842f7fd82ca3ef3c1f24}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d562a03bc92441b86eeaff9788a0e560}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 302d20314c6988009df438698bb4cfaa}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 5e728bd2add31b53e4a8f6958878e0a9}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9cc274a1a7735e0aa665ec1ccd81ab75}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, c6ca4dfc1a1d701a23c44d651bd1043a}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
com/evrencoskun/tableview: {com/evrencoskun/tableview, 341357c310331e1cc1cbb1f7cdfaf4b3}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
com/google/gson: {com/google/gson, d5c99add00bdbc777da50f84f34d2845}
androidx/concurrent/futures: {androidx/concurrent/futures, 428698836469a11e39ae4c678ac31f99}
androidx/customview: {androidx/customview, e09c7f828267e07106f1fc717e51e8fb}
androidx/window: {androidx/window, 70b1f61ed4873cd36545debe3dd83fa7}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, 4b21d82fe9206d47bed66914033b22c4}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 043c25f9d76733c05e539a138cc76bf1}
com/michaelflisar/changelog: {com/michaelflisar/changelog, c245ea460dfe4cbd8b31a9a5198ceb17}
