androidx/appcompat: {androidx/appcompat, 38dd8972fb8336cb82dd3f27bcb51b17}
kotlin/collections: {kotlin/collections, 8a1c533e823c9b141306dfd8779bf831}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
io/reark/reark: {io/reark/reark, a323c9a8b728a57f588eeeec55016e4a}
kotlin/internal: {kotlin/internal, 80f279d5e34457c17b6bbdfc08b92f4f}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 03b4e00802bc807b200d3f45a62f2caf}
butterknife: {butterknife, bcf316ffa73795e3e8ce7784fb97c61d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, dcf6f93985002835c294c04109a3a461}
androidx/customview/widget: {androidx/customview/widget, f66cb50c9dd585259979d994cb57f5cf}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 5b13c629952fd93c7165e2e375872852}
androidx/lifecycle: {androidx/lifecycle, a440e7238327e37024aead20a48d054a}
kotlin: {kotlin, 1706cde5ce4f4033948439ac4cd2c194}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, bbc72c76b65500e1386a4f9556bac47d}
timber/log: {timber/log, 97bcae929d46361745b2e1c78abe0cab}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 3052eddbe025c5109ef775af009e3e08}
kotlin/reflect: {kotlin/reflect, 2f98f4fd60829d2567feda6a980af495}
kotlin/text: {kotlin/text, 045e3285f788ded74223925d041f445d}
androidx/exifinterface/media: {androidx/exifinterface/media, 3257f2907c1bcae453d495c44dbfaf10}
androidx/versionedparcelable: {androidx/versionedparcelable, 309cd42c302c2ce5493a1e7216518ae6}
okhttp3: {okhttp3, 50b337fa5225d999f3bf440dfa79f803}
androidx/viewpager/widget: {androidx/viewpager/widget, e255373693f1e0c873f9119ec2ec3e37}
androidx/core: {androidx/core, a3460758515545c85bbb9112264ff21e}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e09b02c0e66a489dbe70ae149b43a92a}
androidx/collection: {androidx/collection, 7d87326c51fd7c66c8d141698efe71fa}
net/simonvt/schematic: {net/simonvt/schematic, 7af0fc069cb31ae09827702365030c1f}
androidx/transition: {androidx/transition, f862c15c586bc9f2408025da3029a276}
ix: {ix, 5d7343adcf3e12dd40ec0c591ec02737}
dagger/internal: {dagger/internal, 32774ba51f7bc6a8cff16915e6215d58}
androidx/multidex: {androidx/multidex, 733738adbf769738f1a89dfdcc30e536}
androidx/cardview: {androidx/cardview, 9b3fd3b3065b64171169c6561fb86065}
com/miguelcatalan/materialsearchview: {com/miguelcatalan/materialsearchview, e7cb25e63584ce23bffb48efb3dbc2e2}
com/google/gson: {com/google/gson, c74b5e95732ad1aef4cc7c7af4ea60ff}
com/github/chrisbanes: {com/github/chrisbanes, 6061b78c98dc10477904c744f0ff44f1}
