p2: {p2, 6faab340b21be426f36b6f6ef4595f36}
androidx/core/widget: {androidx/core/widget, 4d4895d44a08ab6e1eae4ad42b42f6e0}
j: {j, 3e906210f9b444cd143aef74d24dbca8}
c1: {c1, f454eba3f54bc157cce960db6f92dc87}
androidx/activity: {androidx/activity, 53954c6dedfa9a4c313ab1474f026411}
androidx/preference: {androidx/preference, e1219da4e43abb52b4cfa42f32fc4430}
i4: {i4, 66591c2cc33c29ca99e9b44f0dc49bd5}
o0: {o0, 713873a4f729c4cea034ee796e3c49e3}
y0: {y0, 711480e8466b8e3f10078b8dccc5159b}
com/google/android: {com/google/android, 215344ef4b88a8000e9bb143dde62a97}
v2: {v2, 4b793ff7801ad2ae1a92b9904fec0e31}
z1: {z1, 71d775ea1f21772783577a0bbb1300b9}
t2: {t2, 954241e490049e691bd606a5d86ef319}
w0: {w0, 26d2a5e6a44797754a0a05ac432cc283}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, e878b99bc9834b31471f9da9dac6cc4d}
r1: {r1, 036a2fa23ef128c737feb97f4f643fb9}
d0: {d0, 2b6a5ae22acda5f2afb0e765116947e0}
f4: {f4, df1d20d8818ba3182ef4dd6d8d556008}
b: {b, 1bce10cb8de4abae38c6f871f8417ab6}
k1: {k1, fb42eeacb955b6767024f82e86037ee7}
k: {k, b6c3a992a8006887f84ae193a22949a6}
g1: {g1, fd9d30f0999d45f2ae274241122048c3}
c0: {c0, b38117441e45b9319992fd2f1ca19d62}
p3: {p3, 6f880cf47e18fa492dc7bf5b20fcbad3}
q3: {q3, 60dabf39e5ff93869280f7686f6400b3}
l2: {l2, 16d413d850a6eddd9edeca3cdc17e37a}
i3: {i3, 0e986ce7537863d4b6ceef0b53cddf39}
androidx/core/graphics: {androidx/core/graphics, 575ffaeb0e81cdada5d6918ae6496d8d}
o3: {o3, cb38bd98b61fbae9efd208b4e4e0ffe0}
androidx/savedstate: {androidx/savedstate, 6a28a8b2eb4b361254ff67034c91b212}
t3: {t3, 7c9f3a0b83750c4b3cfd62983cf78908}
j2: {j2, 5236b08634d5d9930e2c418d45553959}
v3: {v3, 316ad0205231e5a9857ed8f434e2d81d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6d9a2021655c2195cbad78c9ace5283e}
h2: {h2, 44e0d18770cb5a2f835b19e0d4adc446}
u3: {u3, fa5b6553cf0e419ebbbd27b16d348af4}
androidx/startup: {androidx/startup, 775f9a78c2ce88ce8f1a6aa47274f9f9}
androidx/appcompat/view: {androidx/appcompat/view, 0ce7ffbedaa9ea1c2621665d5066da77}
w3: {w3, c5b668d18780747e39517124aae08540}
z: {z, cd95b63e0c60e9e32c01dcd0e32f04e8}
d1: {d1, 986c590351ad832f87a10bfeb4206ad0}
c: {c, 351ae11f6602934ea588327af3ce9212}
k0: {k0, b8ca46fb9eabaf61e02370043b104298}
g0: {g0, 32064601d5333e51a549589f31e25164}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, ccf063dc5745e3b6a40ca20eb5da9ba3}
