rx/observables: {rx/observables, 8acc208eeea81a8d8557d560b368cd48}
rx/functions: {rx/functions, f484483539ace4d6d87c2097bcac63af}
rx/subjects: {rx/subjects, cf8b84d537ed4b667d0ea8050aa9df8a}
rx: {rx, 06d0bf51e38dddd0ec47666b29d52ae8}
com/google/i18n: {[com/google/i18n, com/google/protobuf, ], 4dea43319d64795e92ce8705430c69b7}
butterknife: {butterknife, f9e10ad9f327b26b799c7d41e931416b}
io/fabric/sdk: {io/fabric/sdk, 195f27b58ee30fa7d4d4428864545456}
rx/subscriptions: {rx/subscriptions, c0dd85ea6fc83ee92787a97d79bac6ae}
retrofit/converter: {retrofit/converter, 210913d95377e9b023f8e1a5c758676c}
de/greenrobot/event: {de/greenrobot/event, 94eba624432eb32b5750b7e900875e0d}
com/hannesdorfmann/parcelableplease: {com/hannesdorfmann/parcelableplease, 703cfda6f9111c0d733a8f809172175d}
timber/log: {timber/log, 44a2176684ce6e0e9f4d122c2bddc6cd}
retrofit/mime: {retrofit/mime, b118da15ee7f6b3f8cf1a31585d0370b}
android/support/annotation: {android/support/annotation, 9fe16518d18f3e909e89cce18ab3333f}
com/hannesdorfmann/mosby: {com/hannesdorfmann/mosby, 456f5fbb35425f7ef0f2433565a1c79c}
retrofit: {retrofit, b38b653b2fee6c8f19ccdf3680ba721d}
rx/internal/operators: {[rx/internal/operators, rx/internal/util, ], 603e76757a65ede2b0b8bd209a0f7480}
icepick: {icepick, dfdf14220228a0a04d284c509dbe8d1a}
retrofit/appengine: {retrofit/appengine, 95ecc8566a606cf83f26f6894363a664}
com/hannesdorfmann/fragmentargs: {com/hannesdorfmann/fragmentargs, 665c825bb491e42d389b1f03ca34e93e}
rx/observers: {rx/observers, 2d5e45c7479ddbe81c6682ac9e364f9e}
retrofit/android: {retrofit/android, f32835a91fc30464378ed59b8193b62d}
com/facebook: {com/facebook, a530933be84024821509ba6fefd7d619}
dagger/internal: {dagger/internal, acce23293d5bd3fb942bc5cc13368bec}
bolts: {bolts, 0c93f7d3e7ae9db6312948088a921ccb}
dagger: {dagger, 84f0754b67e2aab87094fa15c37e1914}
android/support/v7: {android/support/v7, 85695a0f3fa14d2c97308d152c4ed471}
com/greenpixels/seanecio: {com/greenpixels/seanecio, 8980b5f00853ad1169d51f0ba69825db}
butterknife/internal: {butterknife/internal, fca6de7dd86c0b0b223af346760fa32f}
rx/exceptions: {rx/exceptions, 3265208ce5b177ae824cb59f6d54fd38}
android/support/v13: {android/support/v13, 1e1b0e2a32a2b4ba02a89ca34d29b4cd}
com/google/firebase: {[com/google/firebase, com/google/android, ], 598a5cd4c9e68442a627171ed192ebb2}
android/support/graphics: {android/support/graphics, 99dbe64bbfca9eb00944faab9ce45740}
com/firebase/ui: {com/firebase/ui, 107a99c9fc6c4cd5f657b6fc0b26f3b6}
rx/android: {rx/android, 2f88bf031e1d1539d29a8e5b9e83f6fc}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, f85b70c870b2e67c4ef84e9443a8d542}
android/support/customtabs: {android/support/customtabs, 6ada5995a509a6eeaee0497254592c61}
android/support/design: {android/support/design, 221223f92d196b73591e912fe3d39b53}
com/hannesdorfmann/annotatedadapter: {com/hannesdorfmann/annotatedadapter, ceed743564533c76e733100f853bb7de}
com/squareup/leakcanary: {com/squareup/leakcanary, 1c606634535730d3a0c87a9fda9191a4}
retrofit/http: {retrofit/http, f92301e57a7a12e3509f4786ff2e8f09}
fr/castorflex/android: {fr/castorflex/android, fd0d14c9c1d988088755f64a3cb1d3a7}
com/crashlytics/android: {com/crashlytics/android, 66f3d1f260df6e8b9f80d57aeaf8936b}
rx/schedulers: {rx/schedulers, c11a51122c935aed0e82ee768d857b3f}
com/google/gson: {com/google/gson, 957b9ca9064226164ac2f18d75b7d117}
retrofit/client: {retrofit/client, 49ad8342a893c9f92e3f527c12fbee08}
rx/internal/schedulers: {rx/internal/schedulers, 1657e388cae4218564c13f94ed28d43e}
