androidx/appcompat: {androidx/appcompat, ff0b48c3de6b988aa5f9dd930fe6f657}
kotlin/collections: {kotlin/collections, ad82fa92c174c6a32912f933317bd159}
androidx/camera/view: {androidx/camera/view, 6ea3227061e4f2dd8b1844da594bdc2c}
kotlin/io: {kotlin/io, b7e4474b6aeb985c35673819d5e60737}
androidx/media3/container: {androidx/media3/container, ce29b50493b761cb4b1a0e049df17456}
kotlin/internal: {kotlin/internal, 18b441ff712de5c8cc044d3910b7b316}
androidx/media3/common: {androidx/media3/common, cebb3d08bd9c7a7b8b42bf7cf064cee4}
androidx/activity: {androidx/activity, 3173b976279cdfd2d1725957eb2495a9}
androidx/core: {androidx/core, 52e46f3d3dd8e4db9ecf2f1400e76f8d}
androidx/compose/foundation: {androidx/compose/foundation, dc6ab8f3313355cb4e72fa2cd0c38533}
androidx/camera/video: {androidx/camera/video, cb71722467208b2a15005d72ac62e952}
androidx/media3/datasource: {androidx/media3/datasource, 53c95408404d6308b09803584a62da77}
kotlin/reflect/jvm: {kotlin/reflect/jvm, ecb954defb99bb7a988bf3bed4ed4ccf}
androidx/lifecycle: {androidx/lifecycle, e0b6c57e5fe6968b7f69faa4e319bcaa}
androidx/fragment: {androidx/fragment, 2c954cacb200a4a311425afd6460d813}
androidx/media3/extractor: {androidx/media3/extractor, 8d2dd50d0576f31bd9556a999a14c0a4}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/compose/animation: {androidx/compose/animation, 5672d149bd300f3de42647a955e6dae8}
androidx/media3/exoplayer: {androidx/media3/exoplayer, d6e38fc32d3d25be2959155303055c7f}
kotlin/coroutines: {kotlin/coroutines, 2aee4a6ee0439e6dfc9225ec68d0e238}
androidx/exifinterface/media: {androidx/exifinterface/media, 8d609f1c887682d7abeac2024821f1ab}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ca21895cf690ffd286fb639d80b82558}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 86146b753cb18e4c96ed818462cabfda}
androidx/collection: {androidx/collection, db846939aff91173e9c87a16dc7603a1}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 435eaf7b66e6923c96aa6599defc70d5}
androidx/camera/lifecycle: {androidx/camera/lifecycle, d439bee334e0c57d16f680a56182214f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, cd26f2128b222e528af314c4fa8757a1}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
account_ingest: {account_ingest, be3b0792ad4b93f5c6c51139b8dacb62}
androidx/cardview: {androidx/cardview, c0584c9b9380b73c5d371004b253f234}
androidx/arch/core: {androidx/arch/core, b3e2fc62707c42b69db8f2f7f85d9e48}
androidx/camera/extensions: {androidx/camera/extensions, a6a561c3f3f6d85acc81287c6e49cef9}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, c297e639dee206640dc51d59fdb972e9}
androidx/media: {androidx/media, 7903136d572994f138913fbebe4d1c00}
androidx/loader/content: {androidx/loader/content, 7c845db50833531cf6bf6a5bd2404abe}
androidx/compose/material: {androidx/compose/material, 0aa5c3fc75c1b9a6a5fee51a9e8e49ed}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 4ce356e1060801c289f37f5dc374f7fe}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
androidx/asynclayoutinflater/view: {androidx/asynclayoutinflater/view, f565b0cc49b43a4180504787d2c7d0b0}
androidx/compose/runtime: {androidx/compose/runtime, 7d95bad3b8059a7b8e03da6e8b52b360}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
androidx/emoji2/text: {androidx/emoji2/text, 8f848e7c92eebdac33aaa3ba9b8ddd3c}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6560fbdc692979946f9ca7c1c1c31181}
androidx/media3/decoder: {androidx/media3/decoder, 71d0a0e48c8575ab9b7deed8a4bf8979}
androidx/biometric: {androidx/biometric, 9886ab053cd80ed82e53a466fb5adedd}
androidx/customview/widget: {androidx/customview/widget, 8213fcd4398a36ac3e182b78cf6cf599}
androidx/camera/camera2: {androidx/camera/camera2, 1d88f752474fd5af91627ba8624db0d4}
androidx/documentfile/provider: {androidx/documentfile/provider, 66345dbc42d408ea59ad93aa48bfccd2}
androidx/asynclayoutinflater/appcompat: {androidx/asynclayoutinflater/appcompat, 3b5c008569e0cce8d88424ca70c11875}
kotlin/comparisons: {kotlin/comparisons, 7930e21a5fc55700e2143884f135550e}
androidx/concurrent/futures: {androidx/concurrent/futures, a87babbc8542521ce71df41b164be830}
androidx/gridlayout: {androidx/gridlayout, 8d651aef91ffc1e729ff8c365ad410d7}
androidx/compose/ui: {androidx/compose/ui, feb461dcbe08285635171c212ca55047}
androidx/compose/material3: {androidx/compose/material3, f4e2cdf7cfe5fedfb193eb37c70b2d88}
androidx/loader/app: {androidx/loader/app, 56cdaf3438bee8f9652b1056c20d9e09}
androidx/camera/core: {androidx/camera/core, 314a68c9cf15094717b7129fbb03ae42}
kotlin/jvm: {kotlin/jvm, 38cfd7b327ec99d7bd44e4db6baa0ed8}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 16fc7f1667dfbfc582711d5a31829363}
