a6: {a6, baa744cba4b0222d7b4e232796f11e43}
kotlin/sequences: {kotlin/sequences, 4d0ce6f26dd66365f8d79fe1524cb249}
l1: {l1, 8e85585804cf15a772388e0d8349ed79}
androidx/datastore/preferences: {androidx/datastore/preferences, df31102efb93e0a3a75347fa14c4b4a7}
i4: {i4, ef9174c153caf8859499308a44da6051}
g6: {g6, 9a9de6db1fca8369bfa01ab3de3a388d}
r9: {r9, 1f76289d094f758ee5627c68d6d6ade3}
ua: {ua, acf7ef943fdeb3cbfed8dd0d8f584731}
v2: {v2, f387cd7e0f1b6baba705a1a74b437d1b}
w8: {w8, ab952be56df981d971fc60afbd98e4bc}
m6: {m6, 26173f4902dbdd098a30657ecd7e6782}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 0f99858addbc5f266edfb8a508f06468}
r7: {r7, e43f372415fbd3a7ff93cf15e95fe0e6}
nb: {nb, c83afb87243d9779ec0c9b7de0607b89}
h9: {h9, ade411e015e4f24c0a63084a70bf3aaa}
u4: {u4, 0aa2bb1fef821f801d00636521ec452f}
g1: {g1, 8a4f99c6f4e3b50d9064c1173425308e}
c0: {c0, ac544e426aa9c3ad2dc13eaabf9ae847}
com/github/paolorotolo: {com/github/paolorotolo, 6bf81b4c21c704eaefc899318eac4af1}
ea: {ea, 830171aa5788cd177553690ddac9a7a0}
cb: {cb, af92ab2500bc5924c7400e18db9cbb5d}
x6: {x6, 86cd7f8ce0eb44eb95a1e08008e74153}
o3: {o3, 4927e9e6dabae137bba655e94230cebd}
o8: {o8, 9c6c0b66d6c47154da14ad4cd741c190}
t3: {t3, 2fe2f3b7267cbe8d46c7ecd918c97a91}
androidx/core/graphics: {androidx/core/graphics, 90b5f3eabbbae3e8fcfd5001074a3f2b}
h2: {h2, ecd5f94bf1ac85d443771c75eaf1ab2a}
c9: {c9, cb8cd0f896b5613d3de2641f02b202b8}
com/signaturemaker/app: {com/signaturemaker/app, 55ee574b0b972f87f70cef31360e7f82}
z: {z, 8f5e21429476dd9c2ed105229a8ac51f}
r6: {r6, 8f0fe91575e5d03490ad9ac94c6514e5}
s4: {s4, d738c90c9255b73f7f1a1d9fd344506c}
na: {na, d5799e01b9509ff95a22c67b3d9ac307}
b3: {b3, 21d0da3796911ed1c008f7023e87558e}
q2: {q2, e14ac8ea93ca2d32f01b4e99f97f98a9}
e4: {e4, cf0956754da886df0646ea09e1ca5f4c}
ta: {ta, b26668adcea8b52affcec2c8c60a5a94}
androidx/navigation: {androidx/navigation, fa9501ced704971f45a0d273fd4b5e64}
t: {t, d098ec2afd98fce4bde01ee5c7d22342}
y7: {y7, 87eb6f39ddaeb456cfee56f19f3ccc2f}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
s: {s, 12020ded15e8f4d4189bd0deb722d061}
com/larswerkman/holocolorpicker: {com/larswerkman/holocolorpicker, 94ebc77b186090d5125016b12dc02db7}
f2: {f2, bfeea46937b4ca76d8ca776f0d7cd3b5}
g8: {g8, e300abfd89effc0691b1602f9c0216ec}
v9: {v9, 72945cf125835e621fa96996707c160e}
da: {da, acf7ef943fdeb3cbfed8dd0d8f584731}
w5: {w5, 46ed004d53e0cac8195db2adbad37941}
z4: {z4, e6acf540a7a7bd78e15598864c47e9b7}
p5: {p5, 48618347da91dd21a9f4cf5d17c511e2}
com/daimajia/swipe: {com/daimajia/swipe, d8d5ddd1163c5f0ab1c2153fc3f476ea}
d3: {d3, 621dec7a3023d63c9098aee467416eec}
k2: {k2, dc14463e7a52cbcc5c85dcccd4d9e7d5}
m: {m, 0ae3b28281c6ef2420383a223ade68ad}
q9: {q9, 7627bd440fb1510569ab9c133d81c837}
e3: {e3, 41df716d52ae0fa7dc6a4d9f04677da7}
y4: {y4, 0c3604fd4b709e4d34f75ecb84258853}
u8: {u8, b8d4006182b0f2e10c28dd74f99d1687}
m1: {m1, 2ad13b7ef1fc712d85ddf0fb5789d83f}
x2: {x2, dc897821d333d44c81d2a6b829706d9f}
a2: {a2, ad9625cb610164493bacef3871dc4c83}
n9: {n9, 242fd40515d80faf411f661d5c60eb89}
s9: {s9, b6fc640fa8a12202a567c53103089016}
n0: {n0, 7eef5ab43f488ff2a86d0a36e2712193}
k5: {k5, 59481937db9fd087d1f6fb3093a1ff43}
f: {f, a569f4e4122153d7eb521dd7dd651229}
i9: {i9, 408143f041ee7067042c0f749d63fecb}
j1: {j1, b35f3bf30237db7bdadb534a1121636c}
androidx/datastore/core: {androidx/datastore/core, 455989f7e4fa68c7fa5b680488028fb6}
a9: {a9, 75b31d327aa59136d4dc850cc05062f6}
h7: {h7, c806d1ab00819bdf4172c248a28ce73c}
f9: {f9, fefdd0a6eb12ddaa1da0ae77fb46bf00}
i7: {i7, 5dbd2bce7768c9b6ee76b979bce786a4}
g5: {g5, 6c5e28e672a388050c794dc49411458b}
u7: {u7, c70f562cee46af58765a170f687b37d1}
v7: {v7, d2129f3a57c2c5818f5048803df3d736}
l5: {l5, c733df988f9605d74a555b46c250a7f5}
i0: {i0, 7831cdb3277fe3b4e312148c748b960c}
s0: {s0, 96fb26c9c9a3ca69f079ddd86a4f6a3a}
t7: {t7, ad78dcdec0794f950143ea319b2dc32e}
retrofit2: {retrofit2, 9602e613c31f0d39a1ba08bf178e6387}
b7: {b7, 2e3693ab27f4dfc759aa46c997e4f3d9}
