androidx/appcompat: {androidx/appcompat, 69b47a19ff51294d1be0fcebd3fb9661}
io/codetail/widget: {io/codetail/widget, ccfe91293ffbb3f13d4bc9383c6bee4c}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/activity: {androidx/activity, dec3c0ef209f8dd84084c6feaf35e93e}
cyanogenmod/os: {cyanogenmod/os, 9843256d3206adb17311a9c45cf520a0}
androidx/preference: {androidx/preference, f356dbbe96587cd38070d1afb61a74fb}
b/e/a: {b/e/a, 0327aa6dd786bd55b05925cf905be6bd}
b/a/a: {b/a/a, 04167a315cdc9f08ab2176e703e27144}
androidx/vectordrawable: {androidx/vectordrawable, 36fa254e1727bf250dab6f59cc1ab5d4}
com/google/android: {com/google/android, 6bb1bc05ec37a040d0004e179717ed86}
g/q: {g/q, 2b409c0846840cf1f7a824c8644a9f1b}
f/a: {f/a, 4fbf6f04764a820443ffc397720b37fc}
d/a: {d/a, 0253518b407f847054ea2c0273d428d6}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, fc13f940d1ca8dae7748aa4640cc8adc}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6bf2f58c67ed474b51c436a205c16c83}
b/c/b: {b/c/b, d75e9567945977eaa07039df0e0713bb}
androidx/cardview: {androidx/cardview, adfb41b5dabdfb031615d52ebf5a6ca4}
b/d/a: {b/d/a, 263ab5f07cf0d834ae4bfe56be55f456}
g/y: {g/y, 63bb5074289bf6648a8dd01c330f1d73}
cyanogenmod/platform: {cyanogenmod/platform, f46cbddff7d35d638103baf22da10cf9}
b/i/a: {b/i/a, cb768fab1f6be02bf8772cc6b3fb8faf}
e/b: {e/b, d9568a31e20b363edb6c707837ea6665}
c/c/c: {c/c/c, f563a999b12b459df0f08f13ab10855f}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
androidx/savedstate: {androidx/savedstate, 4506424985eb63b119e4b5fcafb36709}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 72ddd7830bd14d9233c7583e789c3078}
g/v: {g/v, 89e28adda57be32cb8433014e4d713da}
cyanogenmod/providers: {cyanogenmod/providers, 5fcf60f78a1a33d24ddf5218e1b182de}
james/adaptiveicon: {james/adaptiveicon, 15ac7d7ac80fed46c88ace35ce7bf4a5}
okhttp3/internal: {okhttp3/internal, 0d13cd5837b87ecd72ab36e1aea17a1b}
cyanogenmod/externalviews: {cyanogenmod/externalviews, 2ce9a1032373a4897d518ecdb0fb7d29}
androidx/room: {androidx/room, d8c7392a19cec2b29bd00b7e8c3de5b1}
h/b/a: {h/b/a, ea8b3499de0836539047ad0bfc2b60b1}
cyanogenmod/power: {cyanogenmod/power, f82aff35a294a24597b138d12b18bcdc}
androidx/lifecycle: {androidx/lifecycle, 04c30f7d3aa175ff00a74386f371ba7a}
g/w: {g/w, a52f17e73492f042610404dbf62ca8c1}
androidx/versionedparcelable: {androidx/versionedparcelable, 0657a726ddcd754c4c2295851a7b1a87}
cyanogenmod/profiles: {cyanogenmod/profiles, bbca820aa790e224b2a816eb6523bd7d}
okhttp3: {okhttp3, 0b891a74e0d519cff7a07e7c8005e1c7}
h/a/a: {h/a/a, 0698d09a5797555beda08f85fb05062a}
androidx/core: {androidx/core, 158c2d028a5fd0f0f98f4099fa7bfabd}
androidx/transition: {androidx/transition, 2fd620f62f24302ecfe20747b0f53541}
b/h: {b/h, e1a51687caea4b4d9214dec25691f88e}
wangdaye/com/geometricweather: {wangdaye/com/geometricweather, 09aef330a02d8f5e126b5fa68c35dba4}
cyanogenmod/content: {cyanogenmod/content, 542dd9699021b2a489ba6c7d8f6e4a23}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 13f3f83f46901db63f9678d9ba6caed1}
b/g/a: {b/g/a, 470839e926541946c573cf97bdf20e70}
cyanogenmod/alarmclock: {cyanogenmod/alarmclock, 79fc15c5ce8b701fc69f0816090ef2b9}
androidx/viewpager2: {androidx/viewpager2, e2dd65e21ae4527527d571241fa7a46e}
kotlinx/coroutines: {kotlinx/coroutines, 5d1fe514961f410d7a7a9683e0ebca3a}
com/turingtechnologies/materialscrollbar: {com/turingtechnologies/materialscrollbar, bb93c4362849f3979ff409c328837720}
d/b: {d/b, e7adb04d6103d1ed8d87fd091af3985f}
cyanogenmod/library: {cyanogenmod/library, 72cf9d6c28032dd70c4844e11a779c01}
androidx/recyclerview: {androidx/recyclerview, d686b0caee98d9d5c434dc36562a14e6}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 18b387959b3d3a62d2b453f0df620c22}
g/t: {g/t, 7b3154c79b7f3f62e89c74e614b1dc1c}
androidx/dynamicanimation: {androidx/dynamicanimation, 9d2548eb55c936e507a4fe8fc6813dc9}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], dc5d9bb345bb1fe0abba8badf14485e9}
cyanogenmod/themes: {cyanogenmod/themes, 46919cfa260c8ed9d9f90f9eb768eb73}
