androidx/appcompat: {androidx/appcompat, 69b47a19ff51294d1be0fcebd3fb9661}
io/codetail/widget: {io/codetail/widget, ccfe91293ffbb3f13d4bc9383c6bee4c}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
c/c/b: {c/c/b, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/activity: {androidx/activity, dec3c0ef209f8dd84084c6feaf35e93e}
cyanogenmod/os: {cyanogenmod/os, 9843256d3206adb17311a9c45cf520a0}
androidx/preference: {androidx/preference, f356dbbe96587cd38070d1afb61a74fb}
b/e/a: {b/e/a, 0327aa6dd786bd55b05925cf905be6bd}
b/a/a: {b/a/a, e5816cebf6df60555cd915554c43f6cb}
androidx/vectordrawable: {androidx/vectordrawable, 36fa254e1727bf250dab6f59cc1ab5d4}
com/google/android: {com/google/android, 8933e0033fb7b3e38039f5bede92e8fa}
g/q: {g/q, 2b409c0846840cf1f7a824c8644a9f1b}
f/a: {f/a, fb153b1394b2275bb10b8e1ac20a2719}
d/a: {d/a, 3940790dc3e369c849b021c76fdc650e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, fc13f940d1ca8dae7748aa4640cc8adc}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6bf2f58c67ed474b51c436a205c16c83}
b/c/b: {b/c/b, d75e9567945977eaa07039df0e0713bb}
androidx/cardview: {androidx/cardview, adfb41b5dabdfb031615d52ebf5a6ca4}
b/d/a: {b/d/a, 263ab5f07cf0d834ae4bfe56be55f456}
g/y: {g/y, 63bb5074289bf6648a8dd01c330f1d73}
c/a/b: {c/a/b, 6c5708cf80d11c8c4ae4786a21031f12}
cyanogenmod/platform: {cyanogenmod/platform, f46cbddff7d35d638103baf22da10cf9}
b/i/a: {b/i/a, cb768fab1f6be02bf8772cc6b3fb8faf}
e/b: {e/b, 9bffbaacd3e7b7e7f2f21f1f88c07864}
c/c/c: {c/c/c, e467fc2229214d9da212cda5cce88ab3}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
androidx/savedstate: {androidx/savedstate, 4506424985eb63b119e4b5fcafb36709}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 72ddd7830bd14d9233c7583e789c3078}
g/v: {g/v, 89e28adda57be32cb8433014e4d713da}
cyanogenmod/providers: {cyanogenmod/providers, 5fcf60f78a1a33d24ddf5218e1b182de}
james/adaptiveicon: {james/adaptiveicon, 15ac7d7ac80fed46c88ace35ce7bf4a5}
kotlinx/coroutines: {kotlinx/coroutines, 5d1fe514961f410d7a7a9683e0ebca3a}
cyanogenmod/externalviews: {cyanogenmod/externalviews, 2ce9a1032373a4897d518ecdb0fb7d29}
androidx/room: {androidx/room, d8c7392a19cec2b29bd00b7e8c3de5b1}
h/b/a: {h/b/a, ea8b3499de0836539047ad0bfc2b60b1}
cyanogenmod/power: {cyanogenmod/power, f82aff35a294a24597b138d12b18bcdc}
androidx/lifecycle: {androidx/lifecycle, 04c30f7d3aa175ff00a74386f371ba7a}
g/w: {g/w, a52f17e73492f042610404dbf62ca8c1}
androidx/versionedparcelable: {androidx/versionedparcelable, 0657a726ddcd754c4c2295851a7b1a87}
cyanogenmod/profiles: {cyanogenmod/profiles, bbca820aa790e224b2a816eb6523bd7d}
okhttp3: {okhttp3, 0b891a74e0d519cff7a07e7c8005e1c7}
h/a/a: {h/a/a, 0698d09a5797555beda08f85fb05062a}
androidx/core: {androidx/core, 9d596a7d2796d38bb9a1c7104e621dee}
androidx/transition: {androidx/transition, 2fd620f62f24302ecfe20747b0f53541}
b/h: {b/h, edce4b51f50f78fd148d67de705f09d3}
wangdaye/com/geometricweather: {wangdaye/com/geometricweather, 4c79f376f0f213893c487b002a6e371b}
com/autonavi/aps: {com/autonavi/aps, 3e40d723df11672bdd2e9f05a6fc841f}
cyanogenmod/content: {cyanogenmod/content, 542dd9699021b2a489ba6c7d8f6e4a23}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 13f3f83f46901db63f9678d9ba6caed1}
b/g/a: {b/g/a, 470839e926541946c573cf97bdf20e70}
cyanogenmod/alarmclock: {cyanogenmod/alarmclock, 79fc15c5ce8b701fc69f0816090ef2b9}
androidx/viewpager2: {androidx/viewpager2, e2dd65e21ae4527527d571241fa7a46e}
com/turingtechnologies/materialscrollbar: {com/turingtechnologies/materialscrollbar, bb93c4362849f3979ff409c328837720}
d/b: {d/b, 902a1de4dd54c1af117cf5b447961e82}
cyanogenmod/library: {cyanogenmod/library, 72cf9d6c28032dd70c4844e11a779c01}
androidx/recyclerview: {androidx/recyclerview, d686b0caee98d9d5c434dc36562a14e6}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 18b387959b3d3a62d2b453f0df620c22}
g/t: {g/t, 7b3154c79b7f3f62e89c74e614b1dc1c}
androidx/dynamicanimation: {androidx/dynamicanimation, 9d2548eb55c936e507a4fe8fc6813dc9}
