androidx/appcompat: {androidx/appcompat, f341181919ddc03c92841eecf19cfa24}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/activity: {androidx/activity, 7b677387af5aa12cb50e1ab796a9bfa6}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 1241f2ef8850d310175afb6edf9ee38b}
androidx/preference: {androidx/preference, c0879bd7fe31a77b679a903eab0c3276}
androidx/vectordrawable: {androidx/vectordrawable, f76b534271225d793d04c64d4ba36986}
com/google/android: {com/google/android, 92ec1cb605067f7341a3b928a557eb51}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
com/wangdaye/user: {com/wangdaye/user, eabb1374fec733ab888baf63909d2f36}
com/wangdaye/downloader: {[com/wangdaye/downloader, com/wangdaye/base, com/wangdaye/component, ], 7ce2a8c9059afff9465da6dab9e2f540}
dagger: {dagger, f78aaacc47bcf4f03e0e20f361484bbb}
com/wangdaye/collection: {[com/wangdaye/base, com/wangdaye/common, com/wangdaye/collection, ], 6a022a7594afb1623f580edfff8fca1e}
org/jetbrains/annotations: {org/jetbrains/annotations, 380c8eb175d8543550bb645f1dbab1e8}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/browser: {androidx/browser, c12f3972336e819252e8b169d0d3ebda}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
okhttp3/internal: {okhttp3/internal, 45a86c3b00c28604624d0fc62e44e3e9}
androidx/annotation: {androidx/annotation, 7a42f124d81932714f4ea70dfa363761}
com/wangdaye/settings: {com/wangdaye/settings, 16ccea71a6bc91dfe314dbd99fc58f71}
androidx/room: {androidx/room, dba0b8faf505eeba7ff283ddc8323b5e}
