rx/observables: {rx/observables, 8acc208eeea81a8d8557d560b368cd48}
rx/functions: {rx/functions, f484483539ace4d6d87c2097bcac63af}
retrofit/mime: {retrofit/mime, b118da15ee7f6b3f8cf1a31585d0370b}
rx: {rx, cbf8274f12d21d9508c110060e7002cd}
org/litepal: {org/litepal, 2f699fd3eafbbc0642c3bc25c4575239}
com/balysv/materialripple: {com/balysv/materialripple, 73fea67524c5fb74318e74b7d88c98e0}
u/aly: {u/aly, e97f27b47a499ac79782d503693920f9}
com/facebook/stetho: {com/facebook/stetho, 6df4454c232b209b4fe0935c76fc44e4}
rx/subscriptions: {rx/subscriptions, c0dd85ea6fc83ee92787a97d79bac6ae}
retrofit/converter: {retrofit/converter, 210913d95377e9b023f8e1a5c758676c}
de/greenrobot/event: {de/greenrobot/event, 94eba624432eb32b5750b7e900875e0d}
rx/subjects: {rx/subjects, cf8b84d537ed4b667d0ea8050aa9df8a}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
retrofit: {retrofit, b35883032459b9fe14b513ce4bef253c}
retrofit/appengine: {retrofit/appengine, 95ecc8566a606cf83f26f6894363a664}
com/readystatesoftware/systembartint: {com/readystatesoftware/systembartint, dc38f74e44ef60f2a1739d80a0961569}
com/knight/arch: {com/knight/arch, e4994569302822b7477f7cb5924e2ed1}
rx/observers: {rx/observers, 2d5e45c7479ddbe81c6682ac9e364f9e}
retrofit/android: {retrofit/android, f32835a91fc30464378ed59b8193b62d}
dagger/internal: {dagger/internal, 939e2bb2b823a9b0fac2303aa2df1122}
javax/annotation: {javax/annotation, d0235602ffb83204f31178d82cc1c0d8}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 10969758e7d3ffea58f3db9f8f97b201}
retrofit/http: {retrofit/http, f92301e57a7a12e3509f4786ff2e8f09}
dagger: {dagger, 178a3f8fad8bc2adb663c9ca1cdaf1a4}
android/support/v7: {android/support/v7, af68f4eb0e4f987b28ecef64319e38c3}
com/orhanobut/logger: {com/orhanobut/logger, 5181d9f3e04b3aad7aa74e24596bea41}
rx/exceptions: {rx/exceptions, 3265208ce5b177ae824cb59f6d54fd38}
de/psdev/licensesdialog: {de/psdev/licensesdialog, 23ce154b0d75a63a983d40ae05416330}
rx/android: {rx/android, 2f88bf031e1d1539d29a8e5b9e83f6fc}
com/alibaba/fastjson: {com/alibaba/fastjson, ee476be91256576078f43fba59a139df}
rx/internal: {rx/internal, 3b8eb07c06cf760e1f7f4348d22a227b}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, f85b70c870b2e67c4ef84e9443a8d542}
org/apache/commons: {org/apache/commons, f4a60cb865b53dca31d03e0a6df60228}
android/support/design: {android/support/design, fa9a3b632e1070dc9096b686a04d3029}
com/umeng/analytics: {com/umeng/analytics, cb419f8d5e305a95c6ef6b8844546bd7}
rx/schedulers: {rx/schedulers, b2051de177816cd90ffac02dc799c5f4}
com/google/gson: {com/google/gson, 957b9ca9064226164ac2f18d75b7d117}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], d76758ae241bc93a82a53b8de72f5938}
retrofit/client: {retrofit/client, 49ad8342a893c9f92e3f527c12fbee08}
okio: {okio, ec1fa94fa9f8f5564a76353ed3f67ec3}
