androidx/appcompat: {androidx/appcompat, aadfa25becfbe1204dc9fcdb6b631100}
kotlin/collections: {kotlin/collections, 05a9786d511593de6544521643833105}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 89315b74bdf69f5152e70b9c9bac8e1f}
kotlin/io: {kotlin/io, 485a39ca4b4417e98471fc09463688be}
androidx/room: {androidx/room, c2742504640f29db2edc278cf0e4958f}
androidx/activity: {androidx/activity, 7fe83f19b0a4c64373ec59322b9b3dfe}
androidx/profileinstaller: {androidx/profileinstaller, a1e3da13320e1a510f889379e1d1c95b}
androidx/customview/widget: {androidx/customview/widget, 755054b16bd168633396aa6d33356996}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 17a48722061c602b3666e2a683b0e271}
net/lingala/zip4j: {net/lingala/zip4j, 87d79aa7f2b2407c02849d55e0c5e7b2}
androidx/preference: {androidx/preference, d4fa977fdafdf0d7b39d6dd6e80e1f23}
androidx/sqlite/db: {androidx/sqlite/db, 6b6d98295dc9aefcaddec5a5874ed30b}
androidx/lifecycle: {androidx/lifecycle, e234e1e7750a4d9b151ae9144511ab4e}
androidx/fragment: {androidx/fragment, 6b6763edc35d678843da5f2e69b902d5}
com/github/mikephil: {com/github/mikephil, ea61b89e003b7dbb3a9a8b759db3cbd0}
com/tonyodev/fetch2: {[com/tonyodev/fetch2, com/tonyodev/fetch2core, ], 71ff182c48acfc521554d770673b2be4}
com/bumptech/glide: {com/bumptech/glide, 97ecc4ee287d3cb6efc78414429f5e5c}
kotlin/jvm/internal: {kotlin/jvm/internal, 4f25ecc00313054de92beebbcb389799}
kotlin/text: {kotlin/text, 824dcc456ef744e9a6cdc15c2c28677b}
androidx/exifinterface/media: {androidx/exifinterface/media, 0ef7550ba37159ba2f0234e7a4d201d0}
androidx/versionedparcelable: {androidx/versionedparcelable, bad016bd3e434b157c5babf924a87fc4}
com/mariten/kanatools: {com/mariten/kanatools, 6ae4d71f5dcc9dabe7a5904f478ba300}
okhttp3: {okhttp3, 8f478a279d2400faae5317bc5a0b7ff7}
androidx/startup: {androidx/startup, 1a40bc7bb9326895191a1fd5ad9d7496}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 56612fc211c0b06324505949df79700f}
androidx/core: {androidx/core, b05e86442310e26a91aa493734f4135e}
androidx/collection: {androidx/collection, 595673c5a6745c197f3c999e858cf20c}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ab611cfecd7e6c4fa9cb3495284eef48}
com/google/firebase: {[com/google/firebase, com/google/android, ], 8cc3b23bbe697353f1f4cf98b2645475}
androidx/transition: {androidx/transition, e5ba027a0d7b3f6691c75f177a281f0f}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
kotlin/internal: {kotlin/internal, 18bb7d75c5a2c23c6b58b9f552daf329}
org/ccil/cowan: {org/ccil/cowan, 682d70b81c1ac17ba3395a20a927a978}
androidx/multidex: {androidx/multidex, c1fdfca41655f7bf67957c5d42a42603}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
com/google/gson: {com/google/gson, 192c3636078621608837e525d1ce9049}
androidx/arch/core: {androidx/arch/core, 1918e51811d731793c773b724b799271}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 3ecc1d822a84ab4526c054d0bb0b8ee0}
androidx/media: {androidx/media, b1ca840a0fd839a2b608a0159f8acb5b}
androidx/browser/customtabs: {androidx/browser/customtabs, 69582ca807caffe36c87bec55a112635}
kotlinx/coroutines: {kotlinx/coroutines, 6ae381efb0c92103a23a50141e29db06}
eu/faircode/netguard: {eu/faircode/netguard, d290bf7b395835683570c8212da772f4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], a736453a41ff3a9376d5fd7a32ff9fde}
androidx/viewpager/widget: {androidx/viewpager/widget, 6265bb2441750ccebb58e8dd52a2748d}
kotlin/sequences: {kotlin/sequences, c5b09d1c9da2bf69bbcf2f58dcf44911}
androidx/customview/view: {androidx/customview/view, 0392395c819a48967e61228a9befdf4c}
com/woxthebox/draglistview: {com/woxthebox/draglistview, 09ff3ade65fdd41bb4ae1f81f8b3fbac}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
retrofit2/converter/scalars: {retrofit2/converter/scalars, a7bfd240bc87662f90bfec3cf3611433}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 3255b63ee8a109455263998b2315672a}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, 44d9510f21d12b6de6fa72b71eddf4ab}
com/pixplicity/htmlcompat: {com/pixplicity/htmlcompat, bfa4ce38c25a92006428c2f9873cd528}
androidx/emoji2/text: {androidx/emoji2/text, 9ccf2e0f671583fbafc40c88cd2b9671}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 6b85682cea1e71a545d34b45f909ffd1}
