androidx/appcompat: {androidx/appcompat, 7dcea656848146bacc666469e42e539f}
androidx/room: {androidx/room, c84d0f02c0bb6a49a469a0efdb8dee4e}
androidx/activity: {androidx/activity, 24fe742c74d19a866b4c4a0a48683165}
androidx/core: {androidx/core, c8c808ba8954367f4b0561c33d8fa75e}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/preference: {androidx/preference, 4d24cf7ba36353d98b473c5348ac7570}
androidx/sqlite/db: {androidx/sqlite/db, d62ef61eb0f16cc0717a77f52478a978}
androidx/lifecycle: {androidx/lifecycle, 6b7db6732bcdcb5810e2bd47ef079074}
androidx/fragment: {androidx/fragment, 636649c07a9cbb8ce31f1f6502b8a7ab}
androidx/navigation: {androidx/navigation, af3abe052bc925e58b02df92f97d7db9}
androidx/loader: {androidx/loader, f6bb39db62e193d8eb21badab0aad5ae}
androidx/vectordrawable: {androidx/vectordrawable, c74c7a96d6bf15c3dbcfc1f27dd48ef6}
androidx/recyclerview: {androidx/recyclerview, 10a111f95b7e347f6d9a3e40d1622edf}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
com/google/android: {[com/google/android, com/google/common, ], 7eab5507c170a1f1821d1cc6561f99b1}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 2442f206751a072bb6afa277d3afd93a}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 437676cb9348563074114ea90bc114d8}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 5edd60469272ad5e6d6af9f5246920b1}
androidx/collection: {androidx/collection, a48dd42969808574fd0b980883b29faf}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8cb467bd0a9a66d40a4eb4ee9716e761}
androidx/transition: {androidx/transition, dce798a2b4368f648148e714d83a4f94}
com/github/vkay94: {com/github/vkay94, 0c146df54ae6d0bf2a84fd7802b2ff09}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
com/avatarfirst/avatargenlib: {com/avatarfirst/avatargenlib, 6a45a4f621888ae458040a71e141ac74}
androidx/slidingpanelayout: {androidx/slidingpanelayout, c7a289bc1292ec44633c51e875c78849}
androidx/multidex: {androidx/multidex, 928b88b345620b5b6d13accc228c7f7d}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/media: {androidx/media, 2b14c38a0f21026abdb89d96c5aff55f}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 8e076caa94385e3e6aad59a8015af417}
com/fasterxml/jackson: {com/fasterxml/jackson, 33ce5c83145a5cea64d23b207e649190}
androidx/emoji2: {androidx/emoji2, 37c4f2ac91bffb35d8eebff03d4281b0}
androidx/work: {androidx/work, e048df53d5d3e65c90b9d30e6dd5e10b}
androidx/browser: {androidx/browser, 463c8be6f491d9c4a6f67a992c2371ff}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d17cded06ada8ce1c4c8fbed97ab1552}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 5e728bd2add31b53e4a8f6958878e0a9}
androidx/documentfile: {androidx/documentfile, 2b3d42d74bddde31bd8c214edd8714cb}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
com/bumptech/glide: {com/bumptech/glide, 034998ffcfc878f0237cce6cf6c9e92e}
android/support/customtabs: {android/support/customtabs, 648ad9b7a2f9a85c1f91496676eac65b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9cc274a1a7735e0aa665ec1ccd81ab75}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5d8919b279d35f26737672b1ea0fbc41}
app/fedilab/fedilabtube: {app/fedilab/fedilabtube, b4ab6e66b4e8a37cc0d81119e1e3147c}
androidx/concurrent/futures: {androidx/concurrent/futures, f4a15cdf2e3d24bea38989320a1805c3}
androidx/customview: {androidx/customview, dafbb8169b4e88b714701bd0c2ee21d0}
com/github/ybq: {com/github/ybq, c2d21fd5f7ad76a71fbde8124312b56a}
androidx/window: {androidx/window, f5cd5f71bbc3a376501982067c2b52d0}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, 4b21d82fe9206d47bed66914033b22c4}
