androidx/appcompat: {androidx/appcompat, d711bbd2448e5799fbe1e74acf406cb3}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 58b69e3dea6bcce7b5cfdf170b843e73}
androidx/core: {androidx/core, 82c604ad0b00ec083651d9b2f4620ef8}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/preference: {androidx/preference, df157ddbbe62bf64f75281413c7df149}
androidx/lifecycle: {androidx/lifecycle, 629ed4734e1194c90b3cc96728851c81}
androidx/fragment: {androidx/fragment, 0d7e6d9a79cf455df18ccb2410168cee}
androidx/loader: {androidx/loader, d51140e742729c539e11ebabeacc5feb}
androidx/vectordrawable: {androidx/vectordrawable, a679b4cc1becd392e47bd69359827a37}
androidx/recyclerview: {androidx/recyclerview, a3017e5ca7ce5aa7fa48b45542821dc7}
androidx/viewpager: {androidx/viewpager, 4cc876885cb8fc18cba39fea67cb9d14}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
com/github/lightningnetwork: {com/github/lightningnetwork, f1d66da82d3e982a549aa2f912cd29d6}
com/github/alexzhirkevich: {com/github/alexzhirkevich, bd3b62d056cf52768a2c59871179b8f3}
androidx/versionedparcelable: {androidx/versionedparcelable, be92baa1b2a95690e716402943599c00}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 51d6be27cb92beb98f479950c46a7880}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f6ed7668b34523eb067628e5755b236b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/collection: {androidx/collection, c5d3d3cde2a8c2879107d2117cbf1a70}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b75eaefdf6ccd9dcc7ae497434f570ef}
androidx/transition: {androidx/transition, 2d9d0157a92ddd686dc152a60fc1f1f5}
io/matthewnelson/topl_service: {[io/matthewnelson/topl_service, io/matthewnelson/topl_service_base, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 226e227b8792b797c41a527f092e30bf}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, fb9b913913f8982b0093a3d6ad97553b}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/drawerlayout: {androidx/drawerlayout, 3410d38d6cf46d20a1ea61543dab2de1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, c4ab2c8e7e6a98427a4af3487a852e74}
androidx/security: {androidx/security, 6cb17e713a4a8b793745a801c4288f5f}
androidx/emoji2: {androidx/emoji2, c5c78d9b484690f1f69d32c2c02a11cb}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
app/michaelwuensch/bitbanana: {app/michaelwuensch/bitbanana, 0f618499fa619047e0b50b75d894aff7}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, cdbc552e553821b178ce89b6875a8855}
androidx/arch/core: {androidx/arch/core, 8c8d98605cd448ba5248c5db250255ec}
android/annotation: {android/annotation, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/viewpager2: {androidx/viewpager2, dd3e8edf7c976fccee88c8185c858a48}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 151997c9c9b05598f86f8f4650e47678}
androidx/documentfile: {androidx/documentfile, 5f6c8490612de6e84acd8c6536997ad7}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 844ac6d7add6fd516266e7fd99a1e224}
androidx/biometric: {androidx/biometric, b34365bda74a51be23494715553ef971}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/concurrent/futures: {androidx/concurrent/futures, 0a587d9f81931f9596566cefb773d2f3}
androidx/customview: {androidx/customview, 7ad0b2019ac9da791a36b19043588442}
androidx/window: {androidx/window, 7f0ce3250e635cbee037f5343d68c66d}
androidx/annotation: {androidx/annotation, 8a2143725ffc9977909e85ba573f7242}
androidx/dynamicanimation: {androidx/dynamicanimation, e1e1b228273663952a5cf5e93b2361cd}
