androidx/appcompat: {androidx/appcompat, a530f3746c7346c4eb18b972986c8f68}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
me/drakeet/support: {me/drakeet/support, f8554370870cad1780a0a4d6ae0cd26e}
kotlin/internal: {kotlin/internal, 2f42686cdae815cb3938b76ed00ac5b2}
androidx/activity: {androidx/activity, f582e405d2ae8ea213656cdba72843c2}
kotlin/sequences: {kotlin/sequences, 68a5af51ce0611c48ea780f74182fd0e}
com/leinardi/android: {com/leinardi/android, aad9d051ce55c72af10a00d9b2281084}
com/google/android: {com/google/android, 9096b0538d76b7c9b39305e5e55bb5ca}
org/jxmpp: {org/jxmpp, 610f4c424c81c6a5e57a77a0ea976dbf}
de/measite/minidns: {de/measite/minidns, adf6a11afa49fa89c6db35eac6b2a707}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 00e5645c39b2eac0e5f034808fdbd6e5}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/cardview: {androidx/cardview, 27aa524cb2f4f84ce1769b2787aa9a7b}
org/bouncycastle/util: {org/bouncycastle/util, fda785e60cb7270c1aa944fae023bfca}
com/google/common: {com/google/common, d3cc465ff583d2a55e148c8ca85f0c8b}
androidx/savedstate: {androidx/savedstate, 9871d3a987fa455655fed80a5784b820}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6ce9a3d05d55bf86e12c11c3b3cdfc0e}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, 07b2fd6c9462297af66c1844cfe23afe}
kotlinx/coroutines: {kotlinx/coroutines, d9ce08e1761a22e7b74bd8d43d2488d9}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
androidx/databinding: {androidx/databinding, dc6636ff5b60dc7dd8ad6156a1d85536}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
eu/siacs/conversations: {eu/siacs/conversations, 2c440a56d1c13417db0704d78d75fa1d}
okhttp3/internal: {okhttp3/internal, 2d2971e73062bc3fa79c56743f9243ff}
androidx/lifecycle: {androidx/lifecycle, 5aba86ec802ca7557c791385c0cf1436}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
com/wefika/flowlayout: {com/wefika/flowlayout, 01ff64b342f561b25c10e01441a78ae3}
kotlin/text: {kotlin/text, 4afbb6ce6df8bb872abd306880ceb605}
org/openintents/openpgp: {org/openintents/openpgp, 2c7bf98ff5d9292768f17ee15fa1cee9}
androidx/exifinterface/media: {androidx/exifinterface/media, 83194721c142a50f5792bfd6ce358028}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
okhttp3: {okhttp3, 60657b3351bc0a04b008719598cf5e93}
androidx/core: {androidx/core, 7c8ebcff050f442a10112c3a5ece9c03}
org/bouncycastle/jce: {[org/bouncycastle/asn1, org/bouncycastle/jce, ], 83adfc09ab56e4f98f3cbfb3d5ad8ec0}
androidx/collection: {androidx/collection, 5aa030e267b321e52f221dd1b99984a2}
androidx/transition: {androidx/transition, 7060bae2249d2a2312a87f06900e7ee5}
io/michaelrocks/libphonenumber: {io/michaelrocks/libphonenumber, a3cb540e52806b9528c2857ac4c8fc4a}
androidx/viewpager/widget: {androidx/viewpager/widget, 67f68288caa3c8cf49653bb0ad609d99}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, 9e3ca771b1c6f2783762280fe98d2ae4}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/whispersystems/curve25519: {org/whispersystems/curve25519, fe9ba7ae3cd805e281e7ebbffea11cae}
androidx/recyclerview: {androidx/recyclerview, a3267de17c4eeae8e5ad0b54f9265349}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 6b45316ba555d0e969b5aaf5b81697db}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 7f65bf50967bd04f55cfc4fd25807953}
kotlin/jvm: {kotlin/jvm, 7ff8413a6356cff6ef525dd93eb9eaa9}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
org/bouncycastle/jcajce: {[org/bouncycastle/jcajce, org/bouncycastle/crypto, ], dedba5a517f3472bc546e3668161f797}
de/gultsch/minidns: {de/gultsch/minidns, 9c7f26da6cf5086af5c8f38d24201e6e}
org/bouncycastle/math: {org/bouncycastle/math, fd92572bf899c43714c9b55708ec1adc}
org/osmdroid/events: {[org/osmdroid/views, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/events, org/osmdroid/api, ], ecd15c1dd5d60c810cf053cc1f5df74a}
com/google/protobuf: {com/google/protobuf, 82408175abe407cb70025d5a0b4cac03}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
com/google/zxing: {com/google/zxing, a1a0e62a36721f72868cda887de7d582}
org/hsluv: {org/hsluv, b5cc6194ff595543c77e3bbd9ee5619a}
gnu/inet/encoding: {gnu/inet/encoding, c1c6372750cb365e87738bf478981c0b}
androidx/arch/core: {androidx/arch/core, 9d5a7789e6fdf3c343ed8b9cc66f4c6f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, dfdf97030b4e52625fe14bd83ea4a9c3}
com/canhub/cropper: {com/canhub/cropper, 20ee1123b6af5a682bc6351893514636}
androidx/emoji2/bundled: {androidx/emoji2/bundled, 1be23e65c9da71a424503b3ed1e1a1c4}
