androidx/appcompat: {androidx/appcompat, 28a32461a78d44aef8673ca3278b6817}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 05f645d56b4b7da50e688c27a7d2350d}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, de03adda206ec009256b2f61f7c9f5d5}
androidx/activity: {androidx/activity, e121d6907c0cfea7096bd3a265c888b8}
androidx/profileinstaller: {androidx/profileinstaller, d89b81445edbc6c90f685b4da2e2759c}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 222b7c36b50b9ec08c2df251656bc311}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 71757d65642f27a97c61723580ecf9ff}
androidx/sqlite/db: {androidx/sqlite/db, e4868075d97276fa6a7b677969e640fc}
androidx/lifecycle: {androidx/lifecycle, 2fb7ffcc0f972710393fb0182bd6e41d}
androidx/fragment: {androidx/fragment, 76248bdf35ecc04aba6df567e926b365}
android/util: {android/util, 869ae3c3b9fd794234a009a4c45e5b3d}
androidx/loader: {androidx/loader, c069a7b4e83bcdf8c97eac357a4118f1}
androidx/vectordrawable: {androidx/vectordrawable, de334c492ddc1cb791e6143694658d15}
androidx/recyclerview: {androidx/recyclerview, a6d5651ec41f52239e1d1b806eb7af61}
androidx/viewpager: {androidx/viewpager, 077ec76190a9431e84dd130db5b0a386}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, e9554b3f3e6bfaa34274a4e18b9834c7}
com/reandroid/common: {[com/reandroid/arsc, com/reandroid/json, com/reandroid/common, com/reandroid/xml, ], fb1a370a5299cf46af5b486a71d90340}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 054a314a000710d6900ce4670d7f5e5e}
androidx/core: {androidx/core, 338962144deeef45ba4c1a83f3913488}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 320747a4d4b9fe592420f50c4b10c46e}
androidx/collection: {androidx/collection, c4e51c1dcd92df03888a910a3e0667ad}
androidx/security: {androidx/security, 98d4f64f80a55dd43d3e14e3b64a98ac}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, 78159222649744e69765a1eef6093726}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, 9ed44f9e4b40e601eb800379df6ecf34}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8d6faf65ad9f1086823ec08d99f9d83f}
app/simple/inure: {app/simple/inure, d35ff7d8ebe9e4be62e3c568aec73b9f}
androidx/cardview: {androidx/cardview, 97214a18c026d85d1789b97d04a8724a}
androidx/drawerlayout: {androidx/drawerlayout, a7a108a9898ccd0775628e8dfae8c9b4}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 2ff4656f16b557cab9cb6dcdbb5a0a48}
android/content/res: {android/content/res, e3c0a425ec2c47b67599a8ff5554c565}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 8018e181efc0ddd31c3103470dfb076c}
androidx/emoji2: {androidx/emoji2, 3750a8a9deb22792d2ebd6e908923c23}
androidx/webkit: {androidx/webkit, 55b1a9762f1e91096e3806be5b4c0727}
androidx/work: {androidx/work, 9c04be9e89e2b44ddc36f0a4d51e7f48}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 13542080e7a5aecb8f564102f5e48257}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 16d9eb30a15ab4d81750daad30668cb4}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, b7926c4c94864a489972c122ce0a513d}
androidx/documentfile: {androidx/documentfile, 8082e5e78fe3a258a449416125d6b9bd}
androidx/print: {androidx/print, 4df4bf85253dee50361967440e06a9dd}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3a264e2c26256663a6328dc8feb042e8}
android/content/pm: {android/content/pm, fd5ad24d11534bef1ee39d7d4f67e060}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 6c8ad9c37904fb65fae50d5fcb68346d}
com/reandroid/identifiers: {[com/reandroid/arsc, com/reandroid/json, com/reandroid/xml, com/reandroid/identifiers, ], d153bcb1eb2cbdcf47e20d6d754fcd24}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/concurrent/futures: {androidx/concurrent/futures, 6cc0f4c4619cfbc79a8357399998e83a}
androidx/customview: {androidx/customview, d9af5a136fd244f706f654d3e003a629}
com/reandroid/apk: {[com/reandroid/arsc, com/reandroid/json, com/reandroid/xml, com/reandroid/apk, ], d7aaaa77c12c6cb7a0ca4e622fd3fa2f}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
androidx/dynamicanimation: {androidx/dynamicanimation, fccad51cbca1e00f5c359ae4dcb6be9a}
