androidx/appcompat: {androidx/appcompat, 43a9c85fcc4db277e949c5cfbbda59c1}
kotlin/collections: {kotlin/collections, cc4c26426b788490b5a78a52c6280676}
kotlin/jvm/functions: {kotlin/jvm/functions, 3c12fc6b8f55fab0318e6b22ba73f244}
kotlin: {kotlin, e570c409c8278f789672cb5d45123f70}
kotlin/io: {kotlin/io, e0ffe7834a6bf7f1f8e920d960ed9aea}
androidx/room: {androidx/room, 9e7a276b3d401b9b866a8fd559efe709}
androidx/activity: {androidx/activity, 6f4745e87e88e0dbf7a6fce5b4e011c2}
androidx/profileinstaller: {androidx/profileinstaller, d414f95b628a817e1495606cd3bdf94c}
androidx/customview/widget: {androidx/customview/widget, 9c7ebbc5a2ecdcb60ee249e407cb2f33}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 4617f0e94a1ba5ddaddcf4308dc1a98f}
androidx/compose/foundation: {androidx/compose/foundation, bc132938a663764d5aaf3188308c9c8d}
androidx/preference: {androidx/preference, d3d4416ab5ded47c995b6966e646b0b6}
androidx/sqlite/db: {androidx/sqlite/db, ccf8aeb6ef152e8d4cad7f033f42ffe5}
androidx/constraintlayout/core: {androidx/constraintlayout/core, feec06ad908408fa0c57f87751a4fccf}
androidx/lifecycle: {androidx/lifecycle, 08e731002d5dab4e48e1b9f5bb575010}
androidx/fragment: {androidx/fragment, aca71aa7bc2e52a5e59cf48f6b6b77e7}
androidx/emoji2/text: {androidx/emoji2/text, da240a891a7bb626dd9d6fc30fd691bf}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2b3ec5fcc544a9377470472fdc7bb3f7}
me/saket/telephoto: {me/saket/telephoto, e4ee58cc06b14afedf06b17560d1ccf4}
kotlin/coroutines: {kotlin/coroutines, 3e0072a042fa42ef431e2a1840d5e93d}
com/google/android: {com/google/android, 9a37e35b56a957a05d75c466a2d77274}
kotlin/text: {kotlin/text, 6357e847b4681c528f4b2c0c63d80d61}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/exifinterface/media: {androidx/exifinterface/media, c3a204ccb6302daabced7cb6988eee3b}
androidx/window/extensions: {androidx/window/extensions, e381f6991873210ea6cc1b6be99b5314}
androidx/versionedparcelable: {androidx/versionedparcelable, 549428154186465784975f6f2a729deb}
okhttp3: {okhttp3, 26de133768a30ab69bfa0a2332582822}
androidx/startup: {androidx/startup, 9eb483df0760787928bd088a699e490f}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
androidx/core: {androidx/core, 270d84415bd783f09e8b8827cb5c3a1e}
androidx/collection: {androidx/collection, be0d81880c4f93afaaf8abf267aaaa5d}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1c94d6ba9de2231a30ad61b1e8c1b908}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
androidx/transition: {androidx/transition, 75270421f675c49f129e97ec2a103e9a}
kotlin/random: {kotlin/random, 20b85922e6b8a0f886adaff4156d7ef4}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, c9d5bb7f9872baee46f112022512221e}
kotlin/jvm/internal: {kotlin/jvm/internal, 85fb5f05688172aa79f1ad8e7d91bec1}
kotlinx/coroutines: {kotlinx/coroutines, e08f1f638c858c36e17339865e887878}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/compose/ui: {androidx/compose/ui, 0e7d19db3d2c07690a4e75d7147bdb6d}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, c90374beeefab673aad8047c7c3b02de}
kotlin/sequences: {kotlin/sequences, 2ea8622245815c0129cc5cd9afb6a840}
androidx/compose/animation: {androidx/compose/animation, 6ab7cc080691f4d3624f530428b0b62c}
app/simple/peri: {app/simple/peri, 7565fb850cf1e06d1d2c799127f51c59}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, bfee1d15e05b3a01b143d07e04c8d99f}
okhttp3/internal/http2: {[okhttp3/internal/http, okhttp3/internal/http2, ], a1444ab92b415dced68b528ea7a41c54}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
androidx/arch/core: {androidx/arch/core, d8f68e7162674cba916e8fbf91759643}
kotlin/time: {kotlin/time, e36e3218980afd625bffd26277e8452a}
_COROUTINE: {_COROUTINE, 91f82acaf1bee5c6305d2cb032a80e87}
androidx/window/area: {androidx/window/area, 98e556f0b331745a1b45c92b4bba197d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, dadf910213667fa6283f22c290004011}
androidx/savedstate: {androidx/savedstate, 1946d203e6de2fd41690ba8dafecc265}
okhttp3/internal: {okhttp3/internal, eb20a7a104258bc12686f9f6a6cc6d7e}
com/bumptech/glide: {com/bumptech/glide, 3d4f9ed121f16f22c3ed1bf58c9be141}
androidx/compose/runtime: {androidx/compose/runtime, 66103bd84475bc626ca5876702382b3b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 70c638e7f4914c622b688f3318fb3392}
androidx/biometric: {androidx/biometric, 2ba98096a0b9d77fd01bf88864d2c120}
kotlin/ranges: {kotlin/ranges, aed5a09b25287241353588ad272c5f4b}
androidx/tracing: {androidx/tracing, 92577b9e5eceec04bc54d4451ccc3f3e}
androidx/documentfile/provider: {androidx/documentfile/provider, c8c73ddc5515ebd50b369129dcab8811}
okio/internal: {okio/internal, 89ae061af876763488b181e85d705350}
kotlin/internal: {kotlin/internal, bed891cf3dc47b328de2b22f74935929}
com/google/accompanist: {com/google/accompanist, f2c0bfd8706c7d5c19542fdd00c26c62}
