a6: {a6, 6b7805fa121f7e18f771c9f4b3f398c0}
p2: {p2, 9611439b609a4721bb3ba7ae31f9e687}
androidx/compose/foundation: {androidx/compose/foundation, f63f61b558affbb17cb2d108cc4bdf98}
d8: {d8, 74c8f1f4e3e7befec19fda3a8e0e6248}
j: {j, a746ba4a8e1ad127b04ed72c50840711}
c1: {c1, f2318e050ac5f85126fc8fa9a052568f}
l9: {l9, 743f709ef88bb723603b86cc38109c92}
d: {d, 062d06b2b807b619d54882a1f6e34dda}
q4: {q4, 1ca16aee8ef7f77cbf2a50c67ed218e3}
androidx/activity: {androidx/activity, 5155bd7d9529c81188aca62cfb35ca58}
x6: {x6, cadbbc0d00ffb90396de5b7a64f7c0cc}
v4: {v4, 07ca16879081737b6299d08b18eb9e46}
l1: {l1, 29ab07bcabac835c65fb09591c1d204c}
i4: {i4, 7d5984c740458eb55bff5462a70b0865}
coil/request: {coil/request, cbfe8f793652d661c4726e7c89c53a6b}
g6: {g6, 2b4fede01c23b868e33e7c5f86309176}
o0: {o0, 6e4ac87f3bfb9149d4a114d6f35108e0}
r9: {r9, b5b3e76ad392f438209dc825df96fd28}
androidx/versionedparcelable: {androidx/versionedparcelable, 41e4d97ac17453fb584b5bbe4d17e47f}
b5: {b5, b867d01ef6868d686fcdb1a945a25a85}
y9: {y9, 68be34c2579966f1a8d2fec2043d3bf9}
o9: {o9, 6eab7bdc661dfd5024b28483c64181fa}
v2: {v2, 017fd4c0cd00f5ba1c0eb08d2344075a}
w8: {w8, dad572091fad4a971be5d502a70dccc4}
z1: {z1, 427738fc76481dd268efa71cee2eccbc}
m6: {m6, 2b353ebabfb25060d959ac219b08407c}
t2: {t2, 098f4dfaa8fe16b4ba7863b6b4181357}
w0: {w0, 7aeb1f4698b2218345d8d4f2565e13b2}
r1: {r1, 328d453424dc7dcda074e75a9d1ad963}
e6: {e6, cb27fb4463a20e9c725fef05bf40e5ff}
j5: {j5, f4c8d4b54cd5f839f474563507aebb05}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
l: {l, 54f60443d07dfc760611c8b7f22dd6ad}
s5: {s5, 1e97dd3db27fe9606f579f27ce2d78bb}
h9: {h9, aeb834fb627f841fd4233a70c6e3f838}
f4: {f4, 0297840b928fc1f9fe603c5d20d2bb0f}
b: {b, a5fb3b031b67071f6988dc0310363910}
k1: {k1, 1203b2c4842535f69e1e6910efda347a}
d9: {d9, fa44b42953c5e7abb7f20de169c49054}
k: {k, 2b55783173f7fcc4218c36cb63a67190}
x7: {x7, 41f67b015873ac604c4be1bf44d62276}
g1: {g1, de1b2f0564f7d1a43ff4b29ffd6a8373}
a5: {a5, 934c77035c2983a727f2bd1034ef320d}
p3: {p3, 48859762a7e0384209d0530eaa76f1b7}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
androidx/savedstate: {androidx/savedstate, 9911675d33decf6d0276198a880a29f2}
y7: {y7, 7522460f29bc5c2ab478d82b96d22b91}
q3: {q3, b349319ccaf57ed7ee1005cf653be1a8}
d6: {d6, 9650bfac70e8c506cb3d795fc31e437d}
l2: {l2, f2d0a9645e7e974b6517cc0ea988fa0f}
i3: {i3, f160b78b773d80b4ac3c33042459b065}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
androidx/core/graphics: {androidx/core/graphics, ca1680d7ab6dee7f7e9c7f27a01279cc}
o3: {o3, 873296844b4cec19d516aa03fa99138e}
o8: {o8, 9864dadc241b78f43556d7b2cb66087f}
m5: {m5, 03904b5b364dd2c1f99b138a9f256d5d}
t3: {t3, 51dbc2d7d22e47854552a3c3a82863eb}
j2: {j2, 6e8e0e612ab2205426e798459c355cae}
v3: {v3, 57549aa2e7b7da9dbeb4b9dfe74c90f9}
f7: {f7, fdec7c141703560d86df48660ec7814f}
y8: {y8, c4f4cc1d0888bb496f2136f08ba2d50d}
h2: {h2, 7a8bc1498c40c5555b3b4d8806c1e551}
n5: {n5, 0f8f7c7a078d759b24b09d6263e42100}
u3: {u3, 9c6dd506b2bfa3b862c4a71124df332e}
r: {r, acfeec1e6cf3e3f079f5061ae61af41e}
c9: {c9, 42922ebd0e931fbd94c71af90651b661}
f5: {f5, f4004aefaddb3dbdb9f3eb5a0d33c673}
w3: {w3, 45297ea4a699be985b15e99a6dd7a1e3}
z: {z, 6f98cacf663503da38711b02ade475f8}
r6: {r6, 51c32526bd36b561ff408c3dcdbbaf93}
d1: {d1, 4752cb987a854937871fe7c4136f19f7}
c: {c, beabb17c7cc66b288ce5fae961eb26d4}
g9: {g9, 78c8d0f6a054a87f0f229579bd5089c9}
k0: {k0, 6f3e7ce128281139e0aa45c7312b9f53}
b9: {b9, 31c91bb0a60b946c385e744ffcfb02f4}
g0: {g0, 67ecdf8c1e250cede338abf25841a928}
v8: {v8, de2987c64e88afffa933e4032d575d96}
x0: {x0, cf6c1c2ed7c1febca4af8cded0be3192}
b3: {b3, c109072a056050587d875191bf555225}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 7d40983b4ca404ce9461d0010b5f028b}
q2: {q2, 13b1ab538f61a742345d97ba33a2a13a}
androidx/profileinstaller: {androidx/profileinstaller, 6e79bbede4becde0b16d859b52b6565d}
e4: {e4, acf7ef943fdeb3cbfed8dd0d8f584731}
o2: {o2, 9823d472ec711f6354fe37c4d6cfcaef}
m3: {m3, 92ffcf4df0c7bdd9bf0025ea9d9198a8}
i2: {i2, bceb6dd941ea1cebe12e81c699dd5746}
androidx/lifecycle: {androidx/lifecycle, 526c2b39c016c6176ed9e19379d57f77}
c3: {c3, ec7740be05ad834b446dd0047f7c5946}
a4: {a4, 8c68371240aaf27a42c8e0f69559c3c3}
