androidx/appcompat: {androidx/appcompat, d697ddb5f505462cc2fad0c46a017ea2}
A: {A, 37c2d716a129a5a965dd506359c0ae65}
j: {j, 9ae218c45a7d2a9c229f89254edff754}
kotlin/internal: {kotlin/internal, 956856f10d6003b4dd7001a3fbd6a13b}
androidx/activity: {androidx/activity, 3f1adc85da58e3bc82a7ee799bd94b29}
kotlin/sequences: {kotlin/sequences, b3239759085914b68fc46a016b5e9ca9}
androidx/preference: {androidx/preference, 89abafc98c271d4a17a983b38a7facc6}
retrofit2/http: {retrofit2/http, 0b6ba92fdf7986f2c51ecdd8312a1895}
X: {X, fca655f970e2022efcbeaf7d1af0fdeb}
timber/log: {timber/log, 3e96db0f4dd9a0b26fc42de6245db0c8}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
H: {H, 84e48a22d888abea75f49bef9cacb61f}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 796b094f591e7fcb450c1200469d50cb}
P: {P, 2061f8d9a13dce024b2ec8c0d8aac246}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b71633b371ef263e49ad01a8dbc0579e}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 31373f63c4e0298b15b2596536c0cd84}
kotlin/random: {kotlin/random, e55ee5f2a30a869701f3e235ae35eca8}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
y: {y, 9340dd0cf22c681d10ffbbd77765f836}
androidx/cardview: {androidx/cardview, e8aceb79e480a73a7f6b55805c4c9f1f}
b: {b, ee9c04ec8a8933f2c31b8574e4309ab9}
k: {k, e3f08f8595b88b3018912e75bdff233e}
org/oshkimaadziig/george: {org/oshkimaadziig/george, 13b8eb50636e76392f543bfe6b69f0bb}
c0: {c0, b379cac41628b33f1725e1681cf7560a}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, 851743a15a86c7b3b11e66506d2237f1}
locus/api: {locus/api, 6743446cb28073e0482f62b692ee192b}
Y: {Y, b752ed50c0fc94196894ec273b904df2}
B: {B, 1cc383fa6749012d1d034d35fa61eb30}
androidx/legacy/content: {androidx/legacy/content, 38ed489b5460babe975ea912cd81186d}
androidx/savedstate: {androidx/savedstate, cadfd88d67eaaec37a03c6e93b228b70}
