androidx/appcompat: {androidx/appcompat, 2039e4b10744519fb6032c72b89dbbed}
ezvcard/io/scribe: {[ezvcard/io/scribe, ezvcard/io/json, ezvcard/io/html, ezvcard/io/xml, ], 3a45aeb01cecda86565653f362105d53}
org/xbill/DNS: {org/xbill/DNS, 3d1db3c7a1627349a5993e926dacd2f0}
kotlin/internal: {kotlin/internal, fdb5cbf34bc15d16e0ddbbd7bc694019}
androidx/activity: {androidx/activity, 1b5162284e36755d151fe15b30457d58}
kotlin/sequences: {kotlin/sequences, 9c59861e0c90504f09d83ce9f562f6cd}
androidx/compose/foundation: {androidx/compose/foundation, 6cc2e25db985348763579a457df06a68}
androidx/preference: {androidx/preference, 84d0a74b18314d3648400d0d18361869}
androidx/collection: {androidx/collection, 8d1b9e948fb30501a093299c0d7c4465}
kotlin/math: {kotlin/math, e93b3c418849166faf0a000d50761054}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 0cabc8fdbd34e24a1e54ae1cbd9f7897}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, de838239dd9df2704da996d0cb9c6957}
kotlin/random: {kotlin/random, 752e9200cb767378517b2e87787dd776}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
org/xmlpull/mxp1_serializer: {org/xmlpull/mxp1_serializer, b827321f48eb661969467b2fe061c336}
ezvcard/util: {ezvcard/util, 297d762639df96df2df68c604606f94e}
ezvcard/property: {ezvcard/property, 1e54bc96c3c8baab543b790ae7d7b65a}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/hilt/work: {androidx/hilt/work, 55ebc1712c411cee1d195b9523370e41}
org/jsoup/helper: {org/jsoup/helper, d9671582891618a99c32513406ab4997}
androidx/savedstate: {androidx/savedstate, de651d9702eea37ff0cf61557b3fb3df}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/glance: {androidx/glance, 6f907bdff9f8472479f21361971aebdd}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 33c55b0cd493035280ae9be5837c1a4c}
kotlinx/coroutines: {kotlinx/coroutines, c21ce82fd98a247e7e20c2c87f3b61b1}
androidx/compose/ui: {androidx/compose/ui, a1d6d38b9e42b56bb73c53c209d29861}
androidx/loader/app: {androidx/loader/app, 335ca6e75e6b1a0dd74dcb13fc1d84e7}
androidx/room: {androidx/room, 514f422fab40e06e8355985ca5bdd010}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 1265ce766fb3ce9e17cb1e4af7233119}
androidx/sqlite/db: {androidx/sqlite/db, 85641de4a2d15025e54f62164bc4235d}
androidx/lifecycle: {androidx/lifecycle, 9101a8107a42152b659efe4baeae8445}
kotlin/enums: {kotlin/enums, d03d8a6cf146aa225987f72266a1db15}
