a6: {a6, c3d70a8694c8e2b66ec3054b61dd560f}
p2: {p2, e40602f1851dcac7e3d80e2eec7aa836}
d8: {d8, 3e2a54d765418e48ebe215ecaf9c56c4}
j: {j, a3e32188827184282bd33394769b73af}
c1: {c1, 02058371660dc03cddafdeb671f09412}
d: {d, 1624bbff6075eacc2ec488ee224ba593}
q4: {q4, 5d836e1f254f2969c53a18548c7ad249}
androidx/activity: {androidx/activity, 2c5da0df2198fd489d93a78328d307a4}
x6: {x6, c1e231319fa1b5dffc0193735d69f8cc}
v4: {v4, 19c03f75d33d049fae62ea8f0eaff19a}
l1: {l1, b27e5618134dda5f33e6ca43946bdef3}
androidx/preference: {androidx/preference, e3269dee663f8509e5f1dbacffb1aec0}
i4: {i4, c8890325ca36b48ef77a2b72e3059f6b}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 2aa4ef2225f7d282f90ca81b6aec9de3}
g6: {g6, 301eead52d2d0216a0644be68ae0a41d}
o0: {o0, a9ec68c9df706e778f51fe9b954f5d35}
y0: {y0, 53efddad47d17032621d3e9e26f3cc85}
kotlin/jvm/internal: {kotlin/jvm/internal, 86c657e42603406f517737ff0546ad49}
com/google/android: {com/google/android, 05b85f23b407df00451cfdfdc6ec6146}
v2: {v2, 19872b3accb5477496ea473f2fec023f}
z1: {z1, 391fc9e6cc099f2bb26cd6a646ac0935}
m6: {m6, 45423ee687d5e130740bbb41bcc4335e}
t2: {t2, fd66dac46a62e6539ec4049c903c15a0}
w0: {w0, de22d9bec8b22192415eb56d442803a3}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 89a7ba555d84c09821ba196a82a00d20}
r1: {r1, 616ef806dd7041401ab131ce2e098b64}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 011acff5e22b747a78d41464e2394505}
e6: {e6, 122d19c753529c2cadefe83738456062}
j5: {j5, e77ea10d2a24a34b7a30b338521aff96}
l: {l, 04cfc1a67c6727740ba8b36168f5407f}
androidx/appcompat/widget: {androidx/appcompat/widget, bcefe3547e6beb98c82278cd1eba483c}
y: {y, 3919077d5b382f367b310701b3d1ee5a}
f4: {f4, 1f41cc414ffdcd7241364dd927c628a7}
b: {b, 2b280377bc1c48c66db94e4745da76b9}
k: {k, c5e2287c97dae531d8711337a0dbf22e}
x7: {x7, fbbb29c720552b4b8660994c79afadfa}
g1: {g1, db21f52a6600febaf3fcbf21eba04365}
c0: {c0, a564df9a89c5ed425c28ed4302f25000}
a5: {a5, f2c609d1f924a20dd21a9f882e2470a3}
p3: {p3, 1938bbecc2282c87c9e74e75507c9e79}
e5: {e5, 7da0e2db0f957bc89397327992c94165}
y7: {y7, d89f0fd1e1ded6bf04640f0649872c81}
q3: {q3, 884be38495d44b3e71d975596d10ff7d}
androidx/cardview/widget: {androidx/cardview/widget, d8234c4250fd3c7b6844d100762b5ddc}
l2: {l2, 0dd50b60064c0a993d66528d38a91f30}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
i3: {i3, ea026a0d49792947421ef382afda5bab}
androidx/core/graphics: {androidx/core/graphics, fb819a33cf016af80ae122ba12fd4c7a}
o3: {o3, 6b7f50fc3dee34ec2172800b035e15e3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7af4a75e3ab9f919ca88edb5ca7d7c92}
androidx/savedstate: {androidx/savedstate, 2d796ed4d974001f806d6dce4862aee4}
m5: {m5, b99265450968907239477e196353690d}
t3: {t3, db13674a909f875252dce84ef8064481}
j2: {j2, e346eebbcfcb8cda9a96b0f150c84a2b}
v3: {v3, 7cbf8e8d2841c7b8532557670a44b52d}
f7: {f7, 8447faf0ce4011bdad094fe02dcdb317}
h2: {h2, f68547f97bf160af6b48988d0fb6bff6}
n5: {n5, 49a551bbec60b3994f9fcf108deb040d}
u3: {u3, dfc6f966b7545ca881a34c7892d4b939}
r: {r, e04583f0499c9297c5e053da18ace0a2}
s7: {s7, 5f4297761c476282613cacaca06bfc83}
f5: {f5, 43215d66ecad9620c071cddf0be70688}
androidx/appcompat/view: {androidx/appcompat/view, b37b2e697253185a3dcd49d1e74161da}
androidx/navigation/fragment: {androidx/navigation/fragment, 1774d1bb355bc830cda1da62e9917097}
w3: {w3, 13a095eab0b0582d4751d0d3768db3b7}
z: {z, ece40e140934065ebae879e78c18b8ff}
r6: {r6, 41dff3e9ef60eee963ee7306c514b37b}
d1: {d1, 89ce462bc65aee789814d6258e02e3fe}
c: {c, cb67240809bfd64c4a98d49c737d9ccd}
k0: {k0, 18da11173fc9b693c09a74213e93a137}
androidx/databinding: {androidx/databinding, 2024b9bf76632cba1e08688620cf81a7}
g0: {g0, 49775ee295afa97aa44da48c4153ae44}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 9c20331b5eedfd355a6faca903b3445f}
x0: {x0, 813dc4edd93671dbe2395aa4a4245938}
b3: {b3, 116ea25caa3a13807205ab57bae572af}
w2: {w2, f2ac4e658995ac03bc2970fa30a0ad32}
q2: {q2, 57fd032b79fae16c90acdd98313940e5}
e4: {e4, 9aaff0ec88db3b56752d5efdc81b8843}
androidx/core/widget: {androidx/core/widget, 7f98269052d4acc566a5f114a9bc96ae}
o2: {o2, 6cf2ee6a70872cca3c3807a5023be01f}
m3: {m3, a30743b6989e3c9286c47ab2bbeb571a}
i2: {i2, cdc4552e8bd84169e1f7a82b7f89e0c6}
androidx/lifecycle: {androidx/lifecycle, 6f7cf4f4a3970e056e8ed4200a9eaa61}
c3: {c3, 0c7b975cf8cee170a0e2dd22d298344f}
a4: {a4, 9c8fdef9ee597f49b4a79e5c28b303e4}
h4: {h4, 0b49d8780288205918bfca2fb80d0517}
