a6: {a6, 52a4cd4b8c4f6243555bc36e86f96677}
t0: {t0, 622b442a0b8a3db45bb78e8c0e3629ac}
j: {j, 8ec7c1ae4676f21a2f94a7cea7f5eb0e}
c1: {c1, 086deed275606c5533d6f16c74e20318}
q4: {q4, e48790719abe94c3da1c2390af0b2b88}
androidx/activity: {androidx/activity, 83ef98ee0f899d01a9fbb140047c7d5f}
x6: {x6, 235e298400d7a7406032f7161b78b54a}
l1: {l1, 93b94344c78f19b8ea84567c603ce71d}
androidx/preference: {androidx/preference, 49aa101c81bb871721bc3f528d826480}
i4: {i4, c8219174ef2c813cc4403ccb430d2693}
androidx/core/widget: {androidx/core/widget, 6f8aee381bf6e00cec7ba67698f9dc71}
g6: {g6, 0718d8d271f25257f4b89f04d6def426}
o0: {o0, 9de9624d929f3e20782f3183dbf3feb9}
b5: {b5, 482b454910a47cdf7027f6bb0fc38b72}
com/google/android: {com/google/android, be53abb56b1bea79a6b636b1753f9f7a}
v2: {v2, cc7cbbb45505fa0c578ebf1adcecf2e8}
z1: {z1, c0ef0645873f4e5227a57fa65da58a22}
m6: {m6, a09f92b47fe2e78772eb493a9ebc1f24}
t2: {t2, b2c74f030e5acbfc35ebb038d18b1393}
w0: {w0, 3123759c3e2a23761fb60e198251e839}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 408035340225681071a52d1a0f66eff5}
r1: {r1, 025921517385ac6f36f3034710c493db}
e6: {e6, 12bb7588352a6ce28fe438fa5fdeab8c}
j5: {j5, 76443e5c3f5825495eafe147621d6877}
l: {l, cd20d2c4efe7c7faa2119cd201dccf48}
androidx/appcompat/widget: {androidx/appcompat/widget, bdf5bc4e822b79df30f33a8307a495a8}
y: {y, ec1fd3d37f6f9163c6a0c321eff546ac}
f4: {f4, 743afae4e74f79db15aab5b7df077d26}
b: {b, 8bd979145a3d1e0732b4a703fe98ec32}
k1: {k1, d6588cbc0d73b848ffebcbbd90b26eab}
k: {k, 944578e3a9068d0b21181066c02d4c7b}
g1: {g1, 27af41f3e9f1f544f037769ed5f6f544}
c0: {c0, 37afbd0682df0a42245af0ec8a29198b}
a5: {a5, 158b29e45f5e0391608da1dda2953572}
p3: {p3, b094c0a95fe27776b413e6f41076f25e}
b2: {b2, 64cf305655a9c1db13356686c94c0752}
rx/exceptions: {rx/exceptions, 99c2aed757740b33f9b3c0ae42b7e158}
q3: {q3, f3b1164ac453fe0450e4545183e34e09}
d6: {d6, eb6583bee6870cf491effb371266af90}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
l2: {l2, a2ed4428f63e34db22f2ef21333b6bd4}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
i3: {i3, 15f7c936e2266a7fc38fe235e939cf6c}
androidx/core/graphics: {androidx/core/graphics, 186b93d865bb366d2f46888fea8057cc}
o3: {o3, c157e537ea891b33a6e8b12277078160}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 740c8d242f656c526646e9be4787a3e4}
m5: {m5, 293084de258774aae551ed4a7e3288ee}
t3: {t3, 4748dd75bf52976c1f5f662e9a948071}
j2: {j2, aa19e705065898166797a6759356cc8d}
v3: {v3, 6ee4b8efb10732381c573b5972924d9f}
f7: {f7, 0ffe743e5286d443f829ccca62a848b0}
h2: {h2, 2d935ad5be205f0db375da5949c61cd5}
n5: {n5, d6622dc583c0aeb69a1fdf431ad884bd}
u3: {u3, 47baf3f1cc1cc299dd66224a9acc4fa5}
kotlinx/coroutines: {kotlinx/coroutines, 8c3cf5e05e6703265b917a29eea1a731}
r: {r, 1f344bce975a6ca0723c832b804aafdf}
s7: {s7, 2e3d620e2f222c62deeaaf39ee4b109b}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
androidx/appcompat/view: {androidx/appcompat/view, 7a778b5e0f5e9eb4e059c7332d2c7a9d}
w3: {w3, 1450fef562d1844a0e064e9cb0691f52}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 22e27294d9dca0bd4434631fca2291f9}
r6: {r6, b15f4ec3543fd127751d5235df7c2858}
d1: {d1, dc2dd68d32d0ab02ad9ba7e2eb827d03}
c: {c, 2bbcd31b3a8302a920ed43a6d291db3e}
k0: {k0, fff25ee384788fc46b03e503c47f9af7}
rx/internal/util: {rx/internal/util, a3d357f0b5898894e21b6758657c988b}
g0: {g0, a48bfaa1355834a554f89ca3a1166f16}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 2c116533f4a17db141908e92effba45d}
x0: {x0, 9cbe314c29529030e0db045a031075b7}
b3: {b3, 3b05a37cb5e75c73cba25c533214ab0a}
androidx/room: {androidx/room, 155b85b52569656634e75f594cdb46c3}
w2: {w2, 9813970ff555e869abd677a2638b9b5f}
q2: {q2, 3ef84667b8952d240cddb3452c578ab7}
org/osmdroid/tileprovider: {org/osmdroid/tileprovider, 542dd9699021b2a489ba6c7d8f6e4a23}
e4: {e4, 748cc20e6df180d728d0a15c06469ee0}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ee4b2e1d236d6e9ccf32e29d4a92343d}
o2: {o2, 09c92a4014bebe928621121f1c2e13a7}
