android/support/a: {android/support/a, 049ed6b40b8d38e8e0dc09006b3110ed}
com/dbeginc/dbweatherdata: {[com/dbeginc/b, com/dbeginc/dbweatherdata, ], d58d898d769ab5c5e5d46ba3a9cb4d4f}
c/b: {c/b, b814a599a6cb9c2852f8e5ae3ac99573}
f/b/a: {f/b/a, 9cad66918ac1ecd0d8d293898cb27728}
com/d/a: {com/d/a, 391314dd5c934ed5935b4d488c0085ad}
f/a/a: {f/a/a, 668dac8d1df577624d3178f39ed56323}
com/b: {com/b, 541be86616c967e2fa5810506321a26d}
b/a/a: {b/a/a, 3918f1be28f6c7ec94fe491d0814a6c5}
org/b/a: {org/b/a, 14826a834e4a7127bf9eb5109d76d5f4}
android/arch/b: {android/arch/b, 661960269d1500853297609e3b8c8ee1}
com/github/a: {com/github/a, 09ae11c69d24b9a9f47ea8e9c958c79b}
f/c: {f/c, d18b83c9046d14283c99ec3fa5a22cdb}
android/support/b: {android/support/b, a0b79b6d231768264a897cd938797985}
com/google/b: {com/google/b, 407930830bea077664c97c77e06dba00}
a/a: {a/a, 29a8c60e1881888766e42820fbdabd24}
f: {f, b011fadb007d59d42d603e146f16ce19}
d: {d, e7abedcd9498d2b37c84d6b71030fa96}
com/e: {com/e, 7cef242dd59a5e9d960cd44ac70e6c92}
d/a: {d/a, 472af04e346c15394038a00da7d53a87}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/ads, ], b9df9602109d69bec0ed290eb509dae0}
c/f: {c/f, 94e31e30db741da108354d83ba687422}
com/dbeginc/dbweather: {[com/dbeginc/a, com/dbeginc/dbweather, com/dbeginc/dbweathernews, com/dbeginc/dbweatherweather, com/dbeginc/b, ], cdb50f7744460c3d258752942ed975fd}
c/d: {c/d, 5f711abe25268c094d5e55bac81126e2}
c/h: {c/h, 488e75b64b5a8a713688c63090374c47}
com/c/a: {com/c/a, 8b5898962de42ad5a72a47427f78fcc2}
com/crashlytics/android: {com/crashlytics/android, f8c942687b508dae00950f99fb8dba2a}
com/airbnb/lottie: {com/airbnb/lottie, 7c6bc36b9442374a5b64383b533b80c1}
android/support/v7: {android/support/v7, 0a56e30897add753af545b85ca7ef2e6}
c/a: {c/a, dcbcd6cfa3149db99e570d49d51bfbdb}
d/a/a: {[d/a/a, d/a/f, ], 79b65becd8659ba810ad4070d3ec8bd5}
com/d/b: {com/d/b, 9e797e78a8d239e66fc299e790c62d9f}
c/e: {c/e, 5d199ba559db4f1becab78289aa90f95}
c/c: {c/c, 64bf695586833d01fd2958cd6314633d}
android/support/constraint: {android/support/constraint, 1b8720b914839c209952d65197647faf}
com/google/a: {com/google/a, 60e0da1367b0ac8a6e44f2ccb9f5a5d7}
org/a: {org/a, 907475feef0ab7fa1cd750a3bc58c144}
b/b: {b/b, bd0deb7e5dde719947727cf7ee52f950}
org/simpleframework/xml: {org/simpleframework/xml, e59cfdb873b5312a3a89c4e73564ecb0}
android/support/c: {android/support/c, abcb9e2dd227f2b39fe58fcff8d16633}
com/bumptech/glide: {com/bumptech/glide, 408dc2285131dd2364759a944b9fb56d}
android/support/design: {android/support/design, 3ebcb6113144bfe0560788f12f841d5c}
com/google/c: {com/google/c, 254167f9eccf1cb640e0faf27dc2eac4}
android/arch/a: {android/arch/a, 8aebef604f40363be2bc00b4c569637b}
a/b: {a/b, f6637f20656e543db1ade4a40030107b}
com/roughike/bottombar: {com/roughike/bottombar, 52e4ec332d13d55016e43e79a5619824}
javax/a: {javax/a, acf7ef943fdeb3cbfed8dd0d8f584731}
e: {e, fe908c9adc351306dc5bba67d230e0c6}
c/g: {c/g, 6dacb3987a1e96db767e79cc313f71d7}
android/arch/lifecycle: {android/arch/lifecycle, 053ab44f8eaf568011f4e43ed533a842}
c: {c, e12a327198e5a295fab67f30bfafa05d}
android/a: {android/a, 1c588f2d1f65ace1c1f01fac8f09426d}
com/github/clans: {com/github/clans, f8537f6f523a87b2247f0e1d9ddbe189}
