p2: {p2, 0b5d0291879f7af331df9fa141244aa6}
A: {A, 44f8d2d4cc1235e7055b6ceeaff7ed98}
j: {j, 1f3c482abb7a186663045e411ee314ba}
c1: {c1, 9071aff1a542a27fd6d82c2efc6933d0}
H2: {H2, be9192d9a3925c02ac58fc6d96c7cf28}
androidx/activity: {androidx/activity, e36405ddc6d464d3f9e845d418363194}
androidx/core/graphics: {androidx/core/graphics, d45456d62c96d22bfecc204f48e5f153}
androidx/lifecycle: {androidx/lifecycle, 19c18a66bae264477737b5973556cf96}
l1: {l1, 4e4e7aa70d77117c598739a74ec77e8f}
androidx/datastore/preferences: {androidx/datastore/preferences, fd21fc13c9951ef980875108a551d712}
J2: {J2, 88081318b3ce04333215caa461c9ca1a}
com/github/mikephil: {com/github/mikephil, 3a7771fd8d65d4cf30cc8e484e7dad88}
o0: {o0, a55a3afe56d6dc6c3695bf7ab218fdf2}
androidx/compose/ui: {androidx/compose/ui, 967b7489d40c522b002aadc8c73bc0b2}
K0: {K0, 1f926fbae346de8319193d02ef844dab}
R0: {R0, 0ec8ee4d2bd5d9ff8b801d7eb3113d85}
y0: {y0, 8e8d2941d962439cdca9bc69b382e9bf}
P2: {P2, 0a6010ec2c041fbfa625aeb54743eff8}
Y: {Y, d442ec97c1382bafa92b90069dfa595a}
Y2: {Y2, 2b6470c1e83c8ad3e773704ac0e61182}
v2: {v2, 17e493abd0da306c1dc1f74eac4d618e}
H: {H, 108a113746cdad26191a3cdd73991683}
z1: {z1, 224af6abfe57917df41041d8d38b7567}
androidx/compose/runtime: {androidx/compose/runtime, 0f9b6217edd7b28606a446916886380b}
t2: {t2, aa3dd3e8dd558540000ed92dae461b82}
P: {P, c704746ab08ce72b172de4f5b78a77c6}
r1: {r1, 21c857d247ac7b74bfb11d4ef8311a21}
A0: {A0, 3754f327890984ba4b18da6e8723ce45}
O0: {O0, 5e3bea40333bf14d46bbc0be8952cd5a}
I2: {I2, acf7ef943fdeb3cbfed8dd0d8f584731}
d0: {d0, 817f588857c4724d57228751a986cd31}
b: {b, 1a3d86df8431f59688a6caf2021f5a0c}
k1: {k1, e80af1cb13f41c5722eb5117cd6fdf66}
J3: {J3, 14f59e69604843a71609d25a0572f382}
k: {k, 2aae098d382c66e1fc27618a943b6a35}
g1: {g1, 7ec75445f3c6f630a72840b2481e4aa0}
c0: {c0, 5e9d6fa3429740496cee63f512547610}
p3: {p3, 9a9a9c12dd699a0595cc4e9bf460c0e4}
U2: {U2, 2f81882e0a5e46e1e87615f8cbe5e278}
Z1: {Z1, 015ff0b6e1619b0a8e388a1e84f40b93}
b2: {b2, 59aa03e796f0dbd16d3554459c3bd05e}
H3: {H3, 5c18ed7788c14eeb98b0a66aed22af6a}
q3: {q3, 442911bdaf686092962e7f626d1d2a8f}
K3: {K3, ebd536b681de675a878a58d1bea7c99d}
R1: {R1, ecd373308a2358c55064cefddee68c61}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
l2: {l2, a7966d1b4b50953e0e54faa973b718bc}
i3: {i3, 7d646bc457e91d4c6cfd07ba1332c0e2}
V0: {V0, 5a068bc335b8fc4c82ac961021e9d9a1}
D0: {D0, 00b13e9d1358815d286f60e4d58b009f}
o3: {o3, b4c4dad2c047d4a0726419f8a1c748ad}
B: {B, e62380f330bc385288b65a27fab47d14}
androidx/savedstate: {androidx/savedstate, b233601b6a13e9e9e3db6a9e5535249c}
androidx/compose/foundation: {androidx/compose/foundation, f2933c8a09b1e51d406b2f7d4bbc6a3c}
t3: {t3, c6a0ba2b5a8f2750ea3a6e43127eed05}
j2: {j2, 4d656cd00a3a5cd222702cb5f89ede08}
v3: {v3, efc7c10c70a231fa691e64a3b36f539f}
P3: {P3, aebf6eb2e52f29095f8e9d9c16dbc65d}
h2: {h2, d952c5d2ee15bd9b09a7066d3e621c25}
u3: {u3, a5df4dec4ab5a89642888f85cc8ddee4}
r: {r, c38139b55398f629d5f65a41b5ef7e38}
Q3: {Q3, e93fbd5200938a3c7ea58109c94d8c59}
androidx/startup: {androidx/startup, 226a48d9531dddfb03a22105d187e8a5}
Q: {Q, 33dc15c1d225a4ffb90482fef00a74ef}
w3: {w3, 37f5a633739d6b6136a1754fce2cd324}
z: {z, 77c73d33e0d4c096b0d836d275698b1b}
I3: {I3, 0780cf1ad880cfd08ea5c1b80e582ec7}
d1: {d1, 55b50ac878e805b8057beb639e5c2d3b}
Y1: {Y1, 97708d58ab7ecbd116502b1f57335044}
k0: {k0, d3fe4c68be24668e7a5096a81f5b7431}
O3: {O3, dbd1e65d15475ff980da0aa583a08170}
androidx/glance/session: {androidx/glance/session, 0f586224a66b024a4b938a698ad86a90}
g0: {g0, 519080063d0117715b04c670f371abc7}
I: {I, 3b52ffbbef9f6e94138dba5a37cb57d3}
J0: {J0, 3ac524eb2b82fa0e5f41d3fd58172cd8}
x0: {x0, 43c3e3e4712ef6e02a81226bb4f70843}
b3: {b3, c54540db833600205d73ddef5b7b2268}
androidx/room: {androidx/room, f275f4add2a21fae12e1d4af06dee68b}
w2: {w2, e817ac21a5ff01cbfae18e689b99c911}
q2: {q2, 7b75cd9f8a6bfd228aa8b60300d860fd}
U1: {U1, c876140f64ff7cfdc503e57d65b7182d}
R: {R, 657993ea3bfe13a25a0ec3304850f694}
androidx/core/widget: {androidx/core/widget, c676e94521aa9ea4e0a89008e33a3100}
X: {X, 1b13c5926b431aa6cbade4734fc26528}
o2: {o2, e870e3d25df368f190016cde5c5c5377}
m3: {m3, 60ee14782e7b449774bdcfa80092c652}
i2: {i2, a04ce7b77654b4faaa3b5462380aaf2e}
S2: {S2, efe88fd6eb8267138aefc43131968113}
K2: {K2, bfce4c2d3b9ccc0b6c06f672fc4fa536}
D1: {D1, f5c460994efad79ee8f346a8ae1a293a}
C: {C, 8247e1167bb16a28fdc43108c357dede}
androidx/navigation: {androidx/navigation, 131ec27ac54998d2c8d54c435c32d113}
t: {t, ea512335bea84db23b5b5f4a618a40ea}
v: {v, 58000d435b384ae6fc88d0654cab92c3}
V1: {V1, 11ce332effdc5a73845a5087456c3125}
androidx/media: {androidx/media, 02093a05a20069e0605228ce3038ce86}
j3: {j3, c05addc1b641c140961804801b8b5b81}
J: {J, 30893f6e29897f7249958a9de19c9e73}
C1: {C1, f32202ff2985679b828cae21992df449}
u2: {u2, 83784e6050f0746fe1c7399e969d980b}
s: {s, b0deae1b32e9f05ad329bd898c4a9df9}
W2: {W2, d6622dc583c0aeb69a1fdf431ad884bd}
androidx/viewpager/widget: {androidx/viewpager/widget, d5f9f169190930408eba357f955f79bf}
Q2: {Q2, c8b3e042076978f7bd32e4675260b913}
h3: {h3, e3c0a425ec2c47b67599a8ff5554c565}
n2: {n2, 20cd8b2528bb2f1eb7c496135635d665}
L1: {L1, 291caf83089ac8e3ee8bcbc15d43eb93}
k3: {k3, 648b296fbf85075b0e0328cb5bdce945}
O2: {O2, a68d2c319f38bd81d487cf89490f630e}
L0: {L0, b2420d31913a5276605170dea5d5b240}
l: {l, 2714ef431eea197dcefd940140c428a1}
S: {S, e63bd3f3f53972f4e6dc7599beb70f29}
v0: {v0, f607309313df36ab98bafbbfec095354}
androidx/appcompat/view: {androidx/appcompat/view, 1f725d1130653355aa7a9af82c0d99ab}
d2: {d2, 731ebd8df78c8b36d67cb393ec77bef9}
Y0: {Y0, e13aa02b9b3d83a2c5bcae46e95ab0d6}
q1: {q1, fba5caa8f8940b84a403c8d72fd6cec3}
U0: {U0, fbcd88f186c274165ad6f1a299ea8b03}
x1: {x1, 87ba6041cf22f4ae21e45f0d2b3b7060}
g3: {g3, 98893e3f3bf7521205682feaa8ffffb3}
n0: {n0, fab19447be0ad2e59e6b69c5f1acc416}
I1: {I1, 82eec6d66e1252a5375a0b1199825b62}
Q1: {Q1, aaa1620a6b1b9a12bd8ff9c90ea3562c}
D: {D, e9b5a29532d64159117ccce3bef08277}
b0: {b0, 4e563bb8624bf26d38522de34cff4022}
m2: {m2, 0bc1e263d1641223c99127b1f30125a8}
L: {L, 59eb1b58b721df1e50cd144b14980f7c}
androidx/glance/appwidget: {androidx/glance/appwidget, e8afc510568d0202a538960f11f8f3b8}
F2: {F2, c1126ee4e7d29afc813e007830dd9475}
androidx/emoji2/text: {androidx/emoji2/text, 18ebd0334cfab876d260b3873d259a56}
J1: {J1, c3ed137fee6f7ffb356fd80d4e34cc27}
io/requery/android: {io/requery/android, ddd2feb0bd16a2679e1e7aee03c57ae1}
D2: {D2, 0a099d1054c3a76d060c6247e18c4ecf}
c2: {c2, 39b8c15c18c77ce2be55ad5a9885a489}
a3: {a3, 2a1d000bcb301848bd5280668c2433a8}
K: {K, 13218a1663d0c05a905471f24b4f278b}
androidx/fragment/app: {androidx/fragment/app, a3fe7695c4bdfce473e03371830810d2}
G1: {G1, 7ea2be4abeec4c79ecb6ae6951189e72}
C0: {C0, 30e0f9d5694fe07e9a12ccbb3fffc5bd}
j0: {j0, 7ff6a176066ae1a3e9ccbb364fe27a5c}
l3: {l3, ab244daea2f8a9263e7c3db8cbcb34a2}
B2: {B2, 6128c3d3ca21ac5fa136a80f01d25165}
n3: {n3, 2c606f40d356b5962a7110fa7efd9488}
u1: {u1, cef84f83cce8de91b6a88cdc37dc0848}
e: {e, 07c9d819fd93129a8027cefa72d5d93c}
androidx/compose/animation: {androidx/compose/animation, 65b8c0dfbba72d3e45e71bd2d6c8aa23}
l0: {l0, d4224bca7a7a619d22ea78269e8f656f}
f3: {f3, df1d20d8818ba3182ef4dd6d8d556008}
L2: {L2, 2049b7982303dcbccebb096fce19b480}
k2: {k2, e7c23954af219cfa892a9c2d94ba3589}
m: {m, ae1195d9094b8f5255148a8960599a91}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, af399df949ad7fb06b09fc3180a361ed}
A3: {A3, 6673b99e4aa11db1ad4354e61c25829a}
f2: {f2, 6308fe7e820bd0bc51a71ef4a7a48410}
v1: {v1, e466c4881a0b49f1aa4e1f34b029353f}
b1: {b1, cf303d6d25327b06fb1a411262c404f7}
q0: {q0, 97dab16b16947714863bb81633b162fd}
f0: {f0, a85c171e458658622154a8a3b71c87db}
L3: {L3, b8e88779685c41dec6e354577e92241d}
androidx/core/app: {androidx/core/app, 61402b2353f6069ce0ff25a4f4f3e65e}
N3: {N3, 43de1392c4fba336b03106946cab883b}
androidx/profileinstaller: {androidx/profileinstaller, e4b74a1f35d56c350fa1e4992afdd798}
I0: {I0, 0c26d75220e767bd4e0059c3b0136c74}
E: {E, f0a12c9a97a1664eae7c55c9b6fb8720}
D3: {D3, bb27537abf94a6c65c8694dce6148133}
z2: {z2, cde50f53ac177680c4a6c5c4aa565055}
F3: {F3, 72945cf125835e621fa96996707c160e}
m1: {m1, acbbf61ae743c6fa5d306e3db5ac1872}
M: {M, 9dc8ebe87246942c7227e532a53d335d}
x2: {x2, 8de9bbb986daecd40fb6a5e00de04fda}
g2: {g2, 6f82da7948bc2a63f48a7484c8d73c1e}
E3: {E3, 24e3c860ec04dd0346afe62204da436a}
a2: {a2, 5d949d541a7554a0a188601fbab8e8f1}
G: {G, a7629c9294635908eb354a932fff1e81}
G0: {G0, c3c88497e02b2f2a51d91a5daf93ab97}
w0: {w0, 482ee873159ede8672644e1cef9fc660}
