android/support/v7: {android/support/v7, 06b36e7134715d41da5df602f4d2e013}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
me/drakeet/materialdialog: {me/drakeet/materialdialog, 353f50edfd471ef065f02090d7c75712}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
io/realm: {io/realm, d00304ecd8b795125345d2368d6a9e1e}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, edceba262373d3bc1e9ac83c18a24cc5}
butterknife/internal: {butterknife/internal, 03b7e3102a00cfd249972aa7db8341e4}
com/google: {com/google, 7bccdf41a1d70b318a3f6de44b3a1fcc}
butterknife: {butterknife, d79fe9fcbcd155c77e5ef568692ed86e}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, f6dae9b512e9a5849ffeb5f460702aa4}
android/support/graphics: {android/support/graphics, 754399649dfc90a71cd6c61e54955595}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
com/squareup/javawriter: {com/squareup/javawriter, a4a7392e03cac6ff50590b4e1cccae84}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
com/firebase/ui: {com/firebase/ui, 2aff8389911b8a2613761e0515ec3a83}
timber/log: {timber/log, 93e28e4b41c541af0cdff94cd664c15d}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
com/quapp/qu: {com/quapp/qu, e456eb33ce42c75fcb4cd732710a182a}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
