g/a/a: {g/a/a, 80289e2862f3f63409d3db8443b474ed}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 95f01caa19433eb686ac317bbc1f17f3}
androidx/core/widget: {androidx/core/widget, 915b8a8c79148955c56336ad9ef364e0}
e/a: {e/a, 05e97f6807c56bcadb4f0f72763ce93f}
f/t: {f/t, a8a33973ce8725de2124e584473f45db}
kotlinx/coroutines: {kotlinx/coroutines, 164f229a5b6e8ca0bc349c71c224d5ee}
f/p: {f/p, 1318bdef3c3a523c95f762830a254d4d}
f/v: {f/v, 6b2ff7d65ddf887b16540f830eb5ed29}
androidx/preference: {androidx/preference, d53bec0332d1e99af9b21b80cf7aabd6}
androidx/appcompat/view: {androidx/appcompat/view, 9a1721866fc2f74697a702737ec9d8e7}
androidx/appcompat/widget: {androidx/appcompat/widget, 0dfa95fd48d4f8a9a1671905bfe43884}
androidx/lifecycle: {androidx/lifecycle, c998121dda849605970d1e6f085276a6}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 5132ca59bb9959ddc3ef1ecf5c109e63}
b/g: {b/g, 4aa7c29a6d146c2b26495b10f7c64eda}
b/e: {b/e, 6c4319b3256d6577ad65db5aa1ab0a9e}
c/a/a: {c/a/a, c0f7f7a54aafd76a0b73e44d090e2ced}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 09a113179afee548436d9d88d7dfcc83}
com/google/android: {com/google/android, 76dde284f32c56e98361c2abee041fe8}
org/emunix/unipatcher: {org/emunix/unipatcher, bbc602ea29f50f7dcb66c3910ade7fed}
androidx/versionedparcelable: {androidx/versionedparcelable, 87af5f2d8ccdb503368b7c25dd68c953}
f/z: {f/z, 690591d3cabaaba9647d4a047904db5d}
f: {f, 1e3527ba102cce9a45d6afd731eac81f}
d: {d, 7b49d3ab59b8f881370258d24c55d1f1}
com/android/billingclient: {com/android/billingclient, a1c4186975cf9ca9f5f2455f971ea3bc}
b/m/a: {b/m/a, 4e2f8fdaa8dc2c56837403429e0cded4}
f/r: {f/r, d9cb9ff3aaca4a9d409978653d9f72b6}
b/j/a: {b/j/a, e1a4b7af192ff303dc64043ac9ea4fea}
b/h: {b/h, 9f5e93861675ec9b44371b05f4e7cbf3}
androidx/appcompat/app: {androidx/appcompat/app, febfdfc83a2f9b457852ddb8196d5e15}
b/l: {b/l, 2cb90ae4afed166d513e285fbbed5fef}
g/b/a: {g/b/a, 78705464066e571b22ebc9b0894e34d5}
f/u: {f/u, ceadcf8cd35a085fb4f8f68937c27da7}
b/c/a: {b/c/a, cbaed7719ee25202cac92e932db4b01b}
androidx/activity: {androidx/activity, 49881c3ba0361bc0215260520d7d09fc}
androidx/recyclerview/widget: {androidx/recyclerview/widget, f836fa583fde48584ab097e286fa7bdc}
androidx/viewpager/widget: {androidx/viewpager/widget, 8a73dda988a04964934b0f0b9c485ec7}
b/f/b: {b/f/b, d44b7a591c214b9fc2b174bdfc073260}
b/f/a: {b/f/a, 3c6a9417c71e0ccf1affa1baafbfea7d}
androidx/fragment/app: {androidx/fragment/app, ba106eb8d56fa6e716b85e2bcbf67b86}
f/w: {f/w, 96c46f90cf050675ad0345691de7c403}
b/n/a: {[b/n/b, b/n/a, ], 0748bd4213b5c557f9a512a3d1a12b6c}
b/i/a: {b/i/a, 3669e26307fb907ae778697ce160ced7}
b/d: {b/d, 6e093146b5fb9771fb3c827be096fc1b}
b/b: {b/b, 3ca176f33a7475228f185491c3e21b24}
b/k/a: {b/k/a, 43769e7ea5e43764b1394e7060ccba88}
androidx/savedstate: {androidx/savedstate, 59c00db13de55f8f6e11233451e183ef}
androidx/core/app: {androidx/core/app, e29949cc92cad66a64079c285c0ca524}
b/o: {b/o, 74a83961ed0ba1024a71b3a97399f150}
androidx/core/graphics: {androidx/core/graphics, 3101112cbf454d08ad6bb62ddb100539}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5e7b305dae6afb1a011bbd47a9cb1b74}
d/b: {d/b, 6da4bc00ce000dbd72bab06f20ad48ef}
b/q/a: {b/q/a, 18296a50e8b91e23c2c50000dc6325de}
f/y: {f/y, be37a1408ab5a540092250e81cabe7c4}
f/s: {f/s, 6cbea9344ec59e4cb98e706d681d3ad9}
androidx/cardview/widget: {androidx/cardview/widget, 51ee76a03e20308fffaaf18b3362fcec}
f/q: {f/q, 38f51cc419f278022f1cec5ec8c55061}
b/j/b: {b/j/b, dd02ab6af99be373912ad7c48b09827c}
org/acra: {org/acra, e9691070aa9e8b97d88957bce02a3762}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 944abcf21290c14beeb4ec258536269c}
h/a: {h/a, f8a1bf9ae57382d5f4f8b6619d107218}
androidx/databinding: {androidx/databinding, 124d05c4d49d45c1a568b01f093ba88a}
b/p: {b/p, fa03efef4c886c6c5e4b841f0409dc28}
