androidx/appcompat: {androidx/appcompat, 02124f4257c9e060854818cb425218df}
kotlin/collections: {kotlin/collections, 11242a2180d491864d23b2e21f51ea20}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
javax/validation: {javax/validation, c7a4fc475185c16d6962be80b886b123}
kotlin: {kotlin, c4bb6256287e3c0b265b0d0b9e043e64}
kotlin/io: {kotlin/io, 8a1b759e202d5c6cbfcc53723716b6ae}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
kotlin/internal: {kotlin/internal, 1d2c8232f79fedb7544a0c3ff86c2a41}
androidx/activity: {androidx/activity, d8355f2565b1a1ee350f7728a2158d6d}
kotlin/contracts: {kotlin/contracts, 9c8bef231f249be25df528c988e85561}
kotlin/sequences: {kotlin/sequences, 4ad4624337b8bae2b5879a7d0e2234fa}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 14cbdee7ab55db2e9fdad510698c5af8}
androidx/lifecycle: {androidx/lifecycle, 80d816721ba47a997d71d0bc05710d52}
androidx/fragment: {androidx/fragment, f5dca41bdb1f8502a1721bc8de186765}
androidx/navigation: {androidx/navigation, 85e35f42ba6f116889fda243423e0909}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, 0ff334097d5aa181e5e000528b7179f7}
androidx/recyclerview: {androidx/recyclerview, 1732a1d0844ae86ab4ff9653fae98a0e}
androidx/viewpager: {androidx/viewpager, 586a79548bd25c3240ae55df346c7b02}
kotlin/reflect: {kotlin/reflect, 33573462e6f388d1953882cb73fbe9bf}
kotlin/coroutines: {kotlin/coroutines, ace9c0d0029fd0c08ef30eb390e8e820}
kotlin/math: {kotlin/math, 2c114c2e89740acc0227db7675a621db}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ebd64a962cf450a64432bd78124b0202}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/transition: {androidx/transition, 068085ec4374225b071bf5d6f24bc60f}
kotlin/random: {kotlin/random, cb9ae52cccce86e035c5eea7baf4a447}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aacc96fdfb26ac2160e0dc27a4dbbb32}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
com/google/gson: {com/google/gson, 2b52fbe49ef9b9e89ec6e5fd140f46a1}
androidx/core: {androidx/core, 57ab9c59cdb7f63396e2a17e8c61937e}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, c564e5ae06f345dcde1cb47b5ccf38a1}
kotlinx/coroutines: {kotlinx/coroutines, d0dee29720ca7e07eec0614b26229bf2}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
cc/calliope/mini: {cc/calliope/mini, 43d486e69af48aa0ded387de5b2cc30f}
androidx/emoji2: {androidx/emoji2, c8d166a72d8ccca3ee723d69abf69b7f}
com/google/android: {com/google/android, af8311358a77e66ae09a0bc79ef78c07}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/concurrent: {kotlin/concurrent, 99ba8644906ccfda6477d1c9eb73a56b}
kotlin/jdk7: {kotlin/jdk7, 83767bb79fa0044ca1efb24a1496ff37}
kotlin/text: {kotlin/text, a972d3f5d793c4333f277d8daa61935c}
