androidx/appcompat: {androidx/appcompat, ec70c5f276df3a4cfa83d3f076ff2242}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/internal: {kotlin/internal, e9429a921dd887bd02de93b709109394}
androidx/activity: {androidx/activity, e2927bf49cf3ac105c648c382ed9b387}
kotlin/sequences: {kotlin/sequences, 4f8c5db9b5c08f830c039928af618811}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
com/boardgamegeek: {com/boardgamegeek, 7f810b1b98b3d66fc9591e5fb5f5b9c5}
androidx/preference: {androidx/preference, b607bd700ec69dc66f728601a4dc4a2a}
com/github/mikephil: {com/github/mikephil, fb339a22844198a4b017c2db3c5fe152}
timber/log: {timber/log, 171db4128dd0451a486809876637bc52}
androidx/vectordrawable: {androidx/vectordrawable, 229510b587a924b0b6a7578f9915584c}
com/jakewharton/picasso: {com/jakewharton/picasso, 8fe2c2c0cd2dcf3c52cb384a3fa0659e}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, bd4b0e1f61c783d4c4bdafdff3b9a616}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d77a132b4bb422e933588e65140c0cef}
kotlin/random: {kotlin/random, f8543b141e008a9e6acf7b83b521761d}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 1b724c64208860cacccb908afde9380a}
javax/annotation: {javax/annotation, 1980de4060fac00cb413ef2f0b6db7df}
dagger: {dagger, f22b67277a8e0073e01684058e3c41de}
org/jetbrains/annotations: {org/jetbrains/annotations, be9e3a3102a00b0949ad46bd406aa5bf}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/palette: {androidx/palette, de56051426284e97bc240dc2679c9cce}
org/simpleframework/xml: {org/simpleframework/xml, 4142bdeb9fa4ae8b991bdab42dcd13ed}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, e1ef9585227a573269c7b880c4330f84}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c7135624d86873e24af9dba83d480b5c}
androidx/annotation: {androidx/annotation, 30acee34a8172360df63e7232b20bfca}
okhttp3/internal/http: {okhttp3/internal/http, 0a81932377de4e2e6f74c07f43a9b00b}
androidx/lifecycle: {androidx/lifecycle, f4bdb851a15b490b6f66797af21df2c7}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/versionedparcelable: {androidx/versionedparcelable, 75d2286be9300ddcd35ab4a20812d1ce}
icepick: {icepick, acf7ef943fdeb3cbfed8dd0d8f584731}
okhttp3: {okhttp3, 8fb01cd478409bdb01b7a9aac4e7ef80}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, dbed2c3d5eb590608a4573bb44db9443}
androidx/core: {androidx/core, f2bb906463c10466a34e1d4511858822}
androidx/collection: {androidx/collection, eb7b1e58a47cbffff60e801dc4628005}
androidx/transition: {androidx/transition, 00086a3518fffac2aae2f9f759e372dc}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, dbbb3666ae3b31d306e192d1e2889902}
