androidx/appcompat: {androidx/appcompat, b30402d75b31566ad26e5047a70c67f7}
coil: {coil, 5f36b23bd8109f8d46503a3b908ddb2a}
coil/fetch: {coil/fetch, dcb6d1d284a640ed252bb7d1e49b768d}
androidx/activity: {androidx/activity, a7d558560ee359764ecbcf9da658e7fa}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, ea14679dd7bf0164bae23f671ff6d4a6}
androidx/compose/foundation: {androidx/compose/foundation, 39ffad4d75f45043f3827e9bec898896}
androidx/preference: {androidx/preference, 631022c0e78c9847d1ffb4784de38566}
com/google/android: {com/google/android, 909c8cb6531dcf4f259dc8e25a4a5d56}
androidx/compose/runtime: {androidx/compose/runtime, 42d28578bfa57a8c9906ba3bc3087898}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, 17a62cc5ebf1a81aa6676b741725c4cb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, f353e00b71ce723cdb6715d5268cede4}
coil/map: {coil/map, 711919fc339df501c3820a987db6007f}
androidx/window/area: {androidx/window/area, 98e556f0b331745a1b45c92b4bba197d}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
androidx/hilt/work: {androidx/hilt/work, 174ebb3290f63955bd5d3e6748e4fab2}
androidx/savedstate: {androidx/savedstate, 4a6191b29c08e7a3341d3981f1ab7ab6}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f1eec91da00210fb810c04cbba312b0e}
com/caverock/androidsvg: {com/caverock/androidsvg, 04f1ed2ab3684a83f53b826a8da53023}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
androidx/compose/ui: {androidx/compose/ui, bf102d66af49adf0c86731b705ab4b3c}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
androidx/room: {androidx/room, ae03a542931c94508aa514c1d290d306}
androidx/sqlite/db: {androidx/sqlite/db, 4a2f09c0a2e0a0f18a1057576f1a4dad}
androidx/lifecycle: {androidx/lifecycle, 14729297dcd1c6e1d2eb4c112ec7693a}
androidx/navigation: {androidx/navigation, dbead7d351db9d2ef92e27d51aa18137}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 8863920b6fcfe6564b9533cdad0d8bd1}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, 20a69deb0c085094f3de46e373da4121}
coil/transition: {coil/transition, 964385e37f05f3d0e7c9585c2aba433f}
android/view: {android/view, e8d2bc513f3d23f259a9d7d777714e05}
androidx/core: {androidx/core, 6c3e5b810a12d503f3740f8ceaab1e0d}
androidx/collection: {androidx/collection, 252d162fa78e3c6c3b6764863650c16f}
android/service/quicksettings: {android/service/quicksettings, c4e9eeb25e17c46354752ac4239a9772}
androidx/transition: {androidx/transition, 1ad7675dbad4b73b55eea16e2f0c3fc7}
coil/request: {coil/request, 31eec000d8d41b85aa25b8b287783512}
com/airbnb/lottie: {com/airbnb/lottie, 0bc39c4e5ae3f20b733eccdb312677a0}
coil/intercept: {coil/intercept, 8ec32d01e6edbd636902dc910421e239}
androidx/hilt/navigation: {androidx/hilt/navigation, 0564f7aa0cdd7462bb9e77f26e35ddcf}
androidx/media: {androidx/media, ac3711c55e6e652d1d3e4fd6b563b3c7}
androidx/browser/customtabs: {androidx/browser/customtabs, 8fa8c207f41dd57fe2af2bdc8271832d}
androidx/constraintlayout/compose: {androidx/constraintlayout/compose, 2d17b7afe4add75dfa2ecf6496d06315}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/target: {coil/target, 0abb947e9913ee0cd95c7b7d4a7d75a1}
androidx/viewpager2: {androidx/viewpager2, 5540069d09d92c9efe5aff2b26066ec7}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
coil/network: {coil/network, c98f25f181ceef851a0c21234ee2b8b7}
android/support/customtabs: {android/support/customtabs, 1811bacd62cd78106130949fc9a55d9c}
