l/k: {l/k, e6f3a75b2fced57514fc1c36e51e9ec4}
o/i0: {o/i0, 7232682074bbbdb382351039164efa6c}
androidx/core/widget: {androidx/core/widget, 471a9d4e7effb7c6564c2a02c2157aa0}
g/y: {g/y, 2511762559a0381998b971d069fb9459}
l/f/a: {l/f/a, 3b809885e949b18eec60b6b01d378780}
g/a: {g/a, 83b9ce681b670cb236891ad8a8fadd77}
l/s/a: {l/s/a, 813ad3e1a38c4cea13af3093c4c070c1}
l/r: {l/r, 9b539a45d7cb2c5081af8e1e96afff2e}
kotlin/jvm/internal: {kotlin/jvm/internal, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/android: {com/google/android, 51989f16fd5c8a54b28b562a2ed0a9ba}
c/d/g: {[c/d/b, c/d/j, c/d/g, c/d/d, c/d/i, ], febe9b81bc06e3b794b1dcfb6670c9ea}
l/x: {l/x, d0682e13b1b3b28bc4a0151b96936e6d}
l/v/a: {l/v/a, 65cf6e974379f43c7016cab4f65d48f7}
androidx/activity: {androidx/activity, 7a02526c9f38ad59fc3d67e12e0e2cbd}
androidx/cardview/widget: {androidx/cardview/widget, b5f21a87cb7309c0b11eceb31434e008}
com/facebook/drawee: {com/facebook/drawee, 45d3ed91dba53752da69525215030133}
com/facebook/soloader: {com/facebook/soloader, 6c73a2040ad0f5ccb0346130288fd011}
l/l/a: {l/l/a, 4e2f8fdaa8dc2c56837403429e0cded4}
androidx/savedstate: {androidx/savedstate, bb431a59ebcff1158b14dc272a9e8846}
androidx/core/graphics: {androidx/core/graphics, 4c0c918ecaa139f60adbb41a4ad18a1d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 456ae390467d64bbc0cf6512a8ea7e0c}
g/v: {g/v, 583d135e21f429e414b83bc35c1c5e8b}
l/c/a: {l/c/a, f23d05151341e0f031706228050d01ba}
r: {r, 4efa4f99aadfdd388c68ed2feacc23e1}
g/a0: {g/a0, dbaf7615322b7ced3bcef68ac3d3526f}
l/o/a: {l/o/a, 16c0479d16705a6fba854c37984bbc6e}
c/d/f: {c/d/f, acf7ef943fdeb3cbfed8dd0d8f584731}
q/a/d: {q/a/d, 074c5780813214b5205ae7c455fd3999}
kotlin/reflect/jvm: {kotlin/reflect/jvm, d4cdae5706cf64615708175b18c84a8d}
l/b: {l/b, 111dd4b681d2f1ca03b0f852dc032d74}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, c60401db792a24b1561408555af61632}
androidx/room: {androidx/room, 235d56b9fab9178fb34c78849a6647c5}
c/d/e: {[c/d/e, c/d/d, ], ea2327ba01a703f69c528bc04f05486c}
androidx/lifecycle: {androidx/lifecycle, 2e9c5ab46251e0e67ba76204fbf9a550}
l/u: {l/u, 4ddc6833f599d5647410264b584c2b17}
g/w: {g/w, 9958f15f0931f0e31112a339cd436970}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
l/e: {l/e, 4282764654b8b96a165a6d711ddf2323}
l/j/a: {l/j/a, 8040c9657a4e5bb9f56eba33a86a9e53}
l/m: {l/m, 60ea5e0633dcb86148b89e95fe630b15}
l/n/a: {l/n/a, 0c72890c93f4218bab876051816fdab9}
com/facebook/imageutils: {com/facebook/imageutils, 542dd9699021b2a489ba6c7d8f6e4a23}
c/d/l: {c/d/l, 002523afcbacb0550fc452ad3014a689}
androidx/core/app: {androidx/core/app, 1acc6785a593b32cf6d1d729a79a231b}
androidx/fragment/app: {androidx/fragment/app, b7eade30eb95d2fec7b4e20b4ab397b1}
k/a/a: {k/a/a, de42fb8f7d817fc6f375591b379999af}
l/d: {l/d, 23ae09a305e137934b5a82c4d939b298}
l/i/a: {l/i/a, e1ac7da412c94356e0f558ac4c84c49a}
m: {m, e1018369bb738c557aefc9187a746a0a}
g/t: {g/t, b696b404ee43f88db8a1667d2092ceec}
org/koin/androidx: {org/koin/androidx, 3bc1dd2230dd100d3f51e2e148878434}
c/d/k: {c/d/k, d2b0327e145d0ed02676c19ec1e6a49a}
r/n0/a: {r/n0/a, 2aabd13d1a5ccd814556831ea94712dd}
androidx/appcompat/view: {androidx/appcompat/view, f92706ba256be78f220d17ec97e3098a}
androidx/appcompat/widget: {androidx/appcompat/widget, 1899a750b94f3bb20e3bd214c4c6800f}
com/garpr/android: {com/garpr/android, 026edc772b34c3c9bb33e36b1cb0e62f}
l/w: {l/w, 5e87eb5c7b2a96f42417419ba31b1a11}
c/a/a: {c/a/a, 7765a264fb0fe13872c85e94bddfc7d1}
c/b/a: {c/b/a, cb1138fd9a60aefb00c461ff4417b8a7}
l/g: {l/g, d046aa94f7d35497b47a7ee9a6577952}
l/t/a: {l/t/a, ff17ce682fdef85fd01efe3b10b68d88}
androidx/appcompat/app: {androidx/appcompat/app, 4d7859c516d0f954d1e614f595d8aff7}
g/u: {g/u, 864fd998c0cb3b17111f01bde32c11d0}
androidx/customview/view: {androidx/customview/view, c5b99848b78159b765013c57b13f550d}
o/i0/i: {[o/i0/i, o/i0/e, ], 6c112f7ee4144b8f7973528d67cdd0aa}
o: {o, 0d970d6575744fb499d217103c8195d6}
c/d/c: {c/d/c, acf7ef943fdeb3cbfed8dd0d8f584731}
l/f/b: {l/f/b, b72af70dfb988300bb314d23796208c0}
g/c0: {g/c0, 531b49dba931ec646e17082bb86d1e64}
g: {g, 2486a8a4f08e6259d42b2c1a35ea0241}
g/z: {g/z, 33960fc23dc8459a1fc479e4b6c2ea5e}
n/b: {n/b, 3d325a010eaafe0674859b0e90fadc2b}
com/facebook/imagepipeline: {com/facebook/imagepipeline, 24ff57f5c1b376b0cf8f22373c75c142}
l/q: {l/q, d7c8aa001d5fde347a7d81f5c81b569f}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 63c4429b5e1f406e7637be83f6288c8c}
p/a0: {p/a0, 6ae8837f52bb77d19bcc7f2ce0b54ced}
p: {p, 92baabdc8840abfd6114e481e3d61cc4}
kotlin: {kotlin, a6252804c8d358338fc2cc634961e404}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, e87f75c09955bcc1230881b6d8f2c27b}
c/f/a: {c/f/a, 3891ee3387b0b244766a7b5637865ead}
l/a: {l/a, 49f4594c5cf1ecdcddae871bc6d7be54}
r/m0/a: {r/m0/a, 668fb573622f0d41b9f7c3413d192bb1}
r/o0: {r/o0, 93ff435ebf3f682f913e940375b7ea20}
n/a/a: {n/a/a, 6fa4a63c40cf2749186a2d25bdd2bd24}
q/a/a: {[q/a/c, q/a/a, ], 2880a675ac7ed100cb33775934add37b}
androidx/viewpager2/widget: {androidx/viewpager2/widget, d092b9d26f1ee6ef449d3f9a3aa390ce}
com/crashlytics/android: {com/crashlytics/android, cf3abbdf5a7641ead35340b2e8c991af}
c/d/a: {c/d/a, ca729420ea6ce641c36b265c57c37251}
