androidx/appcompat: {androidx/appcompat, 79b2ab4c16b8e9c5b483cefd24498dea}
org/acra/config: {[org/acra/data, org/acra/config, ], 020eb29b524d7ba672d9d48bc72db455}
com/google/auto: {[com/google/auto, com/google/common, ], a46514a91158ce0715334b762724b94e}
api: {api, 97fd91349c38ecffbae996147bc54600}
api/miniflux: {api/miniflux, 484accb981281618942415886ba2090c}
androidx/room: {androidx/room, c713b8df5d00c03f6ff7f00cb87abfc7}
androidx/activity: {androidx/activity, 3b84b33cb175a0f22f74c3defa20096c}
androidx/profileinstaller: {androidx/profileinstaller, 29711999080c3b96d677cdc09ec5236b}
androidx/core: {androidx/core, 4e9dfc9138c4f96a59b36c3e6c193942}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/sqlite/db: {androidx/sqlite/db, 594a11eca3ad21b8f90fb0d19d345b17}
androidx/lifecycle: {androidx/lifecycle, e1ad4319c9b4f47013ec48f19ba3c77b}
androidx/fragment: {androidx/fragment, 6dd1612536f9658347396e69e57ee73a}
androidx/navigation: {androidx/navigation, 41b8c67e6d83ddb836d3c7e2224fd1aa}
androidx/loader: {androidx/loader, 0bbed9d29534ae7ed9da619fb1999cfd}
androidx/vectordrawable: {androidx/vectordrawable, 561b694ae0fc2efc2b5c7c67e297d0a2}
androidx/recyclerview: {androidx/recyclerview, c7024fad945f9b5a0c01a0b7fbe6409a}
com/google/android: {com/google/android, 97307d87cb87f282c593cb3f9b5c5800}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 26e9e5efe27fadca3cd3306f67273eb2}
co/appreactor/feedk: {co/appreactor/feedk, 5d0806528ffeadb9a0e0e8904fe12b04}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5b8223d0ab22bef2c937ba87fd8e8beb}
androidx/coordinatorlayout: {androidx/coordinatorlayout, db776d2c08a6b640621b9c06e709d645}
api/nextcloud: {api/nextcloud, d529647e023dccdfe5bf8f727d627c89}
androidx/collection: {androidx/collection, ba24c088e83ce2bf48f090e01cb42cf7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a0f53db5ada4f83be14a92a44d490e4e}
androidx/sqlite/util: {androidx/sqlite/util, 881a62a8e469cb155299546d8e78ce98}
androidx/transition: {androidx/transition, e620239c137c7e82576de0f7d6f4d35a}
org/koin/ksp: {[org/koin/core, org/koin/ksp, ], 020eb29b524d7ba672d9d48bc72db455}
co/appreactor/news: {co/appreactor/news, 5df57c14400f0aef37c41eafa49c9eb5}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 1d1c49cf31372fef3fc46852ea840712}
androidx/cardview: {androidx/cardview, fb0ea7010a6c30eac971283ae7f11e2c}
androidx/drawerlayout: {androidx/drawerlayout, 8dc0f4ab189b966381289a4ca10f9492}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 057b981256a08f3ebacd09cb619aa355}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 7398efa54f8feeae262e3c6f783eb783}
org/koin/android: {[org/koin/android, org/koin/core, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, 040193a9519436f1cfef24e90cd544f7}
app: {app, de7d3d75d3e5f44bcb97f7069e9d6a85}
api/standalone: {api/standalone, be12242ec3cffa5fa993d3d81fc8b48c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/browser: {androidx/browser, 198e1fe456e7133a64c13e83c5fb6b6f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, eda458fd674f6f8e84cc8876849fb261}
androidx/arch/core: {androidx/arch/core, 9c560a7a8c4f5945e7a01add6f0f4878}
android/support/customtabs: {android/support/customtabs, 5de5c52de1f36a114ad968f754c5a5f7}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/work: {androidx/work, 84a1e8338d5f44eda3f46705553e01fc}
androidx/viewpager2: {androidx/viewpager2, 08290db6c121afe695df1dc87789cf58}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, df7f7e33343aca6a61c5f37c5fe65126}
androidx/documentfile: {androidx/documentfile, 32568abfd09a23174463f1a7e324dc33}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
auth: {auth, dc161872d5dbff2a6087c81b255ef485}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f022e3e3046db3f847a95bb468c240b7}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
anim: {anim, a66ff5783321191d805fe45cc3ada06a}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 661c4221a286da7a668e5f66c7b7d2dd}
androidx/concurrent/futures: {androidx/concurrent/futures, 34e698bb6bc16b9a7d3febb66b08a8a4}
androidx/customview: {androidx/customview, 8ca1d0d946656e3c0a6bc64c1af410f0}
androidx/window: {androidx/window, 44422283181ab7392efa1133b11e248c}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, f0d7ab7b4fade115f47f4355bd247e34}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
