androidx/appcompat: {androidx/appcompat, bbdbc4ed8779e4d8d22c87b06137a70d}
io/reactivex/plugins: {[io/reactivex/plugins, io/reactivex/functions, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/room: {androidx/room, e7c47738cf194bd0c7d52d40e227b62c}
androidx/activity: {androidx/activity, 2a0c4b406fece4cdf6cbe3a96df92d9d}
androidx/core: {androidx/core, a21de4ad9883c17efa47e22bdb2e9b21}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, a36e47602b4e36da698ec896c099189f}
androidx/sqlite/db: {androidx/sqlite/db, d62ef61eb0f16cc0717a77f52478a978}
androidx/lifecycle: {androidx/lifecycle, 57eaecb733f855876902f73f025b4e4e}
androidx/fragment: {androidx/fragment, ebbb4ececdec76b02907810977aeeb0a}
com/davemorrissey/labs: {com/davemorrissey/labs, 18880a26fcef256c5250e8a598dee5c4}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, d52839969020df2d7f8e3b45349acb28}
androidx/text/emoji: {androidx/text/emoji, e45a86d452fc448c452ec56039186fe8}
com/google/android: {com/google/android, fc0efba7384bb615f83ecb02749ad445}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
com/mikepenz/iconics: {com/mikepenz/iconics, 91f3130af91a240e4d73773cd9a588a8}
androidx/versionedparcelable: {androidx/versionedparcelable, a952b343d690383f3ee60ba02fa68487}
androidx/emoji: {androidx/emoji, 8c90d2608c7cbfa73ff991ac5f292e09}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, 2f1cb2f271929f635a613e97a4110756}
androidx/coordinatorlayout: {androidx/coordinatorlayout, fdf902b662d6b2efb7df3045c244421b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71074c63be84dd02a9d3abea4ca3cf23}
androidx/collection: {androidx/collection, 6352c880c22a7f7c88f96cb67b36fd45}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
androidx/transition: {androidx/transition, a14738e1455b5d72dcb7e53a8eee8afe}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
com/google/gson: {com/google/gson, 0edbd72a7d3aa5e0eb892f62562f0aab}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 7c40dfa8067d9b63852d2318fb75077e}
androidx/exifinterface: {androidx/exifinterface, 633020008910e08828b7d4f7a91ae022}
com/github/piasy: {com/github/piasy, 3a1fda854062f51a74c5f53ab7f60abc}
androidx/paging: {androidx/paging, d8fadf98b424d207e096ed27caa7634d}
androidx/work: {androidx/work, 1b0fc9c6a3e919f7fc5627d55c7434c4}
at/connyduck/sparkbutton: {at/connyduck/sparkbutton, 834e7883ae0561d303fd841720d3b3f7}
androidx/browser: {androidx/browser, 4aad07117e16a33c302c5d5ea0c23fe6}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8fdbf550e875718352766c0b63e5e6e3}
com/keylesspalace/tusky: {com/keylesspalace/tusky, c62db659a0722a963e38c87a6c150632}
androidx/sharetarget: {androidx/sharetarget, 7c23b501f25c5ab88deb051e7d914ed1}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 0d20415b8f4cd0ce45958b64671cc2cc}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
com/bumptech/glide: {com/bumptech/glide, 18f5a5420bdf398acfc5a9bddbe181db}
android/support/customtabs: {android/support/customtabs, 648ad9b7a2f9a85c1f91496676eac65b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, bd448a92f0df47d4513c64eddc990459}
io/reactivex/rxkotlin: {[io/reactivex/rxkotlin, io/reactivex/disposables, io/reactivex/functions, ], ac9c542684f271e7215c00369bbb793e}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 877b07008f3f67b4aa5e8c65b768eea9}
androidx/recyclerview: {androidx/recyclerview, 6e0260e974242055d851385cd22435a0}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 5d8919b279d35f26737672b1ea0fbc41}
androidx/concurrent/futures: {androidx/concurrent/futures, 53b16705242f78a4b65eacc83187f3e4}
androidx/customview: {androidx/customview, 0f8c36d7857218ff5184d3ee7e029158}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
