androidx/appcompat: {androidx/appcompat, a6a8293194a85269f3b1db4d2efe393a}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 11818a050d86f6926e466ccaa04f134c}
androidx/activity: {androidx/activity, b59e4fac1bdf24ce527590b7a6fcbcde}
androidx/compose/foundation: {androidx/compose/foundation, 2d47e4e840f0b984dea59b60d1edf618}
androidx/compose/material3: {androidx/compose/material3, 5b9eb19618d02e1fe4a03282fb5fd9c4}
androidx/compose/animation: {androidx/compose/animation, 911d10365315fe6bc1ef82b7cf30b573}
androidx/autofill: {androidx/autofill, 725a706aea14f5e6d3752de8e475db35}
androidx/compose/runtime: {androidx/compose/runtime, 91ce02e5e49482fe3f9fa8b72452046b}
androidx/collection: {androidx/collection, 5ed797360a7940cc1e5a56758d33b4c3}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c2b013af36c676e018e044cbfda7ff84}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 59634760e3d53899413361e188d04db6}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/compose/material: {androidx/compose/material, 7e349868670541e3192e2c2817fda9fd}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
io/reactivex/internal: {[io/reactivex/internal, io/reactivex/disposables, io/reactivex/functions, ], e205cac6529a9cf5e202c30305be7817}
androidx/concurrent/futures: {androidx/concurrent/futures, 5298d5b2c7904ca1120e157481b2ef7f}
androidx/compose/ui: {androidx/compose/ui, 859e01b37bd146295d4b25c02dde8fbf}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
com/google/common: {com/google/common, 2f98f4fd60829d2567feda6a980af495}
