a6: {a6, db683822e736b3d6a59e073488c0b39c}
p2: {p2, a25c90c7e01fcb79a33fe1ffcc1b0c28}
t0: {t0, 6ef8ced41b5700a459d88bc1f87220c6}
j: {j, 9f32a72e992242d2b2623bac26b1390e}
c1: {c1, ce058d74c2fd788b88707fcc31ebe1a7}
q4: {q4, 5bd6d029fc1d0df7dae856b02c308c89}
androidx/activity: {androidx/activity, 3437d4426be4c1141d70e38d96c852c9}
x6: {x6, 4124887b1a6ea5329df76b5c33c69af9}
v4: {v4, 11ac1dc1142029485a514a18b15ddf65}
l1: {l1, 054ff0a2c450806ad7114027dcfcbb3e}
androidx/preference: {androidx/preference, 07a9ae71ba72ed12f46fdc67da38e47b}
i4: {i4, 78d4e3972b3de1d44fe854bed1d6ce8d}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
g6: {g6, 3f8190e02a284c44eec15b20ec1a4bf3}
o0: {o0, 3f8c9a124162aa1e6f73979409c4d933}
b5: {b5, de0edd6f400f47a49da216b8f49c3c5c}
com/google/android: {com/google/android, d8b27fe7b7af0c101f443fd1107404e5}
v2: {v2, ff2c499dd8e47f16f18d6eb13fe33bf5}
z1: {z1, dececb7a6e5e8f82c9c0634155537d08}
m6: {m6, 5b7aea7c9125397f1e96862482d43d57}
t2: {t2, 413bc4a31a0c219a7d81447160d03b3d}
w0: {w0, 8f37eb77375c1fb09f55fb56306e0bfa}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, d83d0c36b7a3679152b7355f2dea66bd}
r1: {r1, 2e11c53604ed3a8c9c8c945b981a49e2}
e6: {e6, f30edb60f8ced2dab759eac1b492e3d1}
j5: {j5, 118cef8596a084c92bbe543a3cfbd55d}
androidx/appcompat/widget: {androidx/appcompat/widget, 54e3170976f8d79d7cd0a000c0ca1c57}
y: {y, 6de73fe9209905773c188cbf42e02e11}
b: {b, 08a5f7c7f508e6c4d5a24cb1af0aa540}
k1: {k1, 441ed24e91e19c14a484a25382b5b19b}
k: {k, 5a80cb3c8bae4213f415922a447d6ce1}
g1: {g1, 141e3704de31c79b6e711791c25a0b32}
c0: {c0, aaa5989613781459b4e01d251fe2f284}
a5: {a5, 5f0f38ef7a742423b28f1df48884c1e4}
p3: {p3, 67ac13685ba834f0ccc286319e67b217}
e5: {e5, 8127cb6977059ed0d7b0cef11cbec434}
b2: {b2, bd1fb78cad6b4a502b62ed716290cec6}
q3: {q3, f14ccd3d3374d1fa9021873a6401756e}
d6: {d6, 9814a100e884dc74487fbc7a5b8ea42f}
i3: {i3, 6ce7328c8c404cb73ab09eb478b0973e}
androidx/core/graphics: {androidx/core/graphics, 01dedd60ceebc61887a40384fb27ba73}
o3: {o3, c413cdcd7f32271103346e70cdca35b8}
net/dinglisch/android: {net/dinglisch/android, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/savedstate: {androidx/savedstate, e352ed1fd1f0f170665f3b72d733859c}
m5: {m5, 3848776f666227f84af2b803c2639a1a}
t3: {t3, 27966fb47b6351698fd1220711128aed}
j2: {j2, e5fffd77f61f9b6e29d3eafe5f0cfbfb}
v3: {v3, b231945da6a864f899548001e04860be}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9ca16b03479d4044a6aec6d4dda8c202}
h2: {h2, 5d11b3b48a9e098b4f75160b5f59df25}
n5: {n5, 20f689b00ad34c945c1f7d6b89f93a5e}
u3: {u3, 714cfbcf8929da864f999311d13eb454}
r: {r, 4d7a2f26697038fff0330d08c953be69}
z6: {z6, 6ca6e5a51e7caa748246878956a1cab9}
f5: {f5, 23028c0969cd7a5b02f3e38f410ef126}
androidx/appcompat/view: {androidx/appcompat/view, 8412321f7b8c0a4b0505185a7060eb9e}
w3: {w3, 59909ba4e43dd2477778cf8bf33c3091}
z: {z, 22ce7c895f910b2cb67593d950bc70d4}
r6: {r6, 18e0afe8f53449a2ab20979bfdf7748d}
s4: {s4, 4387878371de3c54e5b69b8870668fba}
c: {c, bb03baec0d5878be8a9d2f4dd63e92a9}
k0: {k0, b53fd354af6156d29fc0646fe84013de}
g0: {g0, 01fb4528aac03e670f13047d9670bb72}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 39256a68c9d8298ae6e6a03865b313a1}
x0: {x0, f0edf62dce10e7935aeda087b02c9195}
b3: {b3, 1b48a70b70d466506e7a6a7e53a5b7ab}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, d91f3f50980d14a4fba99d41128a1b93}
q2: {q2, 6e74cf6251edb5833cafb52698831882}
e4: {e4, 5d836e1f254f2969c53a18548c7ad249}
androidx/core/widget: {androidx/core/widget, 45f3ad5d795c903f2d7bc4e231924512}
o2: {o2, da8f9a77346d11c323be35e64265e714}
m3: {m3, a8bec4d679d24304ca236bfe5a6b5786}
i2: {i2, 19bb146b25a2a01f3200a5efaaca526a}
androidx/lifecycle: {androidx/lifecycle, f2ea55361c19e1ce8916c54ebc208eda}
c3: {c3, e49bf22a60f62b6e98f451fab11da7d7}
a4: {a4, bb2b3935df1c4df87b26b024d31aea40}
g2: {g2, 84ad01a635daa6b70992cfa0060c4bd9}
j3: {j3, af764a1a547c16cca6339e28aa198c61}
retrofit2/converter/moshi: {retrofit2/converter/moshi, ea5cdc4a5b6194f8fc9422cef517637b}
m4: {m4, 4837180879e88cb0f07791c2b1b7bb7b}
t4: {t4, a787872f169bcd54333ee52325ea0a56}
u2: {u2, 6b6e5bcb5f9e78f323910dc596945da4}
s: {s, 84902dd21228f8a2876537b08dea3373}
d: {d, 065c0e7614378c3caccf6bc21372c24a}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, c280c4ddd23c128ecbb9f6778e31432a}
n2: {n2, 3a082aacd9ca41b3d5cbf4da358d3154}
k3: {k3, ea5fda17d4d0ce1a601f30b508b92e69}
p4: {p4, 1dc8fd9371477c960a2aa7ff200c8a00}
l: {l, 21b588a2d2521255865c1fa50f962b84}
y0: {y0, 963fa9e77f11f111af3a8700e7ace190}
f2: {f2, 473baebed661d3417a70d2e2fd378f23}
v0: {v0, 7107bd4aeb977586e1bfa287ecab0b6e}
d2: {d2, 88ec86593a5c6877cb4e29952a58a2b0}
x1: {x1, dd9cf1ada311f2352f5172303123c376}
g3: {g3, b92db45e2e4b6653aadf14a4fe2e46f4}
r4: {r4, fb43e2cc22861e91e4bca0fb529f532a}
b0: {b0, 39cf5a3d519717e8c9a5f0f3886b7a7d}
y5: {y5, 23eb4bce8111926e8a5a92fc10734f10}
m2: {m2, 0c45652a30450ed3df571307f116db80}
d1: {d1, dcdb1a58c22d5fe1f3ed3404fbead3d5}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
o5: {o5, 1d75c8000177fedfaaf0bdc08619dc82}
h5: {h5, 3db60d97d05f29bce5c380349b85367f}
w5: {w5, 99b544e47aaaf43c9961ed951478e8b5}
c2: {c2, 47b2f3e6461792c9607a1bc52856e77f}
a3: {a3, 7a5815f03f5dcfb7bbf47af6a5dc1c04}
z4: {z4, fb164cef02051dbe53eca9b7d605b3c7}
androidx/fragment/app: {androidx/fragment/app, 95112fcd092c33c57394835eb89b089b}
t5: {t5, e381f6991873210ea6cc1b6be99b5314}
j0: {j0, 39081e5a0b9305fa5c0b3d6e7ddaa966}
l3: {l3, 4b909ee972f87ea733f9190fdcdae4a5}
n3: {n3, e7318847877018b554cfb580791c2ef1}
u1: {u1, 1670394977cf057996af650ed8515f02}
e: {e, 8adf21f9f466e70e4316ec8287c2be64}
p5: {p5, d6622dc583c0aeb69a1fdf431ad884bd}
d3: {d3, 8851a65325d61d19d488b7d7502da584}
l0: {l0, 6b7f27da460bfdfee6e9341af001b11a}
f3: {f3, 28e9f570c4c8df69ae6f3fc8d330473a}
