androidx/appcompat: {androidx/appcompat, deeaeadaa087785fd848a72a7b17d30b}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/internal: {kotlin/internal, df2031c6f8ee72a9cd703f1d3cb17969}
androidx/activity: {androidx/activity, f592baf088f34610b72c268ffb56a828}
kotlin/sequences: {kotlin/sequences, e1be10a8d245d9f944e26df80c2ef540}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
timber/log: {timber/log, d10b1174ac4d5254fc89a759c863d375}
androidx/vectordrawable: {androidx/vectordrawable, cdcba2523e329ce38f427cd4d0f3ffce}
kotlin/math: {kotlin/math, 603d70413aeba34eac618d7d763b8009}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 647b11ca9522d12514bcdf9e7dab0835}
kotlin/random: {kotlin/random, 85a35a8fd112aeca61eda6b6226c227d}
dagger: {dagger, 20ed3e5962a12e6527a5e4847d4caad2}
org/jetbrains/annotations: {org/jetbrains/annotations, be9e3a3102a00b0949ad46bd406aa5bf}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, e476e81f7422354db4a2ff7e346cfc37}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ed32d2822794f742aceb1ca05106b168}
kotlinx/coroutines: {kotlinx/coroutines, 66e4f72c54727029e12c829ea145580e}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
androidx/databinding: {androidx/databinding, f2005918e4c39bf39077eb36113eec22}
androidx/room: {androidx/room, 28ab69d88712304eee82452a63e07683}
androidx/sqlite/db: {androidx/sqlite/db, 68efa6772dff081abfbb29d56b231154}
androidx/lifecycle: {androidx/lifecycle, f9242041ee2295f1a0a6bf3513023491}
androidx/navigation: {androidx/navigation, 5e3267b09e09ca59e22dbc63ac978b24}
kotlin/reflect: {kotlin/reflect, c69bb28c497a6b0dd0aae7ad163e47d3}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
okhttp3: {okhttp3, ee4eafcd0a50a0e077b1b37947bd25eb}
androidx/core: {androidx/core, 76583fa9ce164374088fced51ff4b2ae}
androidx/collection: {androidx/collection, efdee41edb92d90ce592cf9bff8e5f50}
androidx/transition: {androidx/transition, a6102ec1f0e6bed16679e30dccb5670a}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 3e6e959e4ff167e7fa92d186789e9fee}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
com/google/android: {com/google/android, 5f4a08b406a6a6c78108ceac35ff37ba}
kotlin/jdk7: {kotlin/jdk7, b6d7522126e7bebe2607a343d967bb6c}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
hu/akarnokd/kotlin: {hu/akarnokd/kotlin, cf699a0a6ffd57bb97bfc3e3e5ceeeef}
com/squareup/leakcanary: {com/squareup/leakcanary, b9c9b7baa7cda2b4faa02cca1c8dae69}
androidx/recyclerview: {androidx/recyclerview, c98d48ef80855f4d8e408f357f136b9b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
com/squareup/picasso: {com/squareup/picasso, d8a736c025faa0e552c7ba997d30a19c}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
kotlin/jvm: {kotlin/jvm, 01b3b3e7f4135836b45fe13b8bf214c0}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 91b4758e710705da079349a3ab151b57}
kotlin/io: {kotlin/io, d67750b91a4b8a2b3970bc54b2105df3}
com/wdullaer/materialdatetimepicker: {com/wdullaer/materialdatetimepicker, c6d05caec0c3fe8a844e3b370e412fe7}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71074c63be84dd02a9d3abea4ca3cf23}
dagger/android: {dagger/android, e19a139a232f3f39d88e1c25dfd35aac}
dagger/internal: {dagger/internal, 8f8b15bd50a7682d53b3b04ea0a55912}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
com/app/missednotificationsreminder: {com/app/missednotificationsreminder, 1d84ea79b47338c1cce824418c7488a7}
androidx/drawerlayout: {androidx/drawerlayout, 44a7ebcdc3d2aa3efdd2bdc3452407d5}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/exifinterface: {androidx/exifinterface, 407941a2e99ef8db1090ed27b950dbd5}
com/squareup/moshi: {com/squareup/moshi, 11932d29a3527a2e06e92b1f427283fa}
com/tfcporciuncula/flow: {com/tfcporciuncula/flow, 8001e18f16039dfd10dd2b8df243f74a}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, 6cf0597105a3243296f2642d40748732}
okhttp3/internal: {okhttp3/internal, 85f7084ce430745ea4b80fdd64e88f67}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
com/jakewharton/u2020: {com/jakewharton/u2020, c66f7974fa9d322c40e94c81d8b95daf}
kotlin/collections: {kotlin/collections, f034dc636a31f2c9ece453ec9cead78e}
androidx/fragment: {androidx/fragment, a980fb98e38e6202312a209826ff9d40}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin: {kotlin, 757155cae31cfbfc1650bc919fa9b951}
kotlin/coroutines: {kotlin/coroutines, 771e0f49e3f66303574c4ad6540f3622}
kotlin/concurrent: {kotlin/concurrent, 42be1e0006526faee615dbc4e5d8f5ba}
kotlin/comparisons: {kotlin/comparisons, 8948db891972d3c404a8c8d9b528ef21}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/work: {androidx/work, 24653ec96a5f22ec1e5609e2a905d8d8}
kotlin/text: {kotlin/text, 904d3d3d3c4c7bea769981693a279816}
kotlin/time: {kotlin/time, e5c0fe62ef8d496d232169d47be57ab4}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
