p2: {p2, 454f3c7a00343232e19ad59dc9450e50}
androidx/core/widget: {androidx/core/widget, f976ef1d9eff3c541705d685f1d040b6}
j: {j, fcfc37fab6af6bc3c3e32a6bfd2c1ca4}
c1: {c1, 229153ec9567e57023689ff2ea1c174c}
q4: {q4, b19ba8d52f023c619b13c5e8a1a8d927}
androidx/activity: {androidx/activity, d1dfac888326fdb2d53944c0c27add43}
l1: {l1, 190f90b57f31e3447b856fbd1f7147f1}
i4: {i4, 93a4d4e248eadb375f65ba752a0cd4bf}
o0: {o0, 77d65ee09b3cc6365e19db973c931fb8}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, e9ab4fa7801c4eb953b45fa28866abdc}
y0: {y0, 377a267ea6db61f3ef50ba9544a57ddb}
com/google/android: {com/google/android, df8c9170a4d693c3ecc588928df6d7e7}
v2: {v2, a88adff13e8d321138321a908309a92b}
z1: {z1, 1d61c67baeb406aafda73652d00a0d9e}
t2: {t2, 5a79e3ffa055f51d8e49460fc76ddee0}
w0: {w0, 4b062a590eda6d11ee4d1bc95df83f01}
r1: {r1, b1664fe8de2e0fbfe873fa633ab26f97}
androidx/transition: {androidx/transition, 53538a6f36ad00ca1069216c40b20873}
d0: {d0, 4be23b18c9ecb8a554f97d5550e39b79}
f4: {f4, fa0bf4b40052b155c3d92f8131bb8a89}
b: {b, f9af01b4a75d9899d7313b9e92442e6b}
k: {k, 28210625c4436efb1ce0255c1ef8ee97}
g1: {g1, 152dc2592f1514ef9572031241ee1316}
c0: {c0, 2afbc1457ddbed96a441201f228ae6ae}
p3: {p3, e6c2ff3b6a6bfc7fdf4d2934e9e0a8b6}
b2: {b2, 01227008de82552cf4a756bd091a91e3}
q3: {q3, 04aa6f9e38858c35e608d67b72e94d05}
androidx/cardview/widget: {androidx/cardview/widget, 3cf7c0d63386f41bc7ae73f1bb7007a7}
l2: {l2, 34e9fc8ccac7649719e0099cb70843f6}
i3: {i3, 6846179960af05c8292c06168282bc78}
androidx/core/graphics: {androidx/core/graphics, 4bcffb422952ae992d8efcfa05b380f5}
o3: {o3, 0f28124c1e888588e9699dbff8579bcc}
androidx/savedstate: {androidx/savedstate, 955f997b6249efa100a02601180bfdc9}
t3: {t3, c7ed57ed563c73e6c614593bdcdf6e7c}
j2: {j2, c66d16fd37eba38ae16ab4cec50d44a7}
v3: {v3, 5627180ba2b25aa7460276991013d397}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0fee7cc9af4700841dc80e195eb07d47}
h2: {h2, af0477216b1c0cd9171b0e1de38772d1}
u3: {u3, c9d2cb19f32495dc1ce83e890dcbd401}
r: {r, 3c42a59fa6cd3e73d57fb772200dcaf9}
androidx/startup: {androidx/startup, 6b9ee23e552874ec4d0b5b9cb3c9851a}
androidx/appcompat/view: {androidx/appcompat/view, d6a884e0088ce23f2c8b96ebb75ba0e6}
w3: {w3, 7019868099b57f5db7e06c674addf10c}
z: {z, 11bca0368a2b9e92ef0a0d4c29152159}
s4: {s4, e63daa7929255a1eeb40ad42ede298ff}
c: {c, e0ff8b1f0ab40cb0e3f61d25b4da1f9f}
k0: {k0, 606ce8ca5a5a37201ec692e4cf05167b}
g0: {g0, b6baf025516d0e872038299158d00f80}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 7c9c6e65cd37cb788ed06bab45b9faee}
b3: {b3, 9bf5189202db5135dd1a9e5d9f5a7f2b}
androidx/room: {androidx/room, f275f4add2a21fae12e1d4af06dee68b}
w2: {w2, 0f14345e6dca1537a9c6a1aa57308893}
q2: {q2, 375adfa898cbcfa83af3f31cab575b28}
e4: {e4, 1a5c78124afd32985d1c5eb22960cfa7}
o2: {o2, 1ed67cfa68b3477b88a94c64eb588322}
m3: {m3, e6d076533507d6e805535e445b02905e}
i2: {i2, bb89a44a029da3762d07ee8a4f9fbf6f}
androidx/lifecycle: {androidx/lifecycle, b046875128ecd77bf2533c49c86659b4}
c3: {c3, bad301d9acc27a8d1da66d5b5efc143e}
a4: {a4, 312882f9eba79dece191e3dbe0374fc0}
h4: {h4, 3061da48aec4695e3df2e3896db8b78b}
t: {t, 218bbc787df893b4bf5175c3b78c8698}
g2: {g2, 6b9cef2a1b5e6a9293af4a34e0c6a558}
androidx/media: {androidx/media, b17a468042fd3004e5c6e034f4b2bbc1}
j3: {j3, acf7ef943fdeb3cbfed8dd0d8f584731}
com/appmindlab/nano: {com/appmindlab/nano, 8dacde8780ee60449ea63da43aaed980}
m4: {m4, 4ce963923f1ec53f109692844983e31f}
t4: {t4, bf27bd358dcf82610dddc7c01c4fbb17}
u2: {u2, e658ee6bfd876f4beac4740c7c9414a5}
s: {s, 8eb544ae012eac5b5311100e2b6dbbe6}
d: {d, 83d148598280b1bd460bac9811a2586f}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 82e08c71c26304f571614e88ec687e60}
h3: {h3, 9008555acdf8d5a3466dad8fd335f77e}
n2: {n2, 8f2ef1e1369be791156089782402d392}
k3: {k3, 083a405e2de859a5a5795dad269ed815}
p4: {p4, 20024f94c8d211e129c0808fbb5b42a9}
l: {l, fd58159ab688fed63d57dd46d8909618}
f2: {f2, 5fe3a00ba6d206c860b9d8588ce019af}
v0: {v0, 2ad0197acc7daf14659e3b65086d7fa5}
d2: {d2, b4c63ab88c996fa075b1493d31068d3c}
q1: {q1, e965cfe86957c303b5376f24b61c20e0}
x1: {x1, 47b7129938653b1e8be51e544f3f6d81}
g3: {g3, c301773c907e9a69c991aa010c2bc920}
androidx/viewpager/widget: {androidx/viewpager/widget, 46f8388937ad92cf8a89a3930c409699}
r4: {r4, 6cfa3e684c6f802032eed385ca9f07ce}
b0: {b0, 79d40a6b7f4fd51435e40c333449a6bf}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 284f65a0fea8495fe3ebdede056f9f97}
m2: {m2, e56f5d78007e5739ec0e7f6acbd4feba}
d1: {d1, df4601853d4e5c6cbbba04b958ceb73f}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
c2: {c2, c54e4b2b7a164c56a4d6a617bdde71ce}
a3: {a3, 765e7a0b5432c9c0236fe41e21499d64}
androidx/core/app: {androidx/core/app, 054482145fdfc69468ef9712a5cc397b}
androidx/fragment/app: {androidx/fragment/app, cbd898154aece2b4eb7836551c7c9c99}
j0: {j0, 054a50a3a787c1e177b11c7ded8b272e}
l3: {l3, 4f0aaa92ff8acad86e9ad323238a4eaf}
n3: {n3, a616bae69a03d065f089458b0f7df465}
u1: {u1, 9c76a23e6482b78e0228804bad85abe3}
e: {e, 561bfa930b5772ce8bff258f5957beb6}
d3: {d3, 37a96d3395b0eca54193469f8177464e}
l0: {l0, 417e30e7bcd58624fb1ec202caf4fb44}
f3: {f3, a211bd6c8f86dfd5629124ae7320758f}
k2: {k2, da7c781ec31a4f1b6992cfffb816c1a0}
m: {m, c8c0cc89dadf879e705d7b296d381c06}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 3721b6722f32af7bdb0ef516eecf6398}
e3: {e3, 0ff3ece855bf3a7fed3ef69626b5c435}
v1: {v1, 19060cbcbaeff5c7ecfa95a5132b4713}
b1: {b1, 3188fdba44a1f0dab3a5851163b51206}
q0: {q0, 1981e9d94b1fcd0253814692bab044cd}
f0: {f0, 035138730c28dff686d429726d708a3b}
z2: {z2, 4e9278eafd53c08a2dd07cf34abafbff}
o4: {o4, 8e2b6cb7e7090a9bcc01e193e4108448}
