a/s/a: {a/s/a, 605e29dd24d3a6cf3cf5fb97a0230d48}
androidx/core/widget: {androidx/core/widget, b6bbed7653f5a6ec41b8c419ec4ac59f}
i/b: {i/b, 481b3c85907117812e8d0089c86432a7}
e/a: {e/a, 09968157a9667106c21be48e7cf6302b}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 192364cbddb00c773734ab3d85c88663}
a/o: {a/o, ebc4d36c7460881ff21033d1eda63a05}
h: {h, d763392864a78018e4ec6157de9f81bf}
a/k/a: {a/k/a, bbfa46fea098eafe8a0c8bdc0b50e2c5}
androidx/core/app: {androidx/core/app, 07abc887ffda453b107de75eb2bf1db7}
b/h/a: {b/h/a, d5f74d70c371dad2a4627bcb7de195cb}
f/h: {f/h, 6bff0c1c768f7686b7a355e4c63973c6}
androidx/appcompat/widget: {androidx/appcompat/widget, 3acc2ba30973f760af69bc44f47bb56a}
androidx/lifecycle: {androidx/lifecycle, c55bb31ee22cd2ef13d1164f93d5691f}
b/e/a: {b/e/a, e5d15f03671a3de96022f3349ad0a5ce}
f/j: {f/j, 4c75ffc551ef2be9c13963d1be4d5ed7}
androidx/appcompat/view: {androidx/appcompat/view, 6c5471b8d2c1965574a07da30eadf703}
a/q: {a/q, 95da30fbcf1c19f005e5c7531784b9f0}
com/bernaferrari/changedetection: {com/bernaferrari/changedetection, 9ded7d402b3a2f5e67135021f4d66b91}
a/u/a: {a/u/a, b50bbd4505aa926431e8c186995e29d3}
f/k: {f/k, 735508dc542ce347c1d5394f80ab32e7}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, a1badc0057cffc600cf82d5c9bc12688}
com/mikepenz/community_material_typeface_library: {com/mikepenz/community_material_typeface_library, 9110200028aba3fdfdc2ee48559e729a}
f/c: {f/c, 2043911bc6dc5117b5d6e1bac832923c}
a/c: {a/c, 6c544e526ef2c659c02e3f38f8592101}
f/a: {f/a, 72f07d45c6bef78b1adc37490c2ccd0b}
a/m/a: {[a/m/a, a/m/b, ], 4802b4591a3a2f42bc168b22ce84f259}
androidx/versionedparcelable: {androidx/versionedparcelable, d9ccac36d63fa0008b07184211457ab2}
a/a: {a/a, 4f50ff7b836b812edb56247a271ae808}
f: {f, 871ff26833f902ffc24b502f79f87b72}
i/c/a: {i/c/a, f5952dba9d8fea60c8e098189c1cdf2b}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, e01a75330da9cb02edc65db0da194a83}
f/e: {f/e, e234e5a4d581ecf3c429b5b5996fd863}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, f23b954b4ef291c37fafcfa6feee3aa3}
com/facebook/stetho: {com/facebook/stetho, adcdab4f0d6f88065adc05145efd1969}
b/j/a: {b/j/a, fe621d9d66262cdf68e96f95117796e8}
b/f/a: {b/f/a, 7c23d1b5d2c25be8074f0453cfc3c81b}
androidx/appcompat/app: {androidx/appcompat/app, bb73eb304815bffcf416dd1509c22df1}
androidx/core/content: {androidx/core/content, 8d0d27a0bb9a2de3a569124b1cccc2d4}
a/i/a: {a/i/a, 61df18e69c205af35225e98446b1db60}
f/g: {f/g, 189fca545849d5066ad4ec0f4c18bb07}
a/g: {a/g, fc31c821cb74b82c51ac23268a04a019}
a/n: {a/n, 6b5c0724f0274059f233db5ab6103e78}
b/d/a: {b/d/a, 3d03f904447f5211e3608d023daf81ac}
b/b/a: {b/b/a, d7f3d8d738e8a344293df79137a353dd}
