androidx/appcompat: {androidx/appcompat, f12002af062604c996f1221fa07b9a1d}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin: {kotlin, 366007c0f74ee1bdf0ebad7fade0fe74}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/room: {androidx/room, 4e5037adde250213eff14d29495eb101}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 24714f0692a73c4125ea7af8544c2bf7}
androidx/profileinstaller: {androidx/profileinstaller, 56e264b0aacfe9d185fa2dd0f1d30eba}
androidx/core: {androidx/core, f0b5e0b064ab556e94bd2b8d67cd7009}
androidx/datastore: {androidx/datastore, a76f05ccefba0433454ed882325331c7}
androidx/preference: {androidx/preference, 422956b24e76a49529849dddfb9ea2bb}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, d4d23798437ae2e028fc6f97e5415fe4}
androidx/fragment: {androidx/fragment, f77a9573cfa2024ed8aaf0bda81d6fb6}
androidx/navigation: {androidx/navigation, e201ef8b60f15062307cfbbdc1ad8d9b}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/recyclerview: {androidx/recyclerview, a54b36fc82efb7686e58c011eeef5ec7}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
com/google/android: {com/google/android, 78ea73cea8172fae9fecf1f5181e40c4}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
dagger/hilt: {dagger/hilt, 8af0483d36ead6d26881ed1cfb3f193c}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
hilt_aggregated_deps: {hilt_aggregated_deps, a0a513eaba63f6d566efcc57b319c998}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5163508e56521830a4454d24092b6de0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
com/intuit/sdp: {com/intuit/sdp, 80cd591df68cbe406398a358153b3928}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
javax/annotation: {javax/annotation, c4e8d7026c1dadaa234254b09ba07263}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
com/intuit/ssp: {com/intuit/ssp, 80cd591df68cbe406398a358153b3928}
dagger: {dagger, 7c2ef847ba523e1c59cc2c317906ac82}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/rd: {com/rd, d606fde32b6491e1c0a9f492b1f60f36}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 4158ac18e11f508d6a4e687a4cf087dc}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, fcab8e1b19f0fbe0d20ffeaa21630a1e}
androidx/work: {androidx/work, ba5b2ba4d16d354ccab5362a9af498a6}
dagger/internal: {dagger/internal, b7d7fe6ced0de4d29035502aa873956c}
androidx/legacy/app: {androidx/legacy/app, 0ce703508e0e2ea7f9a977858f898a97}
com/arsvechkarev/timerx: {com/arsvechkarev/timerx, 0db390eeeb150a4b7e83ec8056f6ee13}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a22b0d1d9c5868b05d3511cb6d43735a}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
