a6: {a6, 3911f5c7874b992175e6b2d348a8ca8e}
p2: {p2, 41d20ea4cf15287ddb67381b3954d1a3}
d8: {d8, 3c12fc6b8f55fab0318e6b22ba73f244}
j: {j, 39c0c1780dfddbaeaeab0a8b9a2a1495}
c1: {c1, c320dc51c05ca9da27d082f4814b903b}
d: {d, 56f7648353588a2816133cf6176a50c0}
q4: {q4, d7af484b44bad0d0f3f09706aee1fc92}
androidx/activity: {androidx/activity, f8730fe30f2af37687b50f78964c0d3e}
x6: {x6, 3df77287103d3d10f66d4082c624fa41}
androidx/preference: {androidx/preference, b37f8d149c3389470bbe33a30ce5cea7}
i4: {i4, 3d0f784b98eae061a633297a39ac5808}
androidx/core/widget: {androidx/core/widget, 12b8481a7a38c7863ee11918f6c3af45}
k8: {k8, 467fa85fd57d06c642d304e22828a2f3}
g6: {g6, 6210cd74e6f30a0871a7282a91873988}
o0: {o0, 301e73eb6e587c734fa47f950d7efa67}
b5: {b5, c5f45aeb53994ee022988c56b415c3b3}
com/google/android: {com/google/android, 0eefe5fdcdebc2c593d7f1ff24dff456}
v2: {v2, aa1e7023fb3645089064fc3a63a8b916}
z1: {z1, 4a1ff8af00d4d583f4618e016fbf36e8}
m6: {m6, 3f6a258fa8b23565bf4a98df47e86b89}
w0: {w0, 4912ab588674f6c8b73f778996a6d5b4}
r1: {r1, 9b0fa70508febc3bb4834c0a73bb3b2c}
net/sqlcipher: {net/sqlcipher, d06a596e108afe3a41a0ae4f77e4515a}
e6: {e6, bfdbe5f2021576848de3580bef13d6be}
x: {x, 00fedc4718980d59abedaf178fe3bda3}
kotlinx/coroutines/flow: {kotlinx/coroutines/flow, 0e6578b76e90cdd86a8545232b7b92be}
l: {l, 734409e376a7dccda7b6d304e3f21f2e}
androidx/appcompat/widget: {androidx/appcompat/widget, 74d03e72ee6c6f4679c293fb7b7474f3}
y: {y, eaa740397b604c547659b5d807628c9e}
f4: {f4, 1e34dd5648b9db20b551ef1557b10103}
b: {b, da7febfe1305cdedf91fe6c70399a86a}
k1: {k1, ee5f7e03132e26a12b4bbd69439ad20d}
k: {k, 122e09a4c1a25da5cd798fd4385ad42c}
x7: {x7, de3d9c0761bf57d49f309adc4324e054}
g1: {g1, 35ea364b9f7b6988661aa35021c16bb0}
c0: {c0, 80804f5682877622ccae9978ccf4e411}
a5: {a5, 89cddb48db8d6189dcb1a88f02053454}
p3: {p3, 15bf300fd56219fa3c0ffa9491c5aa28}
e5: {e5, c7b760e5fd88d0324d2d5d7189906b98}
y7: {y7, 85e82c7364811c5d6f9fbaa87960fc52}
q3: {q3, a36f5c633aeb189293883636de1e35d1}
d6: {d6, 5973da6155d60661460e1f6de6780fc3}
androidx/cardview/widget: {androidx/cardview/widget, d8234c4250fd3c7b6844d100762b5ddc}
l2: {l2, a57e9b5286945e076efd185004fcd14d}
i3: {i3, 50bad30227f1d0d93c2b306a3f77ed3d}
androidx/core/graphics: {androidx/core/graphics, f706740aab3164a0bffce3ae55e7d3bf}
o3: {o3, d5b287cd498313629f30ff23a552ba19}
o8: {o8, bb91fbb55c95eeea65d7a23955f3db16}
m5: {m5, 8d19d84d370032d8fd7c8b22acf9484c}
t3: {t3, 070d4b04f7b2f76a33190057a0da7c16}
j2: {j2, 2d98fb2421428226be3eb3a0e7a6f9e4}
v3: {v3, 7efd69c990893ecf482a2aaff489bcca}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4c980ddd6dba6b5684907b8bd202a6f8}
h2: {h2, 45026d3896b28d1045cad0938099b371}
n5: {n5, 0b49d8780288205918bfca2fb80d0517}
u3: {u3, 4f9422ddd5f8e95ba5800761727a41ba}
r: {r, fc0358756d0484a7302312bb12238a51}
d2: {d2, b55c5e71075bc48d1a0c29d8ac19cf45}
f5: {f5, 7bb19efd6f28d8577414ce5ef9512b9b}
androidx/appcompat/view: {androidx/appcompat/view, f3634584840ef4ab96d50dd927fe2166}
androidx/navigation/fragment: {androidx/navigation/fragment, 6773d481545b381913bb29cfcebc229e}
w3: {w3, 2b78d9b793a0f54718389857c8d710ff}
z: {z, 37287228fb5f8e114e91e1b4d500196a}
r6: {r6, 9166060e7aa2bd7c2ac64b917692c7a3}
d1: {d1, 6d3c8dbce709e1fd28bbe4d890f97b98}
c: {c, 286c8ec63c6a25f627c0117e892ed7c3}
k0: {k0, c131037d02c5e7b714c9bfe9bc530bc4}
dagger/hilt/android: {dagger/hilt/android, cb16962e4099aa856a5f0cca42ded4bc}
g0: {g0, 09db38983b52d6d87bd3c40c29480b08}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, c3e91678e27c490c963616eec96af848}
b3: {b3, 1d75c67e71d8e7eb22d462a79a4ec934}
androidx/room: {androidx/room, 0dacd8d449ada4c37aa7ed553e3356ff}
w2: {w2, 0dffe055bdf616030f396dc8a6534878}
q2: {q2, 49800c36e15975a871f787451d941938}
e4: {e4, 1b19d77a558cc5fb3bbe94f5b6481af7}
com/crazylegend/crashyreporter: {com/crazylegend/crashyreporter, 8b3dab605abdbcb062241d381cc4706f}
o2: {o2, 4ead0a2cf412b9a6db894cb385348b15}
m3: {m3, 0c199dd7d37f77d0f46ec43db4132cc8}
i2: {i2, 8db75e27295e052062d89a09c1ca64d3}
androidx/lifecycle: {androidx/lifecycle, 917f95e78f89b7f2a57218cafae33317}
c3: {c3, fe4422c7055c9b7a260e66cf5a37fb5c}
a4: {a4, 6c2884f4b056bd7b39d5f74d932aac49}
h4: {h4, 46f6b2ded76ca97e934d875a692d2833}
t: {t, b515ff6acd905b18911a26c6590c8dd9}
g2: {g2, 4eaae3cbe46bd5ddc9f83589f2ae9f2e}
j3: {j3, d3fc939009bae7c0caba04945286bc8c}
m4: {m4, d7fab95f8704834a0a476ff75bc971af}
t4: {t4, 835608a1194ca67fcc07d265f9786ebb}
c8: {c8, 41dff3e9ef60eee963ee7306c514b37b}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, a17b43a1b17e285773da6d5e53ca590b}
n2: {n2, c4ce86eee1e1ad0a4f744125b61cd95a}
k3: {k3, 37d0549e17c17c2ef6a137dff1abf06f}
p4: {p4, 89cddb48db8d6189dcb1a88f02053454}
r7: {r7, b87a2ee0acd82cac22f2d4b8119e3c1d}
y0: {y0, cab90f95b3028de07a2d88fc5a311278}
com/crazylegend/vigilante: {com/crazylegend/vigilante, 4765c1be09b15ee5e9a756e7eef1be8b}
f2: {f2, d64b60125449281062affb96183f1bd4}
g8: {g8, cd74283426ae5599d7df663e8535b36d}
v0: {v0, 1b3dcd0d977db67607de40095d50f6d4}
com/crazylegend/customviews: {com/crazylegend/customviews, 509277f783399734f90011d926f788bb}
s7: {s7, acf7ef943fdeb3cbfed8dd0d8f584731}
q1: {q1, 98ced926d69b17ac5e6da822045269bc}
i: {i, 4413072070b6292874e5071ee4b4b0d3}
x1: {x1, 8778d98ddf4f890ea9f34bf49e3d73f5}
g3: {g3, a13b5268021e5d3724f4275111521042}
r4: {r4, ebfcd52c68bb92032b1383b968ffde6b}
y5: {y5, b9029e32d5b4babfb98c144d6a198d9e}
a7: {a7, 7d7e4334bf76c35a20e1f0b57450cba9}
b0: {b0, b7498735f95dde30f5f64e330ebf2602}
m2: {m2, fe37d3eee6867be57cf471d12f4c72d7}
s4: {s4, 629272e7695609f25b57b50a0541a466}
b8: {b8, b1c9ef4da540d796fb8688038071fb25}
o5: {o5, 405bdd5d7472f2d6ce783d6f37042417}
h5: {h5, 78677180736a1c0a684055a7eb9b8292}
n8: {n8, 2dfe899ffa641742ea7370a4dbb7f066}
i5: {i5, e68306a637b1f40d2fb254266b18f5bc}
w5: {w5, ee6607d1b3f973b8db90e3c32874e8f5}
c2: {c2, a08559ef5d9c073957a4ee735d89ba85}
a3: {a3, 183bba537d8fc5655754db9feced226a}
z4: {z4, 8f84db53fe6aee20de0b239a81860093}
androidx/fragment/app: {androidx/fragment/app, 64efde1f38d4bfda1a9c5ed84b251b50}
t5: {t5, 310e7284b5cfebf513915601717e3a1d}
j0: {j0, d67afa931b316ba8d1eac50dd399db81}
l3: {l3, 27c14d6194d66fb22abe5626c8940a69}
n3: {n3, 9c8f5f3320b792e5771a51ec76d57204}
u1: {u1, 4a028c078b015a4eb0e92bbd8040cce9}
e: {e, 86f272f5e4aedc79a870efa0b7790d89}
p5: {p5, a5214aaf83b428ef75240a42f205b74b}
d3: {d3, 05917900db3f23fbf6f0b014fb506549}
z6: {z6, 5587ddfdef44f9140fc76271a8eb6777}
k2: {k2, 0c7113c2f2ac94b36f76a0ce71cd4af8}
m: {m, 01046710c68e53f6771a89d3ed03cfe0}
e3: {e3, 82b3ca90302cee239d69c5e7e99c17cb}
v1: {v1, 31136f3254e33d25e2cfc2ae2a61cbc2}
kotlinx/coroutines/sync: {[kotlinx/coroutines/internal, kotlinx/coroutines/sync, kotlinx/coroutines/scheduling, ], 1fa3adcd13cd548d288dc24dc7fa467f}
y4: {y4, 8a95c7c70049ef4afa4f0cdf38daa1e5}
com/crazylegend/recyclerview: {com/crazylegend/recyclerview, a34fa34548367ae9d88dfde0eba9cd6c}
q0: {q0, 34095e7e1ffa7798e7cdd4671456011b}
f0: {f0, fbbea0e341d4e6e732cef2019281ac02}
c5: {c5, 2b092bb586a1fb0528dbaa0a2dce9da7}
w4: {w4, bcb743a7c1fccd713dce3d00acc572f8}
z2: {z2, 46b31241f35d6ae67b8e036d7344ce96}
o4: {o4, a91a774b5085e18e23b6778d73cc139f}
m1: {m1, 5202059ac0e3f010a7a1982fd240afc0}
b4: {b4, b2f17da20e0a8b7f55d94fac9b460fbe}
