androidx/appcompat: {androidx/appcompat, 6620caab6deea3cf8bb8ebc10669ba69}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f0aef21b0c9d4af3a0dba07117a26934}
com/duckduckgo/mobile: {[com/duckduckgo/common, com/duckduckgo/mobile, ], 7ffd0ef30ec277e5a39b170535173f0d}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 4ad94f08a0b76a7ba0dd6c597c03c6ed}
androidx/activity: {androidx/activity, 5f6816d322a74038531bebc2bb87c290}
anvil/component/com: {anvil/component/com, 7086866cb29b3298fb36737833590a27}
androidx/core: {androidx/core, e4c8b0b7c55c4c36a2b13093250f798a}
androidx/datastore: {androidx/datastore, 1df3cc8cb15ed5805dd29d0d4977a0c6}
androidx/sqlite/db: {androidx/sqlite/db, 9ea13acce6dc64b16b342fa176d1b5e6}
kotlin/reflect/jvm: {kotlin/reflect/jvm, 625557734141bbbf164b87f990387958}
androidx/lifecycle: {androidx/lifecycle, 18b2c98cf965d6a921a006d4383942ff}
androidx/fragment: {androidx/fragment, 08f016a57e89953c4b5b5d0d134d0a41}
com/duckduckgo/anvil: {com/duckduckgo/anvil, 83d589e862a531b0d2b25a3b41682803}
androidx/loader: {androidx/loader, ccc233f5007f40a2bb6de9a98b303fcc}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 7d1f82ca0890e13a5569dcffb479ac0f}
androidx/recyclerview: {androidx/recyclerview, 75489067c33c82332d571c4dd647b4f1}
androidx/viewpager: {androidx/viewpager, c2cea35b34a4ddb2b5b2136b618e1883}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
anvil/hint/subcomponent: {anvil/hint/subcomponent, a80ff7848bfbfc27b4c6da760f3cce16}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
io/reactivex/disposables: {[io/reactivex/disposables, io/reactivex/functions, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/versionedparcelable: {androidx/versionedparcelable, d30d669f16ffd5b4f4d62859e4957da5}
com/duckduckgo/adclick: {[com/duckduckgo/networkprotection, com/duckduckgo/browser, com/duckduckgo/appbuildconfig, com/duckduckgo/common, com/duckduckgo/adclick, com/duckduckgo/anrs, com/duckduckgo/navigation, com/duckduckgo/app, com/duckduckgo/savedsites, com/duckduckgo/widget, com/duckduckgo/voice, ], 7d7bf3bd9b3c06ea7d6b35164fd71fd4}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 254f7f835f1b236a69debe585e1882b8}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c0b7df9575424fde9e5317ae74e3b216}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 988ef92deaa8e44279017f7a9ae518f9}
androidx/collection: {androidx/collection, 91d992e9575e61d05a00368198dc6f5b}
androidx/security: {androidx/security, 3477ae124b56b86a70594804c90b9dd9}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, ea7263a9b342483243655505e4f56f83}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
anvil/module/anvil: {anvil/module/anvil, b2f0c3b9989e47267169be5f9f4dd510}
androidx/cursoradapter: {androidx/cursoradapter, 68e4266ff8e932dd885b3d5b26be0574}
com/bumptech/glide: {com/bumptech/glide, 32e3c925f6069220bafa4ae1ca00a14b}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8237d7955a6ed9b1c373cd4f0a5310e2}
anvil/module/com: {anvil/module/com, 7316bfab7f332e6560f5e71ee5d7ea0a}
