androidx/appcompat: {androidx/appcompat, 9dd3d1e3a8aa573e840d632a5398f499}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/internal: {kotlin/internal, d9385b7ce02066c774d368e93f4ee5a0}
androidx/activity: {androidx/activity, 09fb5f4a1553928098d6aa76a5774cdd}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 37ccbc14f89f026869b59175e8fba521}
androidx/preference: {androidx/preference, 438cc2b8bc4682ca61694f010c2a61ce}
com/github/mikephil: {com/github/mikephil, 00ffe2037f83a752071da7a491498803}
androidx/vectordrawable: {androidx/vectordrawable, 561b694ae0fc2efc2b5c7c67e297d0a2}
kotlin/math: {kotlin/math, ff5484e96fa46ced5ba0fdb79d7355be}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5dc909f492ea9f6454b285dd0581e28e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a0f53db5ada4f83be14a92a44d490e4e}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 79918f3ee217f39905599d9a0a477c2b}
kotlin/random: {kotlin/random, 5cb512ebe58220cc4e5276f60f8b6c11}
cn/pedant/SweetAlert: {cn/pedant/SweetAlert, cdcbf05230dd50aa9a7f7954ebc5557a}
androidx/cardview: {androidx/cardview, fb0ea7010a6c30eac971283ae7f11e2c}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, 216d91d8fdaeac5f62bf2df7dd2f2018}
androidx/emoji2: {androidx/emoji2, b9eb846fdf6862e97eec516d0f195ace}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, d9593d0f7545d9be72ca1d66eb909153}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3181d6694c93165d017996e485b8f25e}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/window: {androidx/window, fa184a06c6c8adb5e9d0d25c16ed60f8}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
androidx/databinding: {androidx/databinding, a5c70c6a78ffb0b712c223cf94a84668}
androidx/lifecycle: {androidx/lifecycle, 7207f8f0f4c245711bea94b82601189e}
kotlin/reflect: {kotlin/reflect, 0d860cc4249f1e9476fba77f4094caa7}
