androidx/appcompat: {androidx/appcompat, 834bb12568668845ee203aa50b3431a6}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, d33b298dc02fd24f820a2b085c60ba71}
androidx/profileinstaller: {androidx/profileinstaller, d3298d69049ad68c78c153ae7837fc8e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 8347a33f3d602a2f705323f88c5e6598}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/preference: {androidx/preference, 1060672bdbb81ce3f12634d27e2ef09e}
androidx/lifecycle: {androidx/lifecycle, 1d6d608503056d43393c2ff91f52b5b7}
androidx/fragment: {androidx/fragment, 135de038e26d00962632e31a665881fd}
androidx/navigation: {androidx/navigation, 8e4addb17c6de3527ac90c136788dbf0}
androidx/loader: {androidx/loader, 0bbed9d29534ae7ed9da619fb1999cfd}
androidx/vectordrawable: {androidx/vectordrawable, 561b694ae0fc2efc2b5c7c67e297d0a2}
androidx/recyclerview: {androidx/recyclerview, 7fa49cb21e791d18751de1a689549885}
androidx/viewpager: {androidx/viewpager, 057b981256a08f3ebacd09cb619aa355}
com/google/android: {com/google/android, 83eeb4d5ca49478b296b0671aa6b88f8}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 14241b98a584e02bdec635d855695710}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 8f7578566ea17677557ec8bc96b4354b}
androidx/core: {androidx/core, 1c6b29b19a3bc3cd33d733ee4d63e9e0}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/collection: {androidx/collection, c5d3d3cde2a8c2879107d2117cbf1a70}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b75eaefdf6ccd9dcc7ae497434f570ef}
androidx/transition: {androidx/transition, 0f248e37285bde7f4f7d0b822a645e3e}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 614d3e40f2076eb1b4b63b92a63ecc33}
androidx/cardview: {androidx/cardview, cf6d834d150960a420289e5ad58bffde}
androidx/drawerlayout: {androidx/drawerlayout, 41cb65bafd9947dac7114bf5bef50297}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, d873f7e939034cfe73cfb2067d53c6e3}
androidx/exifinterface: {androidx/exifinterface, d174e48dbd3613e36aa5a066142a80b2}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], ac9c542684f271e7215c00369bbb793e}
androidx/emoji2: {androidx/emoji2, 39e3bdc47519e50d9d148135269d7fe9}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 2d127904ffda1a600d0235188040ec4a}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, faf9af888479d1fecd6a8e1de9d6e209}
com/google/common: {com/google/common, a9049304a854c7888d7e0a50951efa3d}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
androidx/viewpager2: {androidx/viewpager2, 9b12870b4b0a2183dc8874ad0fd1d04f}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 43c66c28fca4b1ecef02d781aecab843}
androidx/documentfile: {androidx/documentfile, 32568abfd09a23174463f1a7e324dc33}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
com/bumptech/glide: {com/bumptech/glide, 86b8dc5740783c1307e7bbb1363dcf6a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6cc9e7e594bdbf8a5b574199d5ba8f4d}
com/etb/filemanager: {com/etb/filemanager, 69a261f35a7b9874d21573dce72856fe}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9dcb3692758372a83be7a7887cfffecb}
androidx/concurrent/futures: {androidx/concurrent/futures, 6ce95b4456650f4f8c97e5cb3d181e7e}
androidx/customview: {androidx/customview, 1050058551a0c63130bc45880072269c}
androidx/window: {androidx/window, 2569dddd25d83971df494d488e6e4a41}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, f0d7ab7b4fade115f47f4355bd247e34}
androidx/databinding: {androidx/databinding, fd2bc3d4360d63e73416527074cfca6e}
