androidx/appcompat: {androidx/appcompat, 538f05b18893c97d3c90a38f8f4fa2c7}
kotlin/collections: {kotlin/collections, a0b14bd977a86131fba83f745f4f6bb4}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
kotlin: {kotlin, 15ec14a734c59393166ad6a81abad5c9}
kotlin/io: {kotlin/io, 7a92efd1ceaa40e0e716ba22d48efd69}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
kotlin/jvm: {kotlin/jvm, d6d407e50d6c1e59c98848acbdfeca92}
kotlin/internal: {kotlin/internal, e80b7d698ad8bcb712c1d86072a45704}
androidx/activity: {androidx/activity, cbde3cb10aa6fd191da4d8e73ec7bb2c}
kotlin/sequences: {kotlin/sequences, 806b1f2d3001eac9a72b8fc37f1ddfa1}
androidx/core: {androidx/core, 7a8a5bd27391b620e4953a6e693fde73}
androidx/preference: {androidx/preference, d1e8b500c83e6e2cb74ca6a8be1e6f4e}
androidx/customview/widget: {androidx/customview/widget, b10115b5fc5e5e6cb6667a6cccece521}
kotlinx/coroutines: {kotlinx/coroutines, 08f6c6af081c703c30b1cbb35968940b}
androidx/lifecycle: {androidx/lifecycle, b0437880a7085769f77cd95fc20c8299}
androidx/fragment: {androidx/fragment, 718c094600f75d33dd6b8e214908003d}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, edf8eff9293f569d903dff76383de747}
org/dmfs/tasks: {org/dmfs/tasks, 6fc3d80974203a1a363aa20db308a95f}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
javax/mail: {javax/mail, ecc142f61df8f14a258c81769458bf65}
org/conscrypt: {org/conscrypt, 212b964b424f192b4c66f6228772ddc4}
kotlin/concurrent: {kotlin/concurrent, bd2a0f6e6ce5cdf1b0e7880886ba199f}
com/etebase/client: {com/etebase/client, a36c5aeda1fdc44918c189dcd5785b2d}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
com/github/mangstadt: {com/github/mangstadt, a4362ece2687f6fcac394a7dc86ac2b9}
androidx/versionedparcelable: {androidx/versionedparcelable, b990889d3ea1f2d1bae8e730d003ca08}
okhttp3: {okhttp3, 95ab68dd83aec035e50cc13bdb2fecfb}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 983802e8af15966be38a7cd284a8fcde}
androidx/viewpager/widget: {androidx/viewpager/widget, eaa7b6e74a139f8eff3a22dbd72791e5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 6099ebf47eb5ba6f95fc98dbeee4072e}
net/i2p/android: {net/i2p/android, 49d4a21e1d0f1bb48d3e5b0167a9ee7c}
