a6: {a6, 261a0553543c9cae14996d542a40fc7d}
p2: {p2, c7372f761dd04f9ea3e6800ce37517ed}
d8: {d8, 725131d1a75fb4e8487e4a5f66eebaa8}
j: {j, ed540c098b10f80e8cb6463233cce051}
c1: {c1, 6a03ae69b85a719480c8340ac7c1d50a}
d: {d, 32cd29064b6181b3583b450e81d00884}
q4: {q4, fe7d298a844c419e4b382694445da06d}
x6: {x6, d9161e8202fc6c575943605f3c0acc3b}
l1: {l1, 8f0efd08fbd6d88f31cd77ec389b4b73}
androidx/preference: {androidx/preference, 04130be7979a1e40decd4fc7b8678be7}
androidx/core/widget: {androidx/core/widget, bce8b5437b915fb24caeb1720c1d4eac}
g6: {g6, 6d199496e95bf0d4fee95f0a238369a2}
o0: {o0, e62403d220b6f5a621d2a0cd7fa9ea69}
b5: {b5, 13f613844c04f94f428a26d26de314ed}
moe/shizuku/api: {moe/shizuku/api, a6aa620d014d784e3c5f7fc002aa9820}
v2: {v2, 85a9358d03c94ff13ef1a4418c082c1c}
z1: {z1, acf7ef943fdeb3cbfed8dd0d8f584731}
m6: {m6, 8859e173baffe6d7cdfbb55e2d019f47}
t2: {t2, e7318847877018b554cfb580791c2ef1}
w0: {w0, f63421e95aa0a79cae89dbbff688fd08}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ff340a2d0a93cf26d90f7c21c2782785}
r1: {r1, 2f546d7ecd07cb585a6f0927fc225700}
e6: {e6, 0de32341fbd87bf9345a3f6cb3a88097}
j5: {j5, 5e301c052d05bf5155fb50e37afa8071}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
l: {l, 525affee8395f8106128989e0cc23724}
androidx/appcompat/widget: {androidx/appcompat/widget, e72096450733eafdcfc180f5cc1be271}
y: {y, 19b0a3ae5e88cd2dee20a078e0249fed}
f4: {f4, c498a3ce12ee61210858d289df3e9618}
b: {b, 051a877fb9817ab7b3dc28386d9cd3d3}
k1: {k1, f9afc852e980cdb5bf77496f43c78bf9}
k: {k, ee29be25aa14a07d9affdb93a148730e}
g1: {g1, 994ab4f5aa30d59e2199ad9df95f0546}
c0: {c0, ef35aea8ebdd9caf660194a9d7dc8a62}
a5: {a5, 1d98ae95796ac1f74d39b21bb2f0afe5}
p3: {p3, 2de3ce68a2c865cd8e2fcb4a51109699}
e5: {e5, d97a36f5d440b72c4bbbfab4ec065b77}
b2: {b2, a3c0e811cb279ff82ecc537a065b946e}
q3: {q3, b0b5a32e8397c7c45c394ea9329f25a0}
d6: {d6, 1be4271d2f6aefc49fe98b481626a01b}
l2: {l2, ecb817c35a09245465305eabde8b95dd}
i3: {i3, b740c58e47b4f52c60a96e5847e763aa}
androidx/core/graphics: {androidx/core/graphics, 14e6047077ff42020c6588281719630a}
o3: {o3, d21a87604af3fc8c19d0199563bcef94}
m5: {m5, a4e5bacf9c0eacfd3350cec4da583a34}
t3: {t3, c58a3f2e289ec5b31f1d2017d0a8999b}
j2: {j2, 5bab9ea85490c140538f2962c7ca509e}
v3: {v3, 1e1b49a76e2174840153cceeeb4ed554}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f1c79078847176434379b852be833fb0}
h2: {h2, d35549ee2a26b2e1816c6edb700d6772}
n5: {n5, b6ae25cdfb13f49f1ed22a916ff707b6}
u3: {u3, c167722eca378593437ea0a024ff6deb}
r: {r, 5ecdb693a1c6af415c0188b36c856b9e}
s7: {s7, 4e34bb2df1d8884088fc2836b2ce532a}
f5: {f5, 41b9f934431125799a690aeec87a38cb}
androidx/appcompat/view: {androidx/appcompat/view, 85369d38b9642a61678fdf906f0db3d2}
androidx/navigation/fragment: {androidx/navigation/fragment, 0181bde79b56e2e3fa72c487b05c2a83}
w3: {w3, ba3f228f1063306e34285aaaee56aa98}
z: {z, 9385ba279af1bfc95b54838ad2b23b14}
r6: {r6, e28156ddf1a8cd25f9bc8bc142cf823b}
d1: {d1, ebacee807ad0317655e0c0b11b035722}
c: {c, d235ab2d188e73e37bac0745395d5a9f}
k0: {k0, 159a06ae87a057cd7a94fb2d0e67b96f}
g0: {g0, 9fb4e4b25cba681dfebecb7cacc272fc}
x0: {x0, fd517b755951f7f1dcfa6b59cf163fc2}
b3: {b3, 49c3cfe047ea597115db90c7215f5f2a}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 6ddac8b8352c7440195e9ce117ec8647}
q2: {q2, ed92332e931f2cd46883bf4d2d7c4620}
e4: {e4, 253430676c8aa155f0cd226677fd212a}
o2: {o2, c144098d999cc6fdf6c1a690085322f3}
m3: {m3, 59db0600b1543a51e2133f12639394a6}
i2: {i2, b66b79fe0457b7ebe79aaa9360b22018}
androidx/lifecycle: {androidx/lifecycle, 2bbd3fb45dcb40fc7ebce5348406b1cb}
c3: {c3, 289366b5851fd800a2d0986561a83a9d}
a4: {a4, e71c30b3c036e64cd36cfda1283ad268}
h4: {h4, 5113a5b5929b72162ef2388f695f6c50}
t: {t, 63e52f8e9aba2b6f0dad316fb6ff501b}
j8: {j8, a370df0f53704d5c459f69dcc538e0d9}
j3: {j3, 255509e49136722e3c46497465c6fb32}
y7: {y7, f98f8ca8064acbbd307ddcad002b20c7}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
m4: {m4, 21a0b3dea55210fde040f0c6b4d03712}
t4: {t4, 97feb2fdfac40998dfaa47b2a4f94a35}
u2: {u2, c413cdcd7f32271103346e70cdca35b8}
s: {s, fd6d3abd09853b515aaa8cfd5455a305}
c8: {c8, 1a035b30552d0039ef9d21a2f467871b}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 587192773bc6be9139529767a71ee496}
n2: {n2, 7e0a0ff03ee464f5e06672f22b8c6066}
k3: {k3, efacc2e03b0ddf4ffa20c9cb36570f91}
p4: {p4, 80e7966f21c1d7ad5b06b2b4499dd315}
r7: {r7, 99bc1326bc2722e74f394811d7d87c3e}
y0: {y0, a4b3ebcc3d978a06d58e276a2b964329}
rikka/shizuku: {rikka/shizuku, ec484096214cf1a9809edde93e2a97cd}
f2: {f2, 8c60f1c965b76cafbe8fb814b93884e6}
g8: {g8, 93e772bd6cc890ce02cae628935f158c}
v0: {v0, 686fa612a0a66137a1cda088b1afed93}
d2: {d2, ba19eeb32214997695a7edfc16d8c4ca}
q1: {q1, 3107e20bae94dcad8994b500015f2bdf}
x1: {x1, 6b29622c0d85aa72da63cd22298767b4}
g3: {g3, ea4c8d050f13c8832c3172e3dc7efa1b}
r4: {r4, d182ec863cf028f1d59808a1789c1186}
b0: {b0, d63168b00a77681a32abd80ca650094a}
y5: {y5, 17b42ecc4d084cbf79a233f77c922bb5}
m2: {m2, 32788c685367391ab0d3c7b602a94b85}
s4: {s4, 43d3c67a7d7e04878544d3ea6cdb6a0b}
com/google/android: {com/google/android, 5b1309e1fcf2aab393bf4b92602f50ca}
b8: {b8, 46b3dbee0a57faacf77991d93da11d08}
o5: {o5, 9736cce8027ee1a119ee75360e4dbc3a}
h5: {h5, f269b159f1bdea2b799d5a737f78b3b9}
i5: {i5, 458f081bd82e2275eab749d5a55ec29a}
w5: {w5, c7c20dd94ffca58f6b55bba1fcbe8f9a}
c2: {c2, 5b44e3eae75b8fe1f135422bc97e137c}
u: {u, 733dc7382d1d6b641a2bb166ee04efbf}
z4: {z4, 0841125f9eb3e5539ba8f1ba07661634}
androidx/fragment/app: {androidx/fragment/app, 8ccbf663cebed3d2a8bba45a0d330623}
t5: {t5, 07568b5cd95d537860ddaecf5f5164a8}
j0: {j0, cf33a3f6831e48af3ee76cbb1299a561}
l3: {l3, a6d3b0820538b9d81751eb1da5fd0ae5}
n3: {n3, f439b866cd958a8e60eba77a3d75a118}
u1: {u1, 0bc9cec422404edb011d46b9c6ed432d}
e: {e, 24e43e2fbee4c4df257b3be7f139533b}
p5: {p5, 6a8a4f31eda864b6c80406a3b348a20c}
d3: {d3, a8924a419f82bcfe24d1e27a0913dd55}
z6: {z6, acf7ef943fdeb3cbfed8dd0d8f584731}
f3: {f3, 8f12d93df5d95043f095b285d9cf4d5f}
k2: {k2, 7e860ff1b42c33129906388ed7294ff5}
m: {m, 5158af08a4e0b99c7dddbfbd292ef3be}
e3: {e3, a6ad6cccc46f410f57b957ca4872e79f}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
com/f0x1d/logfox: {com/f0x1d/logfox, ef21cab059f61878be7fb34b09c0d86e}
y4: {y4, 65f246f157c7762d78e2942b9ded77da}
q0: {q0, bf51544c3b986f099c2563b50ce90957}
f0: {f0, 2949f42a4444dca247d8895e9007d49f}
