androidx/appcompat: {androidx/appcompat, 79b4c4145f5df055e3926185d5da247f}
com/beetstra/jutf7: {com/beetstra/jutf7, 44307c546f7074d42024de7cd5800f65}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
org/jsoup/safety: {[org/jsoup/nodes, org/jsoup/parser, org/jsoup/safety, ], ac9c542684f271e7215c00369bbb793e}
androidx/room: {androidx/room, 90528cefa6226b77aba32b5519b75837}
androidx/activity: {androidx/activity, c6363590dcf2f867ac9895a35cdb8a58}
androidx/profileinstaller: {androidx/profileinstaller, ce374ce3ef0cbd58211b33149c22f52a}
androidx/customview/widget: {androidx/customview/widget, 33caf43d6046d6ff07d5f9662805d458}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b471c64ee8a01aec887c236b6a8fed38}
androidx/compose/foundation: {androidx/compose/foundation, 87c2a98f40770787098765917e02b789}
androidx/preference: {androidx/preference, 5348ff789d97831e2d9d1b4b934795a0}
androidx/sqlite/db: {androidx/sqlite/db, 7c317cfec991fb6d8ecbd461c98352dd}
androidx/lifecycle: {androidx/lifecycle, 9b9320acbde9baffe5cdf5a345c0188d}
androidx/fragment: {androidx/fragment, aea08df983f6602b0c09b2031ec3bfdc}
androidx/navigation: {androidx/navigation, 90de4431d96a2293a0454505f27efae3}
androidx/compose/animation: {androidx/compose/animation, e060e823acd21d4d84e2d19d71ef7c8c}
androidx/exifinterface/media: {androidx/exifinterface/media, 3ba62492dff750a772b4ab97c8a2561d}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 6c540533418a4587effbd47c508fa394}
androidx/core: {androidx/core, 1847072cce87e98b8fee03310e9b5480}
androidx/collection: {androidx/collection, bf9aa3f0ad4b502a35d8b5669f85b58f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/sqlite/util: {androidx/sqlite/util, 8176854d09a46848f8051008e874b50d}
androidx/transition: {androidx/transition, 13df7b1b6ad1dee743584efb6acec129}
app/k9mail: {app/k9mail, e7180df02940172aee57eb8c0847f124}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
androidx/cardview: {androidx/cardview, e418de3b5466d1baacfe2f76b276171d}
org/koin/dsl: {[org/koin/core, org/koin/dsl, ], 020eb29b524d7ba672d9d48bc72db455}
com/bytehamster/lib: {com/bytehamster/lib, 53c568a12a6c191dd012cb217ed679d2}
androidx/drawerlayout: {androidx/drawerlayout, 02e32be02acb12be4e10f76a47f06bfe}
androidx/arch/core: {androidx/arch/core, 23265b7ed47c8bf5beeb4bd00a33a6b1}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 46eea80f05bc0d606c1b5e2105371715}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/browser/customtabs: {androidx/browser/customtabs, 017a04091d43fbd8eb56851b9116b8c5}
androidx/viewpager/widget: {androidx/viewpager/widget, 9fc7fc6d8f262386c44ed1cfbe02b8bc}
androidx/loader/content: {androidx/loader/content, 0da510bbcec7e66769ef1c8dc3d45415}
androidx/compose/material: {androidx/compose/material, 8dfcd609df67e03e2616a03f22417902}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 11be4e52bf09ddff2865c2322f409fdd}
androidx/work: {androidx/work, 4800b26890636647209929c134968c53}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, ace414bd0b5a9cd4561796d937ab9058}
org/koin/android: {[org/koin/android, org/koin/core, ], 020eb29b524d7ba672d9d48bc72db455}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
androidx/compose/runtime: {androidx/compose/runtime, 4e5ebbdfdf31c2c413a767eb7a8eb645}
androidx/emoji2/text: {androidx/emoji2/text, 1caad83fe4315c1c05b45e07f8d9cf33}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
org/koin/java: {[org/koin/core, org/koin/java, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, f661564172df17a419dcab2b362c547a}
androidx/viewpager2: {androidx/viewpager2, f86c8f624a0f86843bc5b300b9b883ad}
androidx/savedstate: {androidx/savedstate, 4a6191b29c08e7a3341d3981f1ab7ab6}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/bumptech/glide: {com/bumptech/glide, c23dba612c6775edc84087721ad14b78}
android/support/customtabs: {android/support/customtabs, c44de6ee0e1b3b6494af27d9ad6de8cb}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5203a41ae2070448ff88c0bb1c792f35}
androidx/biometric: {androidx/biometric, 2b45c071ce275083a78d5c5d7f2d3eb1}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 97039a020c66be8947f2ee36427c0ead}
androidx/concurrent/futures: {androidx/concurrent/futures, 2fac66b457b61ed440208d2dfe4d6dea}
androidx/compose/ui: {androidx/compose/ui, abc7a25efaac3ad9605a44c94b39d195}
androidx/recyclerview: {androidx/recyclerview, 59cd794d0ae55752f18207fefe0d2fb8}
androidx/loader/app: {androidx/loader/app, 69fc820d7b28f8afb5f6b99c83357c08}
com/fsck/k9: {com/fsck/k9, 6478b1734c1ee0febf3e20ce5b4b4367}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 16fc7f1667dfbfc582711d5a31829363}
