androidx/appcompat: {androidx/appcompat, 1c23910e4aa12227af0cde9cc62d0c09}
coil: {coil, a49837b3eb7a1093269a513d7cbda41c}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
coil/fetch: {coil/fetch, 4160ec8f1bf1988442ed2346bb9dadda}
kotlin/internal: {kotlin/internal, bed891cf3dc47b328de2b22f74935929}
androidx/activity: {androidx/activity, ab3d13156de1101e3e36010c3673a109}
kotlin/sequences: {kotlin/sequences, 50ef4d6e95f72b6a520f1ae1e65f2a9e}
androidx/compose/foundation: {androidx/compose/foundation, 4c33fafaf8028eca413a6a4c55dca2f8}
androidx/preference: {androidx/preference, 63c652c30b8bcf9d5852253eb4d68941}
timber/log: {timber/log, 4f2c114b006d0b0966eb47865796ae27}
androidx/collection: {androidx/collection, 57445f2c7425412bb025dee99f040f56}
kotlin/math: {kotlin/math, 258e06bd866278b55d174287034ffe74}
android/os: {android/os, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e2dd5dd2499493a6a9aaeb3e77ee77eb}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1c94d6ba9de2231a30ad61b1e8c1b908}
kotlin/random: {kotlin/random, 0835c3c998aa09b125b38bd0cf4d7453}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
coil/map: {coil/map, c6a476740a3a4b61c1e68dc998d5b725}
kotlinx/datetime: {kotlinx/datetime, e02eaf9284d40efb4769636085286ef6}
org/jsoup/internal: {org/jsoup/internal, ce5b9bbb88b6df78a19b85e6d577a6b6}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, 55aa4b9beb6a7479ca576e165e8848cf}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, a2bc7a0416506a53a1ddb8cd56695618}
androidx/hilt/work: {androidx/hilt/work, 55ebc1712c411cee1d195b9523370e41}
org/jsoup/helper: {org/jsoup/helper, 268cf6b2cddc584ecc85790fefae3061}
androidx/savedstate: {androidx/savedstate, 42b3b806061d6e4e7f6ad82576765690}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 42fe580149edf3938e2dc341eb03cf70}
com/geekorum/favikonsnoop: {com/geekorum/favikonsnoop, a1b376e9d41b7ac4dc7e051b3012e2e8}
dagger/hilt/android: {dagger/hilt/android, de7d87006128c086d3566da3900f69a6}
kotlinx/coroutines: {kotlinx/coroutines, b96622ba370b8612dabac49543ae509b}
androidx/startup: {androidx/startup, 9eb483df0760787928bd088a699e490f}
coil/intercept: {coil/intercept, 9a76cfc57be174c20dfc92e45347e86c}
androidx/compose/ui: {androidx/compose/ui, e1b130eb6a8cf8c290bae598b9d9e748}
androidx/databinding: {androidx/databinding, aec9108c8392d765e0fe40b2f8b2aa85}
androidx/loader/app: {androidx/loader/app, 1fbdfabf4ee1e5deb6c85f4ec64599ca}
androidx/room: {androidx/room, 3d4640a514da0937ea2100ddfee71297}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], c4d835e81bfb59c7d859d6d43b4ae4be}
dagger/hilt/internal: {dagger/hilt/internal, 2f98f4fd60829d2567feda6a980af495}
coil/compose: {coil/compose, 31c3fb50e870106278bf8f8377639f84}
androidx/sqlite/db: {androidx/sqlite/db, 3ee87e938a170076979be23bc0203643}
androidx/lifecycle: {androidx/lifecycle, 715cda8e02bfe91d79604e16cd8837c2}
kotlin/enums: {kotlin/enums, 2dc1a962104382b16749698a8a1bfdd2}
androidx/navigation: {androidx/navigation, 55d2aa15761985b4cbfbbbc2326c8f72}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2b3ec5fcc544a9377470472fdc7bb3f7}
kotlin/reflect: {kotlin/reflect, 8362422f5ef3ea0d2b20f2699effad35}
kotlin/text: {kotlin/text, 10bc14e7f0714cab9e68dd826fce5145}
androidx/exifinterface/media: {androidx/exifinterface/media, c8b619d707f96b4e51bd4e91b93142bd}
