androidx/appcompat: {androidx/appcompat, e745a7f9cae7c7ed14510c0545273484}
kotlin/collections: {kotlin/collections, 8eefa4cd9e97b57028993470b227b3ff}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 41a2ccb0751bf52071dbe452e0e26172}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
androidx/room: {androidx/room, be97e1da06539041cde6423a6f713000}
androidx/activity: {androidx/activity, 94639786e43266510b4e71f125f1c3ee}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
kotlin/sequences: {kotlin/sequences, 7f385f5af33dbdb3e86bc9003fdd161c}
fr/castorflex/android: {fr/castorflex/android, 8145a20e0ba41749d441413798b1dad9}
androidx/core: {androidx/core, 980c200c8f0266085f3deebd4e925184}
androidx/preference: {androidx/preference, 426953e8e8a63b88872f7e88a6f951a2}
androidx/sqlite/db: {androidx/sqlite/db, 70b77e51267ed886c34b2af3f63b4835}
androidx/lifecycle: {androidx/lifecycle, e7500d8c7cc3067f044125e306c5b5bd}
androidx/fragment: {androidx/fragment, bbf5e55c4beed445138f81863573fad4}
retrofit2/converter/simplexml: {retrofit2/converter/simplexml, 8036e85e805f1f3130d878fcdccc02a8}
androidx/loader/app: {androidx/loader/app, dd591ad437050d6e73bb916af4f208d9}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 8feba80c357f6e0e9604b03df01c237c}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 5d833f62ad64219b1221cd2fbb39b021}
org/simpleframework/xml: {org/simpleframework/xml, 93b0a5d38e2b8fc6dc9a44d7d6007464}
kotlin/coroutines: {kotlin/coroutines, 1f6036268d51b2997fc93daed66034c8}
com/google/android: {com/google/android, d446ae48043ad89ca7b8276d94c21804}
kotlin/text: {kotlin/text, df6a2ac822f7cd4043ecab98ff347809}
androidx/customview/widget: {androidx/customview/widget, c5a8bdaa9bba0789c42a72479a56369b}
com/larswerkman/holocolorpicker: {com/larswerkman/holocolorpicker, 94c5591404f42d697b4237514a9d28e0}
androidx/versionedparcelable: {androidx/versionedparcelable, a30de75d6f97dba1417a468bb6610693}
okhttp3: {okhttp3, 5ad728dfcf942e31ea53a0aa0050cfaf}
androidx/startup: {androidx/startup, 2b8a96a2970587a91d9bd3483c5d5582}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
com/meisolsson/githubsdk: {com/meisolsson/githubsdk, c4814bca8ea2bf9084a538405d8f9dc5}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 93ed68b49bf235e54b2ac524358e4276}
androidx/collection: {androidx/collection, c0a31f024891c3199ae07d7794202cab}
com/gh4a: {com/gh4a, 5b830638f2b4c78f2ecbd532cb70b349}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
kotlin/internal: {kotlin/internal, 6544beaed2e46523912eb2594831eac6}
org/ccil/cowan: {org/ccil/cowan, c105e647f98879bff7bfee7d8b6f6c86}
kotlin/jvm/internal: {kotlin/jvm/internal, 17f72d3c7cd902d23a1c805ea85225f1}
androidx/multidex: {androidx/multidex, bd70f88a51b1dfbc7920bfec4fae94f8}
androidx/cardview: {androidx/cardview, 95ca314f1368f7e7e0bb95a2d9f2edcd}
com/vdurmont/emoji: {com/vdurmont/emoji, 86dbabbf3408fc664e359303050d09d4}
androidx/drawerlayout: {androidx/drawerlayout, f23beeb47bbbae411802e623b668646c}
androidx/arch/core: {androidx/arch/core, cf3fd0222632d8ece84eb6ff04bcee44}
pl/droidsonroids/relinker: {pl/droidsonroids/relinker, 922c9d306514bb244735d1a26811cd5a}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, f69ba682400e189a4f44cba2d599462a}
androidx/browser/customtabs: {androidx/browser/customtabs, fd2b40a72513efa0be5bdd93387ceb58}
com/pluscubed/recyclerfastscroll: {com/pluscubed/recyclerfastscroll, b9d4f9e53573e79893535928d261e6fb}
androidx/loader/content: {androidx/loader/content, 7b7832aec4052d01b11e77fb75b19725}
okhttp3/logging: {okhttp3/logging, 8364d0f6deee461bd271fb2392418590}
me/thanel/markdownedit: {me/thanel/markdownedit, 545f92dbe9c9f1cd7d3001e971ff3bda}
androidx/viewpager/widget: {androidx/viewpager/widget, 6e8573a97d3a1c3fa232fef6a11a4b25}
androidx/work: {androidx/work, 6c1260a806adc54bb2db5dbcc622302e}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/squareup/moshi: {com/squareup/moshi, a947e9759d76a92ed96c2eb76377d08c}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
androidx/transition: {androidx/transition, c89753696591e4eecde5de24726b9c20}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, b073ea139983d5016ed1473c7cfe2172}
androidx/emoji2/text: {androidx/emoji2/text, af577e39f32b44699cd860203ade6437}
com/philosophicalhacker/lib: {com/philosophicalhacker/lib, 32067a6fa3309dc63dedecb741157729}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 9880bae0ba4383415445a4afe6d3baad}
pl/droidsonroids/gif: {pl/droidsonroids/gif, 69c87c8c24e5cf26de0e18e402a79aac}
com/tspoon/traceur: {com/tspoon/traceur, c8859fd4640c4ad238ac6cb111222ece}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
kotlinx/coroutines: {kotlinx/coroutines, 96f58601d47aa8fbe684c88dd596b8aa}
androidx/print: {androidx/print, 841479db89d54575c89ae6c47db33770}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4154232a6631e68c12c68920287c17ca}
com/caverock/androidsvg: {com/caverock/androidsvg, 8da6a60c0a87148ad9a1d2384a7a713a}
io/reactivex: {io/reactivex, d69c0df8bff07e502849c65573c0202f}
retrofit2/converter/moshi: {retrofit2/converter/moshi, c93fb4f00dacfac4ca90d89208fa8b0f}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 4c1d82e3f9201d53e7cae5158a6d9389}
okhttp3/internal: {okhttp3/internal, 54fcd683d8cf3b19ee459a21697371ed}
kotlin/ranges: {kotlin/ranges, 1e078cfc99f55df3b8d4b4b71af681e8}
androidx/tracing: {androidx/tracing, 5229c2066b181f32e04a48699e6f4f19}
okio/internal: {okio/internal, d8364b60bf95df63fdc8e852911cdfc0}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 2b7b82255e291e1ff39d2dd6180c7440}
okio: {okio, 45752d496fac1fd633ffd761b361a543}
androidx/recyclerview: {androidx/recyclerview, 246b2fb3d1b020c04df34fd5098f6e4c}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
retrofit2: {retrofit2, ecb316a58fc5afd20cbcc23c5e4d32c7}
