a6: {a6, cd4e4af87fedf9296ead3e3fb0836a2d}
p2: {p2, c09217af16608d1d8f79be93be30fcc2}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
t0: {t0, 8ba458fafa798fda2fc4a38ac17f49ac}
j: {j, 190a3671f8650d42ff20a8dbda0d12b2}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, 41cb02e7f30fae82f344cec18c9cce0e}
androidx/activity: {androidx/activity, b330fb1be5fac7129ab6a15ac36a364d}
b1: {b1, 3643ce6e7a3332700d86f55bea126d91}
kotlin/annotation: {kotlin/annotation, 141334eaa999091529a86ab3b03a039f}
l1: {l1, 5dc634efe57b22c71aba5ae7b4416f5e}
androidx/preference: {androidx/preference, 3d33d4c4559f3ddb47a329e14929bfc6}
i4: {i4, 30f9bc06f2b0074adf09befbe0792d6d}
com/github/premnirmal: {com/github/premnirmal, 290199aa1593a9960fd52f5167981178}
g6: {g6, 66e07bdfb923261d5f6992062d9f8eba}
com/github/mikephil: {com/github/mikephil, fe2862cbeae5d656642584acc2c55d07}
androidx/appcompat/widget: {androidx/appcompat/widget, 90d475e03d8c5a205f3aee452e65a028}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 371dd2e2ab9cfebbb927b0099d6af5be}
b5: {b5, 26fbce826aae1bd558a3b753ac74dd45}
kotlin/jvm: {kotlin/jvm, cc7c44262b80d7488f1f4ceddc3d538c}
kotlin/math: {kotlin/math, db2f7e5950d84a89d67e6d5bdeb850f5}
v2: {v2, 7dedcd5a574c0af530059ffded58c115}
z1: {z1, a7177c645e6b6d22495a19925a54d75e}
m6: {m6, 37da182f56f070e7632b92087b5f14f1}
t2: {t2, 14461664837e5ef10a76e874f5d61a79}
w0: {w0, 5d2bd16144dd6d0cfd035969d8bb11dc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
r1: {r1, 0484500d46d64f587a24b21277a58b4b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 18904fd576b757fff77323494dc15dad}
e6: {e6, 1d17aac58c730fae49bb11151c7c8992}
kotlin/random: {kotlin/random, 911ecb53223e8c146a3a9d8d66c9b35d}
j5: {j5, 116fd45084cb559723ce8d12d26f31d2}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
coil/request: {coil/request, f9658b3afd5bc8a8db21168d75f7f4ce}
d0: {d0, 5dd26f03031d082c6c9c83d34897056b}
f4: {f4, f8c45711c55c011f1b031afbff868970}
b: {b, 6c2f626ffd673f718d46a46be1c82091}
k1: {k1, 024f539fab5d540bf09f0d82facc3810}
k: {k, 87a0b63c90c1019418026b1820dda631}
g1: {g1, ed370c3bbeb087d1ffd32eabbe125243}
c0: {c0, 7281b7edd65cb1bbf9dbecf072b98557}
a5: {a5, 3b19cc29ba79ba51afbed41b17d115f1}
p3: {p3, 05dcc698c3358e63f481cb3dcbb1173b}
e5: {e5, 37ae58e185f68aae15479c2ab93abfb4}
b2: {b2, 96131546ad2f8e38a31f69547b66b549}
kotlin/sequences: {kotlin/sequences, 4f22a4abdcf6b17d723be637154f33ef}
q3: {q3, 6f097f7594bb5fef8d97082ac0df2421}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
l2: {l2, c81d8017951331e352bc03da874a062b}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
i3: {i3, 358ee85c97854fe572038732f56d6d8a}
androidx/core/graphics: {androidx/core/graphics, c560c2652836e37c68c388dee3b19fb4}
org/simpleframework/xml: {org/simpleframework/xml, 1e6cd9e93c800ec2204da46186894bb2}
o3: {o3, 8fbba374c04d8703a725b0568e997ef0}
m5: {m5, a773ab8a0c0a2e2c6a10dfbd72a5603a}
t3: {t3, acf7ef943fdeb3cbfed8dd0d8f584731}
j2: {j2, 90703dc209373ebebc02788c8d568275}
v3: {v3, 5649b12007ac1803e92b3382a8773d00}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 485607f29a11340f61e1e97aff1defcc}
h2: {h2, 450e61cbcfa464a9188272326e45f28d}
n5: {n5, df07e34f03ee64e024402c7e5e6d7db1}
u3: {u3, 57ef1b775a7517ba9df510f2db0ffa88}
kotlinx/coroutines: {kotlinx/coroutines, c7da58fdbf47292d9f71d9389dce64fb}
r: {r, db5dcf047219e920d4ca5c272251aaa7}
f5: {f5, d6927f31e0b7c2c08dec417068c2e3a3}
retrofit2: {retrofit2, d21d0efe4e7f51ef24944beb3ecde85b}
w3: {w3, b13f53d6026d85a83158bff8c7030a8a}
z: {z, cbb1d493c624f7af094f0922c63cf1a0}
d1: {d1, 146419da49cdc3c13575737edee448ce}
c: {c, d9bd4fc67e7272b1a1b4fc1792eac20c}
