a6: {a6, 300226a9105f3d29999ba30c35ef2406}
p2: {p2, cdfca2de26e132646615d62ede09eec4}
androidx/compose/foundation: {androidx/compose/foundation, e8c809cb6e5e7489c5b5061056b4dafc}
d8: {d8, e97baad41f4b4969500eba8ba04ef662}
j: {j, 9d1d82befc9d868fffb95b7b600a63a4}
c1: {c1, c66b227e4992fce3e219504986fb5abd}
d: {d, 845b8f20218f4b58ce4e2e61c4883d7e}
q4: {q4, f2973fc35dbb2f68602ac6ef7925a260}
androidx/activity: {androidx/activity, 3eadfa0b888e2f02c18f94a1365d3338}
x6: {x6, 75b4b39c6283d33d9a5973960a5e52fc}
l1: {l1, 9357070b7bd9e985a7494b421c05c5d3}
androidx/datastore/preferences: {androidx/datastore/preferences, 112e397e90beaacd392eb924576d756a}
i4: {i4, 7a8e53a3ae484bfb1fe66e1a23fb3a46}
androidx/core/widget: {androidx/core/widget, e402c6fb54f0bb0cc67fac31c08d698f}
k8: {k8, 389b0cc004ab2e9bc66e5f519c815807}
g6: {g6, 8ef7d576914524fcde2e8262d2db5c30}
o0: {o0, 39eb0fa13655b63861181f664d773166}
b5: {b5, 3a1475ab889dd131481892f95e82c067}
v2: {v2, fb9fc35d3204de41c307873275983ab2}
w8: {w8, 57dc2ac6f4e74d714da41c8f32949118}
z1: {z1, 90657c3ad8c5986fde8e73ee5be54467}
m6: {m6, fdcd41543c80bb567a16f3d5f3e9f878}
t2: {t2, 37948ef8c21c57d733d140da4c50639e}
w0: {w0, 9933c4c5cf8ca99f74e0ab88661b1cc9}
r1: {r1, 58a7f634851e15e91326301c12d57a33}
e6: {e6, 13f877a2ab74cf0f6fb9011d3c7bdbb3}
com/goterl/lazysodium: {com/goterl/lazysodium, f19ee39a3d74297ad856969a116413fa}
j5: {j5, d34510d767ac158a05bd122951d30faa}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
l: {l, 7ac2d05edad57ccff66389a984bd7a1f}
androidx/appcompat/widget: {androidx/appcompat/widget, 9f3d20fc253edfa7f303cf8618432ed6}
y: {y, d8bb22b766b7aeca66c0cc600e362068}
f4: {f4, dfb54d69d12a89412d4ebc94e85bbef7}
b: {b, d9e5ee97e05717595c4dc1118c4b378b}
k1: {k1, 12ef11085a2028b6fc34cbf36fe8dfd2}
k: {k, e55b38bd74e3a8573c7d7eb137a07393}
x7: {x7, f8141a7d0c2de9d5e81922a73a1f2699}
g1: {g1, 2f1e49037e0fbe9566d555727dee5399}
c0: {c0, d309049c2851bb38effa273bbe07bc32}
a5: {a5, 4a49c019984d29fd8228d6f9cdd32f99}
p3: {p3, fec0a7ec1b83c7002ed1e57651192e9f}
e5: {e5, 63a87c7bf70c9cada0fce7f83b1e95f0}
androidx/savedstate: {androidx/savedstate, 9065b0a77754c98ac610d0c8a933ae8e}
y7: {y7, 3391e90176d3d2973e442cce09455f6b}
q3: {q3, babbcbbb12f31fea2345a51cb57c8396}
l2: {l2, 3eb01404ebff06c9ecabb64530446de4}
i3: {i3, 0c8ea5ca4d8820e0810a553b5b1fe493}
androidx/core/graphics: {androidx/core/graphics, 981fd1a9d4c7d3eaeabfa311e1cd144f}
o3: {o3, 75b0f636649ebc27f9744890d04159da}
o8: {o8, c75638e9b532296f17b01d71da9abb5a}
m5: {m5, 7af78af45eee364587ae011c0cacd6dc}
t3: {t3, 7fb2279a4f3c394bcecba10913a3ce95}
j2: {j2, 8bbf7c1ec324a80c0656ea29edd66a15}
v3: {v3, ab5ca091cbbac7d2e554c468b729bec7}
h2: {h2, cf79f7213a6a746d969314cb679b8e2c}
u3: {u3, 3c621a2d8b61e990fa78040c44d3667f}
r: {r, 73e56202936f7601292dfa56672c1cc5}
d2: {d2, 3b97ed76705e50391b1ff5fda2f5496e}
f5: {f5, 601bf2b2fb46513ae728a5dc48b68f76}
androidx/appcompat/view: {androidx/appcompat/view, 9053e149f8ecc5dd39373c81d8a23c03}
w3: {w3, 1ee20395fae14adfa8ad6621c883b09d}
z: {z, 5718c7254c7cec4370a78c47547bf2ba}
androidx/compose/ui: {androidx/compose/ui, 9e134a21381efff34b0fe1a078029374}
d1: {d1, 9cb510fd54b763aed4389304a0f9f0a6}
c: {c, a434904922badc9b2322b64e4514ca87}
k0: {k0, e11b2f121939ae8fd77d1914aa0b7124}
g0: {g0, fa816159f755cbf01cecbcbd880de27a}
v8: {v8, 1a5543f6780842c0c920e3be11a140c5}
x0: {x0, 749fd7f75f7e6ef1f08ccdf658f0afbf}
b3: {b3, 5ca1211797cb305591ab52d3eb93ca2c}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, c6ae102ca80659e4234c07eab16f6cd2}
q2: {q2, c4775ff899895b680967e263bfbcf692}
e4: {e4, 493d0cc87644182205313abe729d3d96}
o2: {o2, 1ed3adf3aa7798705ef0276116ce90a1}
m3: {m3, cb2799382fe12c70e36ec8805e9d8c9b}
i2: {i2, 41d03c1d81b19b068d3ee24dfe38cd04}
androidx/lifecycle: {androidx/lifecycle, e52b1daa81af02762e59c7909ea93824}
c3: {c3, 7e1258dc16c3e9d2e6d05f299e57b9e2}
a4: {a4, c17118ef2ee6a32283651cad91148b94}
h4: {h4, 46d0be06680936d761777c657e062f0f}
t: {t, f492cf8f96b0dd0c6dff7f0ba01797ac}
j8: {j8, c1d06631bf4750340771126b1d9297cb}
androidx/navigation/compose: {androidx/navigation/compose, dd9d70743624c09d9ffd67a3d7a0d801}
j3: {j3, 6eaf662782c98f598709aec7bd2fdfb4}
m4: {m4, 4e3a3bda9976f17984d4d0dfba922dcc}
t4: {t4, 7b69e73590414ec23940ea77fbba2d25}
u2: {u2, 43583bdd38df6ac5802b60c71e71aa7d}
s: {s, b8e328ad48fac74d99326f5c67a87fb2}
c8: {c8, 34a32eb9fb01cea2005938a819846466}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, dac9d1659a6f671d2288f1f77fb52427}
n2: {n2, 8f5cc043e4c3eb8bc51f8b30e7aa2dc0}
k3: {k3, 632c2574508e65c1368eac3d5011b96c}
p4: {p4, 3c054f0cd0f04a0e573b8ac5f5479d9c}
r7: {r7, 868a3e8f34645eb15f89ddaa3fa9923b}
y0: {y0, f017b54d40381bfe519bd4e609e3f439}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
f2: {f2, 9503367042bea535e7a1a029d85ba244}
g8: {g8, 19a51c88d70bc7332ad3671f899bfefb}
v0: {v0, 447992e639314ba92af1fe0c537b7392}
s7: {s7, 47ec9fb56fc64c23fad1b429068b7aeb}
android/service/autofill: {android/service/autofill, c4e9eeb25e17c46354752ac4239a9772}
q1: {q1, eb91531c8d495eb8a30640df13bfb53e}
i: {i, 010f176d659c6ca9db1cf59e1effc493}
x1: {x1, 931886d2ba35fdefc6c6ba7ddb9223ee}
g3: {g3, 63d87e3a1878862f23f7b62bcade3a4d}
r4: {r4, dacda3e36d15f513100503c855cdf67b}
y5: {y5, 3f5185c7eb6d4433b04759ed0d95da22}
a7: {a7, a73b63c18beb310ef090d91389638555}
b0: {b0, dbc900db2d43e8f27d36c92d6011bd90}
m2: {m2, 739749c02c7386131fd93a24ab3517b8}
s4: {s4, f985998fe18bc929dc029247d14a1d43}
b8: {b8, e176f2e5cb36bc7632e3a4b8fc26e7c6}
o5: {o5, e49037cf0bc23aa651dc4056ef57f22e}
h5: {h5, 2ec42180906aebb65931cc7687052440}
n8: {n8, 4f6ac2c523c96026e97fc28080f14901}
w5: {w5, 3d5839a9972dec8890268a55dd63fbba}
c2: {c2, 68be661866a4211f210c8eba23d16f99}
a3: {a3, 961719ec4befc815af3fd1b715550939}
z4: {z4, e02437457fa8ce571522f4a13b6fcf2e}
androidx/fragment/app: {androidx/fragment/app, 5e04de74d1edcd5f78e0ad22adb306a6}
t5: {t5, 7e14b229df3bfed1728d330263b8e3ac}
j0: {j0, e3a145916b701956c2b18639256649a5}
com/hegocre/nextcloudpasswords: {com/hegocre/nextcloudpasswords, 3b001af27c3bf8b1fb0e2797c643258c}
l3: {l3, 980c1577bbaf76a2cfeddb52d8b5a74d}
u1: {u1, 34b93e0e55a490367c28e02a24e472db}
e: {e, 769fa5298916d346fab76baba6417d95}
p5: {p5, 856c5d78712480813d01da51d5def1a0}
d3: {d3, 4f5ffb2060d058b7ed56d703774b4b1e}
z6: {z6, 6fc2605ceec8960d5e22561e1defb629}
f3: {f3, 13c5a040ca0a427f3d5a00157dba3d89}
k2: {k2, 51b96e8da844b569a0ea8d1588a1fee2}
m: {m, e2a9d59b9cdfedcbba2692612d075c41}
e3: {e3, 032437989f45274136d0bea93bf17286}
android/hardware/biometrics: {android/hardware/biometrics, c4e9eeb25e17c46354752ac4239a9772}
v1: {v1, 561f06432d7563e4d35f88413126b6c2}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
y4: {y4, 85cb9b70143cb89f60ba066b49fa3fd5}
q0: {q0, 8387c98c6dc739b97c525f021580cc05}
u8: {u8, 9ea2adedd8116ebeb23e853068459d96}
c5: {c5, 6adaf7457f04e284c964cfde2d226213}
w4: {w4, 8786de775db21c1c8d989510e20441dd}
androidx/profileinstaller: {androidx/profileinstaller, 9bba0b064dfdcc5c883fc36cbc132cf5}
f8: {f8, 2e4c70f8e33bbb8d641af2b167ca45d9}
z2: {z2, 78fe96dcadc0f8352ac05606c3e2cc78}
o4: {o4, d63080ffdbbafc363c4cdec2b0f7986b}
m1: {m1, bb47e6cd0be0532aa08cabb70ebf8342}
