androidx/appcompat: {androidx/appcompat, 9c49104a0e02454519e1e4715af09bc1}
androidx/compose/runtime: {androidx/compose/runtime, 84d77706d875271534572008aa45be79}
androidx/activity: {androidx/activity, 70d91031fdc7cedf58dcf97abf9a168c}
androidx/core: {androidx/core, c4f213c8f14aec6c8e5128abc382b89e}
androidx/datastore: {androidx/datastore, 8785ba53c0a18dd39dbb65f81ca2a6f7}
androidx/compose/animation: {androidx/compose/animation, 124ee508018969400c900f4f81e039bd}
androidx/autofill: {androidx/autofill, fab46c12d5878e8e5edadb275bec3b77}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 2c9a009d304532b80cb7b287b44415e3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 6537a869a12fe1f6bfd8cfc547344251}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, 7261ddbd081ae01c65206c46260f8594}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 5aed9b277b0963275f2bee73f3b5ea91}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
javax/annotation: {javax/annotation, 53d0cf1e663261087e057f9ce5ae8ab7}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
io/reactivex/android: {[io/reactivex/android, io/reactivex/functions, ], ec64bbb9ff850c4f8e5bdfb803edce41}
androidx/concurrent/futures: {androidx/concurrent/futures, 02820adcbf662e9721f4e1bad6c7c754}
info/hannes/logcat: {info/hannes/logcat, 846a0aedef27364be0d889a5284e83dd}
info/mqtt/android: {info/mqtt/android, d6176a003ec901fb7e75273323897461}
io/sentry/vendor: {io/sentry/vendor, 5179788dec6c878021471c77615471ad}
androidx/browser: {androidx/browser, 66fe3e2acbb533824ee7364ce4b5e5c9}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
com/wdullaer/materialdatetimepicker: {com/wdullaer/materialdatetimepicker, b04b3200d9e9011a8f83da93a6e696c4}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/compose/foundation: {androidx/compose/foundation, 7fc7f15e1e88945775c9c7e5a1e2f671}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
android/support/customtabs: {android/support/customtabs, 2aac24614294b8e4cdf031c6380f877b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 40153ee88c1c8e6c65fdf83ca79e9ed0}
androidx/biometric: {androidx/biometric, ce8eedd4503bb06572baa4b1dba99624}
androidx/customview: {androidx/customview, debbb7cdbf09e84d96451fc2bfe4737d}
androidx/compose/ui: {androidx/compose/ui, f83c6e3b2ac8ca638b8cfa587bd1c94a}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
info/hannes/timber: {info/hannes/timber, fb5be5e8e3c44b1dc22fbd4e34d06359}
