androidx/appcompat: {androidx/appcompat, b68107a6723c0fb1e201f6bb21aae50d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 77f66f3f233005c8296c2239e1e59d33}
androidx/activity: {androidx/activity, 364ec0fc0b16505d22feca433cb7098b}
androidx/core: {androidx/core, a6c95dcca045f208256b85362de3c9c4}
androidx/compose/foundation: {androidx/compose/foundation, eb4ae33dfdb4bafec09807808aa28c87}
androidx/compose/animation: {androidx/compose/animation, 5281be1c08f5f15e213b11be6d145d61}
androidx/autofill: {androidx/autofill, e16d469174c864bfb3b7b7445880ed6a}
androidx/compose/runtime: {androidx/compose/runtime, 61a793dbee9c9fb1c1a660de8761d062}
androidx/coordinatorlayout: {androidx/coordinatorlayout, eb0a8bb05a4b614b8df1c7acd9b28f87}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c64c3914c972f76006dc69d5eb0d8226}
androidx/collection: {androidx/collection, 0e951b023f4cb0cdd92a2ce57c039074}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9eb5f499057cd9e3a345972f213b2cb7}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6e74b77871155406e9da38bfec6d5d4f}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, c59cc1e9f87611fdfae8c3be3ffc4004}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/customview: {androidx/customview, 6cc163645c6c4681065370bb86522274}
androidx/browser: {androidx/browser, a73544ec2d874ae0a6415882c4f226b6}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/documentfile: {androidx/documentfile, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/customtabs: {android/support/customtabs, f5cdfaf336b88856d7f28a0289911e1d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, deb0a9328cda3061bad87b67b9273a79}
androidx/biometric: {androidx/biometric, 41505e9003c0bd2ed836e6d811feb270}
androidx/datastore: {androidx/datastore, b08818d44bd0da2bfe0d8017e8818a96}
androidx/concurrent/futures: {androidx/concurrent/futures, 279b013c35620a1f15ec84be92e7e97b}
androidx/compose/ui: {androidx/compose/ui, a98a767ccc295a97d1ec51ed56c59f47}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
