androidx/appcompat: {androidx/appcompat, 514e8a8aaa2e5355b6c93deffa4b0822}
ezvcard/io/scribe: {[ezvcard/io/scribe, ezvcard/io/json, ezvcard/io/html, ezvcard/io/xml, ], 1fa8f55962bf6a06143c0716e0b05cf3}
org/xbill/DNS: {org/xbill/DNS, 47123d6d69e6c82b2dd9e36b539a6f1d}
kotlin/internal: {kotlin/internal, efe5afb0188f498d2cabc4216fefc31f}
androidx/activity: {androidx/activity, e54cc6383784ac2a777d1a36ac2fcc1e}
kotlin/sequences: {kotlin/sequences, 443a52c3df4a94a16311cf102c270d9f}
androidx/compose/foundation: {androidx/compose/foundation, b7f5713aa19162504c37c7489d11840d}
androidx/preference: {androidx/preference, 7c01c84c32f902e2e9adff0e22b0cd09}
kotlin/math: {kotlin/math, 0c3c2c87cf455ad5b1066c09869a32f5}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 12fdc460466ebbf23315bb5d0e09caa1}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 22d9e3da49be69f5bf54e5493bf6c155}
kotlin/random: {kotlin/random, f5ba2085052226ab6d59b6cd9d6009bc}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, 1d15f2dd38fbdc2243723efa2f29ed1e}
org/xmlpull/mxp1_serializer: {org/xmlpull/mxp1_serializer, ab93a55a5e5d32ba6c7e4a8d7cf5fc67}
ezvcard/util: {ezvcard/util, 833d847ce0d84775922deacf73de82bc}
ezvcard/property: {ezvcard/property, a13013e63d7846f25019507f291736ec}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/hilt/work: {androidx/hilt/work, 55ebc1712c411cee1d195b9523370e41}
org/jsoup/helper: {org/jsoup/helper, d9671582891618a99c32513406ab4997}
androidx/savedstate: {androidx/savedstate, 8af46e87a12dffc64a1463ae0b3f602e}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 68d53547187127074a360d02fb30302c}
kotlinx/coroutines: {kotlinx/coroutines, 1ce8abb5a98f4c1809262fff4c3dc9da}
com/github/erosb: {com/github/erosb, 2d9470381907ae4b892bec8f1fbaab9c}
androidx/compose/ui: {androidx/compose/ui, 13d411f1a76b37740054bc53a3c19b7e}
androidx/databinding: {androidx/databinding, 565f060e620a51420ca64e5734597193}
androidx/loader/app: {androidx/loader/app, 335ca6e75e6b1a0dd74dcb13fc1d84e7}
androidx/room: {androidx/room, 31eb213506d6262e5879bea2d4626cf3}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 55797b5b547dd260e3b10aeee7778678}
androidx/sqlite/db: {androidx/sqlite/db, aa02eb67d95413d2f09c00b85cc07ba8}
androidx/lifecycle: {androidx/lifecycle, 40dfaf8a935fca2800709f9cdda37d6c}
kotlin/enums: {kotlin/enums, d03d8a6cf146aa225987f72266a1db15}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, c342215c815ebabb2a4f200b3d1abc73}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 4588ff9fe7f9b3732199722f0fae90f6}
kotlin/reflect: {kotlin/reflect, 5367c13d1fbc23d456d3b108e199c405}
org/conscrypt: {org/conscrypt, 2fb9438c2f3cb6826733206abba35255}
kotlin/text: {kotlin/text, 4e9da56f7e47b8ebae78b58d6e927454}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, df72827aeb2a6a6f0fd5baf60880727a}
okhttp3: {okhttp3, bbfbd989f2a30bcb1a15feb324e0e38d}
androidx/viewpager/widget: {androidx/viewpager/widget, 0b450f7b7a71fff905442c17961fe135}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
androidx/core: {androidx/core, 1510f4fd26ec6727666277879c10e243}
androidx/collection: {androidx/collection, 66888989d42ddea0a69f25db278acaaf}
ezvcard/parameter: {ezvcard/parameter, 86982c4458861d66b9dca7678adea7b7}
androidx/transition: {androidx/transition, 0ca91655cf02215a3d26e176479a6352}
ru/nsk/kstatemachine: {ru/nsk/kstatemachine, 1ee13f0eba8c55b482d09e1eb1c13331}
org/xmlpull/v1: {org/xmlpull/v1, ea69ca0fda6507efc38062ea02d312ed}
org/jparsec: {org/jparsec, dc67f66923217bd2fcc7ca7b881bc8fa}
org/slf4j: {org/slf4j, fa907dfe07748d0d4bf05cd54728400f}
androidx/browser/customtabs: {androidx/browser/customtabs, 0066dff14efaf9ed69d0a4c6c76cd347}
okhttp3/brotli: {okhttp3/brotli, 9cbbf01f88b6a2dfe76ab1942afaf531}
com/google/android: {com/google/android, 9d76e33ab270517464387e17725fa0ea}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
androidx/viewpager2: {androidx/viewpager2, 6936c2e40c95340b6e86680378736c6c}
androidx/customview/view: {androidx/customview/view, 416eb9b0775e4fa8a6566db75d18b28a}
org/apache/commons: {org/apache/commons, bcd653d45a937364dc6b790a488e257b}
android/support/customtabs: {android/support/customtabs, 505bd7cbe2989abc92d254fac882c81f}
ezvcard/io: {ezvcard/io, 945ccbe2345241e2f095d585b097ef83}
androidx/recyclerview: {androidx/recyclerview, d6ecc5e6c8e8a80d8d955b617eed4529}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 6ab6c2e619eda2693fafd605feaea4c6}
com/google/accompanist: {com/google/accompanist, b59ed0dccbbb0fcac2a045fe83a55a21}
com/infomaniak/sync: {[com/infomaniak/lib, com/infomaniak/sync, ], f20434fe3cc2dc464d615b52530b5baa}
kotlin/jvm: {kotlin/jvm, 76b93c8ab3eef1488d2909420e883659}
org/jsoup/select: {[org/jsoup/nodes, org/jsoup/select, ], c7b7c41aa1ca3df018d56313ea807027}
kotlin/io: {kotlin/io, 3dba7efedbedc212f8093c057efa68cd}
com/github/appintro: {com/github/appintro, 38f6f9fcdd4e9c64d2f1ce115cd9e26d}
androidx/compose/runtime: {androidx/compose/runtime, 19385ffd48c043c6e6c5b6fc340fd25d}
androidx/profileinstaller: {androidx/profileinstaller, 3b882211771de4163b459145b48970de}
org/dmfs/tasks: {org/dmfs/tasks, f4db63d9c1072f2e7d4deb90ffa83372}
androidx/emoji2/text: {androidx/emoji2/text, 2a52a5b88eb1cac3aad7e08da85dc68b}
android/net: {android/net, c4e9eeb25e17c46354752ac4239a9772}
com/github/mangstadt: {com/github/mangstadt, 959b6d103e01adf39ca509554bca65cf}
javax/cache: {javax/cache, e718713b4822a85921ed8753b264fd67}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 79087cc1453ae8ad5905c23ea42400b4}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
org/xmlpull/mxp1: {org/xmlpull/mxp1, 71af52ef5219de0338d3a36a070e5f02}
net/openid/appauth: {net/openid/appauth, 1ccb3dc782be7cc1b07c03b90baef7e6}
dagger/internal: {dagger/internal, 67f2d6a44b7540630463b04d74e0cc88}
javax/xml/namespace: {javax/xml/namespace, 6fcfbe4dd2bf38bfd4191a1fb9543b62}
androidx/drawerlayout: {androidx/drawerlayout, b41ca484a84e40b68cd0eb9e06fe974c}
kotlinx/collections/immutable: {kotlinx/collections/immutable, ee0a9c58fe7bc214e475730d228a5357}
androidx/compose/material: {androidx/compose/material, 06b0c1b617057d5b317ce9c041559ba7}
at/techbee/jtx: {at/techbee/jtx, 43a0f8fabff75a7e842c223bd4fedf04}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 6d4298811fe39d7c383a9e7b5b4018a1}
androidx/arch/core: {androidx/arch/core, 731cec409a750292d3c4aeed6e4ce94e}
androidx/security/crypto: {androidx/security/crypto, faeeafa1d868e6e1b04baa3ccb2d7bd9}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 95207c4c481e88312d845c6071fb96e6}
okhttp3/internal: {okhttp3/internal, d4b3a3713c639f614cc14c8e480896f3}
ezvcard: {ezvcard, b21e9ac4688a9bb620baf70cceabc87b}
net/fortuna/ical4j: {net/fortuna/ical4j, 9f2660a4c1381b5d27f47648258f97e3}
