a6: {a6, 8d9201afa6309cc25058edfbf9abcc55}
p2: {p2, 7406bf3465ff71ad486b183ed21f4d81}
androidx/camera/view: {androidx/camera/view, 6eff576045a449a6e01d8af9b2559440}
t0: {t0, 6ab39be0147e0a2066fdba70161306bb}
j: {j, 2c8e2a32c4d624ad5e2eb01814cbad5a}
c1: {c1, 3f72168bb08e5d3bd6a7130405f975f3}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
q4: {q4, 209e06126427a01b21cf641ca1e92099}
androidx/activity: {androidx/activity, 351bc5a8135b3de9c92c6bdbbb49fe34}
x6: {x6, 83145a5346efa2d618cf03650a63b5c6}
l1: {l1, 67d64b750b450c23b79ce61c2fd3c517}
androidx/preference: {androidx/preference, 5afbb86e705820a5250e29a9955c92a2}
i4: {i4, f49dc6680a7e3b6b1c9c9c80918f8b85}
androidx/core/widget: {androidx/core/widget, 6618f9a392bdb09e3082e6198954096e}
g6: {g6, 6c8a445d6e5ea8fb3859ef9e0bcdddbf}
o0: {o0, 1fe4c7ca677619d6b72fc9cf92847364}
b5: {b5, b5fea27ed5876deb12dc631d445598ce}
vn: {vn, b7500a847a03610c7b77404c9e3de229}
v2: {v2, cee0efdfaeadea5aac301dde33b04414}
z1: {z1, c1701a5301c96747a80e38c5b92fd6f3}
m6: {m6, 15c29dff54935fcf20f1cf2d4fbf4250}
t2: {t2, 663950d1c3255f6a9a9e95a7cc2d96e2}
w0: {w0, 39cf09b1d7762c174e8a52551931a8d3}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, dbd29ba3faeae08d68ce9d9d2504f6f9}
r1: {r1, 2698a2f377f88ab5caed9b17012f1918}
e6: {e6, 57fb983eeb06616642767be20a61c10e}
j5: {j5, e027a69b01970ad51ec21844b21f569c}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/core/provider: {androidx/core/provider, eb573c48020169b31187e993267fb943}
androidx/appcompat/widget: {androidx/appcompat/widget, 660056b7801479100828c9927dca7cb1}
y: {y, c545132e917cf24e0fcda50c6467a2c2}
f4: {f4, 3aece89d60aa5d619ffa406c4cceed99}
b: {b, 4d54d6832036958f138aaa2c1d00402f}
k1: {k1, 427b2778472e95b2200b40338570a940}
k: {k, 1912b2ebb071fc8ebf86db27bad982fa}
g1: {g1, 4feb4e80844acc12ae16fef205bf1771}
c0: {c0, 1630bf304611c2661fa5389279535aad}
a5: {a5, 1a59842188066219c029980596c93ac9}
p3: {p3, 8f40fe65633f1142bb225baa0257e2e8}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, 7d8435e5b18d3ddab1e1dee6eb437555}
b2: {b2, b46b2d892bf04b66531622c4bc8cb805}
q3: {q3, 6afda9160a3f6f070ea08a78480d0ecc}
d6: {d6, d68ad4dfde1012b64b24528f360381df}
l2: {l2, 02eb4bd706205148eae1399fac0392e7}
i3: {i3, a958230cc73f9b53b7f3e9ffeedb2275}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
androidx/core/graphics: {androidx/core/graphics, 4d80f787601bdab8522b602163d41d0b}
o3: {o3, 8125a093139117edff151813071cf325}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, db002e842f5bdca72ed0d436dbe0da6a}
m5: {m5, 1521976daed71697a6b69e14ee0ddcbe}
t3: {t3, 7004b9b12802f99d141a71582a89144c}
j2: {j2, 0570335f16fd89e76d9b1dfbb9b1e05a}
v3: {v3, 7cdbde2b8e910979672b874e8b37fb72}
f7: {f7, 1bf3b27f5e09b4bc5fd3c5166e09bce9}
androidx/datastore/preferences: {androidx/datastore/preferences, fb70449d5a86ca2fbae929a36fdcabc8}
h2: {h2, fcfaea86cc704c6b69466d1f807a3afa}
n5: {n5, c38e89f70c4d1f72cf9f2c8111f11c71}
u3: {u3, 763ecfa57bd42ec876c00a6d70e5493f}
r: {r, 66dde7360eb4b556115fc7044692f363}
z6: {z6, 1eac3ab0ced1f390ef913861e94d7e10}
f5: {f5, e72b4b4ef7edca78943e621e05491cb9}
androidx/appcompat/view: {androidx/appcompat/view, b8a8f9d833954665dcf6ffb8aad96cf9}
w3: {w3, a2a2d1b278bf97fb908f8488dee9ecd2}
z: {z, 85de3bd8814184d5a10b395c6e1fcf80}
r6: {r6, 5538d2f414529cbf647cf46891822557}
d1: {d1, 7898a51d59d9e5fbe1888714d8a4fef3}
c: {c, bc71402c06698597c21ea93eaeda7f79}
k0: {k0, 8313cdf54e64752a8895369f6ba5db7b}
androidx/databinding: {androidx/databinding, fee94ff3ff049073ad2453b4fd94401b}
androidx/loader/app: {androidx/loader/app, 28ef0c65c62ae8000d09f2ac214158dc}
g0: {g0, 87418463048eeeec3d3fc7d1f8fe8c1e}
x0: {x0, 8d192980636bfcf6431d398383ecd7fe}
b3: {b3, c08c26014433cb12ede113148b477d95}
w2: {w2, 8a8cfa7db8d88f831cf1f9d43312e0a3}
q2: {q2, 3f52b61b34cd32fe8f77504d45d806c8}
androidx/media3/ui: {androidx/media3/ui, 09c4ad5611b63f17b6a8773e25d6ce42}
e4: {e4, 1be52fedae4934a1585617beb9ec1c14}
androidx/paging: {androidx/paging, bcf9f666c59e5f58a21b2af07dec9319}
o2: {o2, 4a648c2a3aa9f1e658fa842a3f255c93}
m3: {m3, 84f9a2f49c8e744c5094656bd4f48265}
i2: {i2, 525be6f5a289fe3787fd208d33b62f02}
androidx/lifecycle: {androidx/lifecycle, 6a1edc60ecbd5d88065a0c6394b067bb}
c3: {c3, 55b70a32e7def10fbe274ebc7074b706}
a4: {a4, d935d471f167e650329e419e98f8cfa0}
h4: {h4, f16a4d154b84093fae5ba0d765e0e7f5}
t: {t, 6f31fd30b2c1ab899f65fd49f705a72b}
g2: {g2, 9f82e4ffaf662736b05e7e4bedd699aa}
androidx/media3/session: {androidx/media3/session, ad2a21975492aa0e211983c516d16f93}
androidx/media: {androidx/media, 9c99cb108a6d71596924730260761d91}
j3: {j3, 944322e43bbf4993f22ace18cf06edf5}
androidx/exifinterface/media: {androidx/exifinterface/media, c91314a70ab9cd40b134e78bcd8ea87c}
m4: {m4, 47b54f0849e3b85eaa8ed03859794610}
t4: {t4, f376a323b1b26ac691ff86a020e78f81}
u2: {u2, df27753f371bf1031edc1149c1781c98}
s: {s, 80f04953f097d082311f8c235b1fd6b0}
d: {d, 2b1d0e05467bfbc0ca86a6e352fd3d1f}
h3: {h3, ca08bebd11a831915a40c5496d08a1dc}
n2: {n2, 12522d6c863fec41f5e2374154cd5b2c}
k3: {k3, 0d6dc6a75127f224bf6bce757680c1db}
p4: {p4, ddb207e6aa0e3ffe587410d8bc46c412}
l: {l, 8488b48f02527d82e7ce0fb438a017fa}
y0: {y0, 37d3bd45465b08a01259ddfbbedf1f1c}
androidx/compose/material3: {androidx/compose/material3, 26478ec269df0ef3c440d9876e9d4f8a}
f2: {f2, ce901fe40b372af58b6b849ba040ac28}
v0: {v0, 8b9c22cdf6f53526aebdd61ff65b45b7}
d2: {d2, 109b09d824101fac84ed883ceb3c9437}
q1: {q1, 02fadb48dd66d1365fbdf8b877ff823c}
x1: {x1, f0a037f37899099fc79f8a53a1770e16}
g3: {g3, 26ec1c7d08ed24d7c24cd3d17e943ace}
r4: {r4, fbf40606af9bdd7ceaf6601da95f6517}
androidx/compose/ui: {androidx/compose/ui, 5e5ab2338f13d6bd6d9c6283b3fb243e}
y5: {y5, c3054570248e843ed1ce66b61b1a8b61}
b0: {b0, 071b6f8d028e6df89eae8a1cb4922955}
m2: {m2, 1bb531854019c58735f49194aca2d373}
s4: {s4, d6192829b418ba55a1412a39b9178d41}
d7: {d7, 0680eadce1c12bf21566c1aefe4e6592}
o5: {o5, 5330e550413e22d18a08919264e29e6a}
h5: {h5, b4bbc15fb42a4e90f19e39ee06d4f364}
w5: {w5, bb41cf02c2d2dd2b47fdd2833031d718}
c2: {c2, 7cab509b079438cb7777e067bc9cc9cb}
a3: {a3, c6300bd6032128d9aec4135a08804cf8}
z4: {z4, d5e3c1fa06fd176f02ecbf00a626f635}
androidx/fragment/app: {androidx/fragment/app, 64651100540bb03efc64aae6454b98ab}
t5: {t5, 3d88f4a36052821abfc55f25ccb85f01}
j0: {j0, f00e7e5deb096d0356d2b39d2b22a4a7}
l3: {l3, 6cdab081ebae2f71f8007d68021d5c73}
n3: {n3, 650f61fffc492c135fe75fe95c67204d}
u1: {u1, ddd7a857171dd149cd1ced49b6d4726d}
e: {e, 264eacb75633d0b4c19388d291cfdf2d}
p5: {p5, f85510f179f6a477eb52b2362aa2b1cc}
d3: {d3, e5032b27d62c2c1275efcdd3d6b38797}
l0: {l0, b74983b8cbd9f4745251aea45ac5b436}
f3: {f3, fbd83e75bebdefd297f831350baf7cbd}
k2: {k2, ee74ca3c0c2575e80570616fbcdc85c6}
m: {m, b45dd4f96ca7b90a9360d19cc360f663}
e3: {e3, 5202221b2c14308dc7df8106e8cf0ae8}
v1: {v1, b2fe265546b95e7b1b0ee7bd8fcd14dd}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
y4: {y4, 5448989fdf276836c4071010ba365f59}
q0: {q0, 4e5928bb561ce8ec72f17f260399e46f}
f0: {f0, d4f20cdd7aac3f81f91119017a8f280b}
androidx/core/app: {androidx/core/app, a131a5afb757d13bcdfd458b08116caf}
w4: {w4, d2107c37b672dcbff4a3c159c11e9855}
