androidx/appcompat: {androidx/appcompat, 7d7b45ffe459510523224d8f7ca2ba1a}
com/itsaky/androidide: {com/itsaky/androidide, aeef1581e37941ff7abdb53de14ac186}
kotlinx/coroutines/channels: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
com/github/appintro: {com/github/appintro, e65ed56484618b5452c7de383d8ae0bf}
androidx/room: {androidx/room, 39afcb7f407ffa8c3ba16a1019aba411}
com/google: {com/google, c80424672495bf106f380a2697a64011}
androidx/activity: {androidx/activity, b1b2f2c2fd17e350f559341ce2eb113e}
openjdk/tools/sjavac: {[openjdk/tools/javac, openjdk/tools/sjavac, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/customview/widget: {androidx/customview/widget, 1ce2b4e16611c1fd07d6a8ee46d8f6d0}
javac/internal/jrtfs: {javac/internal/jrtfs, 64d629eaf2d9e375402977076ca1b9b8}
androidx/core: {androidx/core, f0bb629ca12d10a3010e697c821f3017}
androidx/preference: {androidx/preference, 855142645620ca44027b404c9a7444aa}
androidx/sqlite/db: {androidx/sqlite/db, ad711a8bf9f042423d68f847947bef79}
com/blankj/utilcode: {com/blankj/utilcode, 872df8961797573abaace4e970a70a04}
androidx/lifecycle: {androidx/lifecycle, 96955d512fe0aad7a807e200d5ed8180}
androidx/fragment: {androidx/fragment, 7f7408d2f22c4312a6e5ab08d7fc23b7}
io/github/rosemoe: {io/github/rosemoe, 558be874422fb9e71342f32cf73fa87a}
androidx/navigation: {androidx/navigation, fdb14a0d93441091dbe89716430f1898}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 8e92a02cf536f6507e67dfe4caf403e6}
com/github/javaparser: {com/github/javaparser, 5e49fc35492c7c480da303ac11b8fce2}
javac/internal/jimage: {javac/internal/jimage, 04bf8e66e7a848dd3411465020c71e9b}
jaxp/sun/java_cup: {jaxp/sun/java_cup, fbceb3efd373d31d8bd8cb6e21f56ea4}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, d675521541636dd385311ac1c1e59ce7}
com/unnamed/b: {com/unnamed/b, 5aeb7d522e6409cb3f887d1579b2ede5}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 856f60c053cc4a2898672d6dc835d26b}
androidx/collection: {androidx/collection, b9369b05b5e5901ee63588377ddb6ac5}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 62e1321d2081db4c556ee982acb5d64f}
androidx/sqlite/util: {androidx/sqlite/util, 34ffb0c68e62b3f33dbd388feb05c53e}
androidx/transition: {androidx/transition, 395f75f13aac6aa6932c0853eab89d3a}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
javax/annotation: {javax/annotation, e8f720095607466b5a36183205054027}
androidx/cardview: {androidx/cardview, 5118798422370bbd947ede663c8c1149}
android/aapt/pb: {android/aapt/pb, ca2101d9c44714c9b23727f620004f64}
androidx/drawerlayout: {androidx/drawerlayout, 7c5118bfe130447874278bebcc9b487c}
com/googlecode/javaewah: {com/googlecode/javaewah, 86bff6c3ce9642f3b907ad2d3767cf97}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 9329d942eed061cf24f2b407b1146703}
com/sun/jna: {com/sun/jna, cd19a978abed2f79f8224ed2181494f5}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 08e5a5337f95087cbaa291568fcdc5dc}
androidx/viewpager/widget: {androidx/viewpager/widget, 1759bc76bf7a4cc278cd7e26cd9a8586}
androidx/work: {androidx/work, d440a7be415f362ba22c54b2253f58a5}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 7d76e9114066361c7e182a228151bcbf}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
jaxp/xml/stream: {[jaxp/xml/namespace, jaxp/xml/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/arch/core: {androidx/arch/core, 600f49e88f1d39f58affb31be67ac0b9}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 6066f4bb6971d5dc9be318ecb0a3c717}
androidx/emoji2/text: {androidx/emoji2/text, 90810dc0391aa9b43b22c3130e54829e}
_COROUTINE: {_COROUTINE, f087760f1c43af541fe769e3c6865d4a}
com/android: {com/android, 2f23abae4f13fcfa78169f84ca7ac4a4}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 760c667b611e74020bcb648e6b7b8438}
com/squareup/javapoet: {com/squareup/javapoet, 1920da32aebc5c6017eba6d7891b12de}
androidx/viewpager2: {androidx/viewpager2, fa52aca9823c3fc48a073c79fb2e4614}
androidx/exifinterface/media: {androidx/exifinterface/media, b3c785dc2ebc05d181c65cccf10d8ad5}
androidx/savedstate: {androidx/savedstate, 562077c07746ea292475764296c4844f}
androidx/customview/view: {androidx/customview/view, 01ffe38e85c265ab47a3838bed62a845}
com/bumptech/glide: {com/bumptech/glide, d6b512bb35f3bffac2cbe6fcd4eb529f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 8d8af613e1b6281ffea2457053245c46}
com/termux/view: {[com/termux/view, com/termux/terminal, ], f70e35ee2316619b5270233063021c9d}
openjdk/source/util: {[openjdk/source/tree, openjdk/source/doctree, openjdk/source/util, ], ac9c542684f271e7215c00369bbb793e}
androidx/legacy/widget: {androidx/legacy/widget, c19756283a50b0dabd9d7d65833bc81a}
androidx/tracing: {androidx/tracing, 92577b9e5eceec04bc54d4451ccc3f3e}
org/commonmark/parser: {[org/commonmark/internal, org/commonmark/parser, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 5a4a2d2cf21d46b59fd7efa28c71895a}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
com/termux/am: {com/termux/am, 22ff85010263fd6f9518b75fd1910bac}
androidx/recyclerview: {androidx/recyclerview, 6218e9d1d42bee1875e85d9af90c8ba7}
io/noties/markwon: {io/noties/markwon, 84f5b8b4b9e1be1c3efd4cd55efd4f76}
com/termux/app: {[com/termux/app, com/termux/terminal, com/termux/shared, ], 5aa2caa01842d7aa999b7bb8bd8dc73b}
androidx/loader/app: {androidx/loader/app, 74281e3ed2ff8eaa4f6683fe32e51678}
