androidx/appcompat: {androidx/appcompat, 331f0b035aad114ea1c0f121c150ce72}
kotlin/collections: {kotlin/collections, 2d2c18f68cac25a45fa4c03a5b5c4728}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
com/jakewharton/byteunits: {com/jakewharton/byteunits, 9ae1d3b700345b9aa856849c0cf169db}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
kotlin/internal: {kotlin/internal, 1bd266152315953ddbf24b2abc116549}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 83e7b25bb95dd2563118fdedea7ea94e}
kotlin/sequences: {kotlin/sequences, d6483b5f3a8a7bb2c4554d788c9aee42}
androidx/core: {androidx/core, c5e9a178362a271f484ebc820a48855c}
androidx/sqlite/db: {androidx/sqlite/db, 6297bc06a887a7923a2fb34867426273}
com/bugsnag/android: {com/bugsnag/android, 3fab12cccc1f8ae3c3904ef2914b4858}
kotlin: {kotlin, 9af1b650ae02160cbaea64d325ace6e5}
timber/log: {timber/log, 8fea8ad3dab3f4dec2bb42bb8603754f}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, c15aa7c988509fd15afb86c0b6842a79}
kotlin/reflect: {kotlin/reflect, 2f98f4fd60829d2567feda6a980af495}
kotlin/coroutines: {kotlin/coroutines, 3bc9f9e196c210c2a8f89db777d662de}
com/google/android: {com/google/android, c143e5113b5afb246bdb16c91bb95138}
kotlin/text: {kotlin/text, 7f9d92811c58e938fdfd52650140c972}
androidx/versionedparcelable: {androidx/versionedparcelable, 443af030ba60dbf0bc40bfe6e7299bc0}
okhttp3: {okhttp3, 461d3ab4fd158e8ea78e58f937d77ea1}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f92698d40f3160e4546b72d9c7457c29}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], d3afee2197ac687d4840f376d3b624f6}
androidx/collection: {androidx/collection, cba8b7f2fd5fc36e9b9a469a56e46928}
dagger/android: {dagger/android, 0bc067f90eecc9c4791b0022a61ae0fc}
androidx/interpolator/view: {androidx/interpolator/view, 7693126302085a4c375c1dba2c4dfa42}
dagger/internal: {dagger/internal, 3236ffd675afb956ae2cf7f9abe3bdb4}
kotlinx/serialization: {kotlinx/serialization, 3c3dc205b11c30d7875d1d8a022ef98c}
androidx/browser/customtabs: {androidx/browser/customtabs, 02cc7b3b4004937f4dcaf0f80c0a4cc1}
kotlinx/coroutines: {kotlinx/coroutines, a2840114d2d3cdaf07d4c72c3a353b38}
okhttp3/logging: {okhttp3/logging, 5afd77040ef4abc3d59859081ec383b2}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, 09c8c4e3a18f0a75c5323e3a6b8ab45c}
androidx/cardview/widget: {androidx/cardview/widget, 24cdfc38eb0a4028c1c6d977788cbecf}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, f30e305f9c9d772265cad91173495aad}
com/jakewharton/sdksearch: {[com/jakewharton/presentation, com/jakewharton/sdksearch, ], 5328a24963912fa67a484e3f0facc713}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 992a8a095fbef4ae7036f925f416f4e7}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 80f89a8b3afa238a8a67ae25fc1201c3}
okhttp3/internal: {okhttp3/internal, f8e7eb680b60d0d2505ffa29ac6bd640}
kotlin/ranges: {kotlin/ranges, 3cdc04e8559c8145633b64832bdfb492}
androidx/customview/widget: {androidx/customview/widget, f85ce2efe6955831312436aef01f2776}
okio/internal: {okio/internal, 0171342ac80ae62c9a469aaaeaf26aa9}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
okio: {okio, b8182fd3f14ff8522d61521e9b2d331c}
androidx/recyclerview: {androidx/recyclerview, 786cdb131cd4de695f326f5a324970b4}
com/squareup/sqldelight: {com/squareup/sqldelight, 24e619d0eff1e638069514d44e9ec801}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
kotlin/jvm: {kotlin/jvm, 554625492a303c4c4b8fbc7d06459c67}
retrofit2: {retrofit2, 6d4592e92fd1d8b1925d6493edf759a6}
