kotlin/collections: {kotlin/collections, bc909facdb3e0b3fd631c113db2dc728}
android/arch/persistence: {android/arch/persistence, c125fe90d42294b8aa3672301b5e133d}
com/mindprod/ledatastream: {com/mindprod/ledatastream, 6c11b716020990149ef8546eab8e2123}
kotlin/io: {kotlin/io, 1613a5d9699b2fc4e0e058e036ce7aeb}
com/github/kittinunf: {com/github/kittinunf, 7fd4e762d9fdf4d34347f80040312b69}
kotlin/internal: {kotlin/internal, 74e65f1b324d59e4ac4ea847a2f1b77e}
kotlin/sequences: {kotlin/sequences, c9d65b78c7cdb525f27ad59bc6915353}
kotterknife: {kotterknife, df9d2b51f2407fa139a7e5a65511e2c8}
kotlin: {kotlin, b8f16d27cc2707a15c024a6fe41e8330}
ch/qos/logback: {ch/qos/logback, 9c1db0722c39dee519303a871135a253}
com/jereksel/libresubstratum: {[com/jereksel/changelogdialog, com/jereksel/libresubstratumlib, com/jereksel/libresubstratum, ], 2cf1f349fcce22f81073bd4fc030b41d}
kotlin/reflect: {kotlin/reflect, 9f29662572d2dd1fa66b588ee09721d7}
uk/co/deanwild: {uk/co/deanwild, d4dc89b08905a31f3615be230b185158}
org/reactivestreams: {org/reactivestreams, 8f839394dcda8ef7514b8b0e2f5f9880}
com/jereksel/themereaderassetmanager: {[com/jereksel/libresubstratumlib, com/jereksel/themereaderassetmanager, ], 21c28631c803e904f51608b6a4ae67eb}
brut/androlib/res: {brut/androlib/res, 965fa1733c2fa5627ee40d08ca8c9501}
com/github/clans: {com/github/clans, 78ffd7f11077633fecc9573c7cfa5081}
com/jereksel/omslib: {com/jereksel/omslib, c52935134adb61d3ad4e0c7ff2a985e2}
cat/ereza/customactivityoncrash: {cat/ereza/customactivityoncrash, 4b972a5bbc88897c8fe6817167f4427a}
dagger/internal: {dagger/internal, e32864882a8f50e6eb4d080f94d64abd}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 88e5069f28b98bf0dda95e21ec785c7a}
dagger: {dagger, b6bc30792500122cd3760b9cc13c86d6}
android/support/v7: {android/support/v7, e7439d60ce89d33f44e5bc7f86f4e466}
android/support/compat: {android/support/compat, 049ed6b40b8d38e8e0dc09006b3110ed}
org/slf4j: {org/slf4j, ef2d94fd6490c8c8bf314bc271aec6e1}
org/jetbrains/anko: {org/jetbrains/anko, 89b85c55b8460222a25d73a432eb4a16}
kellinwood/logging: {kellinwood/logging, d69b3ebf70f9cb4b8ba01cfc93a2657b}
org/apache/maven: {org/apache/maven, cc2dcd3a3f651ea0bda963b399499cef}
kotlin/text: {kotlin/text, 119c140c86ecf5050dd40facb70b9d5c}
android/support/graphics: {android/support/graphics, 11367f26018910bf102a0d51b3b75812}
com/google/common: {com/google/common, 70a59cfc3be0636bef1bd6c5a62bca7d}
org/zeroturnaround/zip: {org/zeroturnaround/zip, 5a3852c5c0939021db9c6c8a998aaed2}
kotlin/properties: {kotlin/properties, acf7ef943fdeb3cbfed8dd0d8f584731}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
projekt/substratum: {projekt/substratum, 69fb30afc2c8434c96b7579c91259cdd}
android/support/design: {android/support/design, 866d80675b3f134c4a44abb11cb48b49}
kellinwood/security/zipsigner: {kellinwood/security/zipsigner, 17e8fc313063922cb04c1cb82b019bdf}
io/reactivex: {io/reactivex, 5b75046bc111961bbf66e49c68b7b5ef}
brut/util: {brut/util, 77693134b8e8b36e8224b7c435bd80cf}
kellinwood/zipio: {kellinwood/zipio, 54a36890cc097337fc08ec4af396a1c6}
kotlin/ranges: {kotlin/ranges, dae393859daa3697554c5b81bf42ccab}
android/arch/core: {android/arch/core, 5a985a32090a7104331d3b274f57a0f2}
org/apache/commons: {org/apache/commons, b1f0f694bd145f78678c871649709c92}
kotlin/comparisons: {kotlin/comparisons, 167f3310b429010f8d72e0bc35ba454d}
android/arch/lifecycle: {android/arch/lifecycle, c9a68cf4fc8fb03b1f5f008e724113bd}
activitystarter: {activitystarter, deb2d5c3a03ae68ce498d42b1f8d200d}
android/content/om: {android/content/om, 822570459677ea71144eec1698ef8920}
kotlin/jvm: {kotlin/jvm, 2dd05c93dba0ece3242e57c38d003605}
