androidx/appcompat: {androidx/appcompat, 04967fc7a3eed23b926ba9eaae10609f}
coil: {coil, e777d9a598e76dcb496549328e6f9867}
coil/fetch: {coil/fetch, ec36e62a9c75b66232370af4716fd1d2}
kotlin/internal: {kotlin/internal, 94d9213aa261946e1dda2a0e4b18b1e6}
androidx/activity: {androidx/activity, 63f1966ff88979d9c2aceb07e52e0400}
kotlin/sequences: {kotlin/sequences, 7dd2e28593d7474b543503e23308a68b}
androidx/compose/foundation: {androidx/compose/foundation, a836c9124ef81d6ea2113a5b1e473837}
kotlinx/serialization: {kotlinx/serialization, 5f85ac0d03b5b8a2524feb1d986f7f53}
kotlin/math: {kotlin/math, b773f1fd78b308a9d0bb0758d20e9c71}
androidx/compose/runtime: {androidx/compose/runtime, 19a6e5ccdbb3e20c41f04cc66c5d3a22}
com/junkfood/seal: {com/junkfood/seal, ef927b6a290831b7e5cced2317ac57fd}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ba95722f9cded5bd87bb5760f587b3d1}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, acd1d2d6846b666254c5093a0bd04ea3}
kotlin/random: {kotlin/random, fc7e49df07e9e9245b19fb8c430551c0}
coil/map: {coil/map, 2e99fdceef5873f11e0ec1d356dc9a91}
com/kyant/monet: {com/kyant/monet, 93b78c58fe9d6e09c17c3c8491d76552}
androidx/savedstate: {androidx/savedstate, 74be131474a7a58b78f5a5847deb2a69}
com/yausername/youtubedl_common: {com/yausername/youtubedl_common, cfea408f6d9ebf7b20d33c3cca2a392a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 2a414ddab9fa7bf8c465a9ea19c49c6c}
com/caverock/androidsvg: {com/caverock/androidsvg, e48f0a44667e2fb157ace2526dae4503}
kotlinx/coroutines: {kotlinx/coroutines, 3e73ecc09cb0dee56b1ec238158c1e63}
androidx/startup: {androidx/startup, 9baf2aaefbc01901bacdad6402ec08e5}
coil/intercept: {coil/intercept, 5a8f72759dcde6f617356530d4f33ad5}
androidx/compose/ui: {androidx/compose/ui, 0f4b8e597c8eddbdb66dcb1551540ff4}
androidx/loader/app: {androidx/loader/app, 228f67a41f4a02e1135dbfa1dec136c6}
coil/drawable: {coil/drawable, a581b65c03554f54e93d9b4b81dce376}
androidx/room: {androidx/room, 6485c4e572c7c4386451d2e5e53af9ea}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], fae7f7ce2b66b49ac45f55a807d032fd}
coil/compose: {coil/compose, 152cf8ecb886a898f8a498b2cd08f669}
androidx/sqlite/db: {androidx/sqlite/db, e72a4120068786b739a1d1adaa3c5efe}
androidx/lifecycle: {androidx/lifecycle, 02a0e92ea04090164b2c9fbbdd5e6172}
kotlin/enums: {kotlin/enums, 2dc1a962104382b16749698a8a1bfdd2}
androidx/navigation: {androidx/navigation, e2af663baf461b23eda7113f1c4d7e25}
androidx/compose/animation: {androidx/compose/animation, ae1b7bd883625774349e9ff7f735dcd5}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/text: {kotlin/text, 5ab4668f8cdba17b8a916db9123d4ec1}
androidx/exifinterface/media: {androidx/exifinterface/media, 6f92262dc6691894c8c6f34e46c08cee}
androidx/versionedparcelable: {androidx/versionedparcelable, ec554d069ea4ac711626849a7796171d}
okhttp3: {okhttp3, e866f3aef177a5de806a9c59e9bbc18e}
androidx/core: {androidx/core, eb7f8180a98baefd74a4b78ba3fe3464}
androidx/collection: {androidx/collection, 6b7eab606ec5a4145476f7a714edf1d5}
androidx/transition: {androidx/transition, bda1670cfdc3ca52daa46a710cda3862}
coil/request: {coil/request, 4f64d226f6d3bdb285777216d68e7b89}
com/fasterxml/jackson: {com/fasterxml/jackson, 3d34677d5f2c2b77337d63fd18ca5225}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
kotlin/jvm/internal: {kotlin/jvm/internal, d1d8c48a794a0e0acc7e2a8902a3ed8f}
com/google/android: {com/google/android, bec78c8e10faedaab43f26cff41481ec}
kotlin/jvm/functions: {kotlin/jvm/functions, 4911bf03c68bd339a4d6b7617aff924f}
coil/target: {coil/target, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/customview/view: {androidx/customview/view, b2be9bb2ff42d7896e83c790f10d4a2e}
coil/network: {coil/network, a8427e6a3fbe802d995aab6b2abf0f2a}
com/yausername/ffmpeg: {com/yausername/ffmpeg, 866044117afe47960d3d86416965518d}
androidx/recyclerview: {androidx/recyclerview, 2544e4f907d77957b1fb17915aa41244}
kotlin/comparisons: {kotlin/comparisons, 4dfa22f8657a35ec19d8eddbd2ffabff}
com/google/accompanist: {com/google/accompanist, 458cb354945701457ab376c90265aa1d}
coil/size: {coil/size, d2a1230c226861131347196e7b3bdcca}
kotlin/io: {kotlin/io, 73b4ce6cb048875e23668af2c4d91aba}
androidx/profileinstaller: {androidx/profileinstaller, 41ef7c4460a65eccf3984e922e06be38}
androidx/compose/material3: {androidx/compose/material3, 38117249f81b709d1517069084768b7e}
kotlin/time: {kotlin/time, a61832efefc253a66ef2b6533003ac47}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3977779ecfa389a8fd58687d8730af60}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
dagger/internal: {dagger/internal, f2d9bddd517ecef2740ebd2e28be8f3f}
coil/memory: {coil/memory, e48470560589696ffebbb60a705b3584}
androidx/compose/material: {androidx/compose/material, 9df68c8e074cf366a1b6592ea0f00ca4}
org/apache/commons: {org/apache/commons, 48b052bb0c49bba572afe0086fa783a7}
coil/decode: {coil/decode, 591c70dcaba2023b63ab155f6e4ba642}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, dc30cb347e8b22d101673372707557cf}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 2125ee457db345a4909fde82945595d0}
okhttp3/internal: {okhttp3/internal, e034843b7d86789aa5d337c891eb0a9f}
okio/internal: {okio/internal, b68a3def00adc71dd9af07c2d60f84ab}
androidx/concurrent/futures: {androidx/concurrent/futures, 58144460a21ffbcd3eb961dc514ab0c2}
kotlin/collections: {kotlin/collections, dd137409688de132a5c2b5471a97f4f9}
androidx/fragment: {androidx/fragment, ae58784db180312a1b7570f0a561c433}
androidx/customview/widget: {androidx/customview/widget, c0c7dc262e73d6d4ad029820eaac305f}
kotlin: {kotlin, de8cbf40f56693effcda66ee96fec445}
com/yausername/youtubedl_android: {com/yausername/youtubedl_android, c25005856e324a77f12d069d9a7e41fc}
kotlin/coroutines: {kotlin/coroutines, 6bce3d45c44441851fd07bb92de02fd3}
dagger/hilt: {dagger/hilt, 533564402e14d10d4e9110091ed90572}
androidx/interpolator/view: {androidx/interpolator/view, f7de04d5e5eb0dd19f6e10586f888f89}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http1, okhttp3/internal/http2, ], 635edf4af188cae6415fad3c6d254ad6}
com/tencent/mmkv: {com/tencent/mmkv, a988e2571cb96c54eb1c8dca0c12ee78}
com/yausername/aria2c: {com/yausername/aria2c, 866044117afe47960d3d86416965518d}
androidx/window/layout: {androidx/window/layout, 76fa13b3ab9c8c1d4301a1cdd103d0b1}
io/material/utils: {io/material/utils, 0275f7bd9062d17916ec185359b0d644}
okio: {okio, b90a6839a98c3f4d58b762733baaaf37}
