androidx/appcompat: {androidx/appcompat, 00c57a30992b8c8536cb05ef715afdcc}
com/google/auto: {[com/google/auto, com/google/common, ], 04b9e26d3896d76aef95b862542a52b8}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, dda21594f82036c577c8723e8e4d0875}
androidx/activity: {androidx/activity, 4c041d3c75093d7a65f9a3c76302bf20}
androidx/core: {androidx/core, 36e2474f067fae7cf10afd785528248d}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, bd415add6947518154998e1b8769266d}
androidx/preference: {androidx/preference, 9137831b88fb613b731a96c534007178}
androidx/sqlite/db: {androidx/sqlite/db, 235553891221e024d0b33c28ae989f4f}
androidx/lifecycle: {androidx/lifecycle, 724682940325bb4213a5e20414db0f2d}
androidx/fragment: {androidx/fragment, d9a4874531a920243df275144a18614d}
androidx/loader: {androidx/loader, 7e4302e8c37768bb33a1adde97db2787}
androidx/vectordrawable: {androidx/vectordrawable, b69f4e2955d6aaf98cb4d2622a9b752e}
androidx/recyclerview: {androidx/recyclerview, 4f2264a6856cec82dac324cf24dd3dca}
androidx/viewpager: {androidx/viewpager, c823aa873c87807cd3229db7c18208c7}
com/google/android: {com/google/android, 08c1978fa86a457e9f7a1e78680d7ca2}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 4d805288571dfdd514e1fa3336369434}
androidx/constraintlayout/core: {androidx/constraintlayout/core, b1e41da10415c8a1efc8b9013e0152d0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 636a2566d3fc823e1242a66ccb34effd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 6003c2c087688294c7bc699f674cc38b}
androidx/collection: {androidx/collection, 016b447e3be01eb540e7567e9e92ea63}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 3793355d174b863503dffb369342db74}
androidx/transition: {androidx/transition, 109c31fb3211d250265288999db7b579}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5c1a607efd819b3495a83589ff764ce5}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, ad2276e041ea310023ae5e1ac204178f}
androidx/exifinterface: {androidx/exifinterface, 1b1d74c858f8b99a8a461ad9c6eb68e1}
androidx/emoji2: {androidx/emoji2, fb7bf8b9e796bbdf984994b177e9f4d5}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, e107d817e306c9cd224ed422d4b097ce}
androidx/arch/core: {androidx/arch/core, 069c88c89cdd45634db883da3bd946d8}
com/github/chrisbanes: {com/github/chrisbanes, ca9f7576f6de51f0af59d4e0e8f1073e}
androidx/viewpager2: {androidx/viewpager2, 6286be8664fa9025dd9b9fb87aebd1fc}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
androidx/savedstate: {androidx/savedstate, f09acf048d7dfecb5f6343e7e3c0f8b8}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
com/bumptech/glide: {com/bumptech/glide, ec993232409b55ddde3d3adc167ff0f6}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 035183f8d5913b35a1a7c171c2e92a8b}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, 9d81b8746cf8972de177c893c6f62077}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, b45ce97d95e4ce76207935d7e945381a}
androidx/concurrent/futures: {androidx/concurrent/futures, cddd8865b67b82a5cfddaab0e12fbdd2}
androidx/customview: {androidx/customview, b5f4957107a5bd0018a35d0cad231914}
androidx/window: {androidx/window, 862a75af95e3eeb915b739d4aa33ce9d}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, c1ed2a8062615e47d7f272af6f1805e4}
