p2: {p2, 536b6ccf3874268cb11b43bbdfddd122}
A: {A, 6f9bf4b2d42b7a166a82e9bea66f9834}
j: {j, c90f05144eb4b9d2988abc84bfd77d16}
c1: {c1, 23d1ff9e4984adc8b38c2945608c17ed}
c3: {c3, 71b7ac81600b3068af33ea87aa4aa5ed}
H2: {H2, c334b74a672d8b84da61bba48eed3f10}
androidx/activity: {androidx/activity, 6fedf5f720007a15092bfca5538b2a48}
androidx/core/graphics: {androidx/core/graphics, 9afe9dce1e59d3f517f3e8eb20673baa}
androidx/lifecycle: {androidx/lifecycle, 88b33e3a1b854521fcd6b5c7e50692b8}
l1: {l1, 49539be11f96f562d4a1cb5ed90ddba5}
androidx/datastore/preferences: {androidx/datastore/preferences, 692c8c36c1a8096de6206054bd4248fc}
J2: {J2, da1d2b8bbeed68b4556b9602ef31b205}
o0: {o0, 23efa3cf36ed9ffcfa6fe55e26084301}
K0: {K0, 75dcdb8daf73f1e382b6e9243bd1067f}
R0: {R0, 528017e862df5236ec300a725ce65f69}
y0: {y0, 1970e586c87e9dc0373b71d1f605134f}
P2: {P2, 5afe89950788bf3cab79cf225492dc4d}
Y: {Y, 622236885e786255399f577c50c156ea}
Y2: {Y2, 26e1181444981fdf2ce4da8dea12adcd}
v2: {v2, 5d7ee9e07725bf41e12d2e3d7a4d2cdc}
H: {H, 6e297c5bd7e1928532f271eba39b9945}
z1: {z1, da65b9b76076f6a31be3ad7eda80ef9c}
t2: {t2, 828f01b6858c293abc10e992971c1202}
P: {P, 2d364e6005a13dd3ad6e2034d76327e6}
r1: {r1, ea650824966bd3ee25db2392eacf57e9}
androidx/core/provider: {androidx/core/provider, a1733a2f7d6cbb63b9904956210a5bef}
Z0: {Z0, f677fc624f91a45b8ce9cccd94954947}
A0: {A0, 7ccfc3ea4f2b7e0f4f415a58ec7d7c16}
O0: {O0, 7fee3131ca27e000b72deede1cf03d6e}
I2: {I2, 1829a9574b35e701b2ce18bd854706cd}
d0: {d0, a465f278feafa8d3f0955eb557b238e7}
b: {b, 8978504ab80d7bfa03aa2690a630a265}
k1: {k1, 350719925e55135f5520cc4342fe27bb}
k: {k, aac673580d36b57a529cd6deb1f16053}
g1: {g1, 9172a05aa45fbdab23b46c5784be9d32}
c0: {c0, 30c693afdae6c32f41027c7a39fea88d}
androidx/core/os: {androidx/core/os, 224ee44595d644fc88dd0e73cab38968}
p3: {p3, 3eb8ca31aa5bc521c8c6dc8c8395f3f6}
U2: {U2, edc9521dc5913537e918e0686b9fad6b}
Z1: {Z1, c8b212878925e7d507d00eec1ea5e372}
b2: {b2, f0bc1963f6f28178af38819b287810e8}
q3: {q3, ba0c1a22963228db4b60a7afea0d6b33}
R1: {R1, bc1550c0dd12020f27a1158843047f5f}
l2: {l2, e2470bd511284c7254721b85780de739}
i3: {i3, 76ba99ba7f17f421be9d2316f64061bc}
V0: {V0, 7b30594c81c6a1c523033a191e409766}
D0: {D0, ae3b26d0de362479e5c922a7bca91880}
o3: {o3, 56df51fbd484f6d4da9d107e4b22fd87}
B: {B, 4e681bfd945476be1d1a4aa5c420b241}
androidx/compose/foundation: {androidx/compose/foundation, 09fb1240cb64c474be66cbc245effb97}
t3: {t3, 38793e696137c8084583b3c0fc17a048}
j2: {j2, 8462fe1ecbac545884f8a32916acc96a}
v3: {v3, 381361a673e108e6f15527bae78ba4e0}
h2: {h2, 291b688cefac6b58f71e692a628bd40a}
u3: {u3, 56ce29682736e25b3d66938f0291db93}
kotlinx/coroutines: {kotlinx/coroutines, 84b0bcddba0c0c877cbbe97de9f73b04}
r: {r, 72cb89aaca6d695d41f6470256e0fd2b}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
Q: {Q, 10cd679a4d012d99433f6b80a5181756}
w3: {w3, 3247c7440eaf439a5acce0e169384f42}
z: {z, 0062b2553f3ee1f72052f26df8b45368}
androidx/compose/ui: {androidx/compose/ui, cbbd23b521035b6ac5e6c641084d1cc6}
d1: {d1, 3851c498ba4007d6e91686840d615fd5}
Y1: {Y1, d537308e942d0f604eebf7e5d948a41d}
k0: {k0, 025b7fd7a7baf252c41c8e9843871c9d}
V: {V, b2f9f7f1081741ff6a0206ef15d05be6}
g0: {g0, 1bfe26cdf0ede13685acf7d9c98855d5}
I: {I, 2e79b214e606c7d80a2cdd8fe8c4d737}
J0: {J0, 9003c6fef0310e9cb6485648bb73b336}
x0: {x0, 318e11d9cd098e338ca944f6f33be790}
b3: {b3, 120077f6d48c3efa178d7c8296f354a0}
w2: {w2, 35be47f19ad3189b19133fe64e239cfc}
q2: {q2, 4a2118b3a195a09fcb2cc073c8adba12}
U1: {U1, 633602ea399ed6ef105db19681278441}
R: {R, 65e94f9e063216352e7cc7e15596c22f}
androidx/core/widget: {androidx/core/widget, 1353d55f39c129e6a339c742434a9c2d}
X: {X, 69c45ceabfdf4b4a281b7db824f0e067}
o2: {o2, 45e37f0bdccfb233a1e5ff3791d92927}
m3: {m3, ef988aeb6ec43c774e8e1572caf893df}
i2: {i2, 2f1842c1108ce919b682ecca35c81b9d}
S2: {S2, b0c75cd98442a202b0329a8ea907b868}
K2: {K2, afcacd98484638012a85f2f08fd45072}
D1: {D1, 60a34a37bb4a5c3837ad1814bd37111a}
C: {C, e6e87c68bab1e5f94ad0778bca728b06}
androidx/loader/app: {androidx/loader/app, c261bdcae9516a0f15641d54e90980e1}
t: {t, 936a3f05573790265eabdc4d4322e5a6}
g2: {g2, e149f8bd1d44de8942ecc9630a151e95}
V1: {V1, 53177e7494ec9e97b6f5a769fcc849ed}
androidx/exifinterface/media: {androidx/exifinterface/media, 70a95880872e60e5792bdcd0a3a911ce}
J: {J, cb7c7aa43cba0a90cce0e90c4874f8d8}
C1: {C1, 302d39d32b7cab3609e6eb769b429940}
u2: {u2, 4e2fec1725778126ce1d60a74f3c1920}
s: {s, e5eeb6f7d6a6005718dbbe2ba1979c90}
W2: {W2, 3b57febcc2581d03e50fef031e569a2d}
d: {d, af9698a84c7e1669f435be98501ba6c9}
h3: {h3, c46a172a6c3052a006209a14b5e5d350}
n2: {n2, edc847ac93957807b176ea1330af3ef3}
L1: {L1, 7f52318f4f5775f7d53d739eac27d87c}
k3: {k3, 880351c988965a303edfcc146c90f930}
O2: {O2, 3c12fc6b8f55fab0318e6b22ba73f244}
L0: {L0, 8936ee97ca3ee09f054cb8deb7cae244}
l: {l, 3294757e082ff3f9e184184cf002c551}
androidx/compose/material3: {androidx/compose/material3, 26478ec269df0ef3c440d9876e9d4f8a}
S: {S, f7e675ccdcadf8fc0d3073ee83d56022}
v0: {v0, 950a85c8cb8c5da641f809b3ad3d3d12}
androidx/appcompat/view: {androidx/appcompat/view, 59f44e114714df1cb28dacfd19cef4b0}
d2: {d2, b9c4c636caca3b2b10088df8049370e5}
Y0: {Y0, 7b9aec701d139248d73a24e2846f4244}
q1: {q1, 2761d646dece578ee569b732ff37cec6}
U0: {U0, 3748752f14cd66b1971d86167e3b45f0}
x1: {x1, 4c3ad8578557b55fa76f948957bf952b}
g3: {g3, e35ebb722c8775d3390f942f0da9ec61}
n0: {n0, 018ae6d03351e40bb6c27c91b19d8c6e}
I1: {I1, 767be3d45389247bb861f281909ae79b}
D: {D, 59550abf3d6422b8d1ff7fa8666e649d}
b0: {b0, 3f3403ee0ad9d379645ad9dbd1842a22}
N2: {N2, f7506d490c02062ab2a18ab614f18d9f}
m2: {m2, 03d64fa77761a53381c0b1736fce053f}
L: {L, 29f8294cf7e97573b9dd816176f9f503}
F2: {F2, 1ec86c3f85c9f9228be3b8d54ee74760}
androidx/emoji2/text: {androidx/emoji2/text, 88265ee97b0452f92eaaf641d7094285}
J1: {J1, fa7cbaa1159158c8b97325d769b589a1}
K: {K, 9b5d213836404cb53073100af4ff93b4}
D2: {D2, 0e96455e4c12c6588873db247e3023a3}
c2: {c2, 427db9795e4aade0c485664f9e79266c}
a3: {a3, b22c4c12ef8778219c9697fe09921a39}
Q1: {Q1, bf606cf22da03eb722f45ad26fdef285}
G1: {G1, 7a2ba6763baf629fe9dc50d9db56e6cb}
C0: {C0, cd8ef3d145a9da759ba9fdf7035b9a80}
j0: {j0, e2f52e4dad8c3857c4bedddd7a0c255e}
l3: {l3, 04f44a4b6b9b352638fe119ff7fc13ac}
B2: {B2, f7a20ee6c5c0b294b35b552e74f163b7}
n3: {n3, 7858cbe66392bb167c9da541be686462}
u1: {u1, 7268ac0f4510a6307621837f15c6dc5a}
e: {e, a0042538d88cd11dcd290655e8e9bcbc}
d3: {d3, c39d14ce08ea52db83d9779367d16e2b}
l0: {l0, 80c3ba87d7698834f46bf430322e2f87}
f3: {f3, ab6eca17969ea9c510f8ccc338e5b893}
L2: {L2, 2fb3165960d067bb766fba09ba706d01}
k2: {k2, 9197fb0fb6a155f91145095ab98f7202}
m: {m, da6bdf5915e1f90a7bf84417b5469021}
U: {U, a1602423d0fb633909232e322f54ded3}
f2: {f2, bd1cc9c98959f0df0a28b0e1166149cd}
v1: {v1, de64ce2e2647e7d6bdc462f3aff28a25}
b1: {b1, 5f74c5eab6ade811b5781b930d287616}
q0: {q0, 43749b017d652fc62f397d14dfc895a3}
f0: {f0, 0156fcb48218217e7f9d50e49ab67f9a}
